Model,RMSE,MAE,MAPE_%,R2,Accuracy_%,CV_R2_Mean,CV_R2_Std
XGBoost (Tuned),0.01224268728473082,0.010077631253116535,4.785165391196214,-0.013622255628288782,95.2148346088038,-2.2813732276486913,2.391844172688623
Random Forest (Tuned),0.01241160395116455,0.009878023856259681,4.660391494528148,-0.04178582197996761,95.33960850547186,-2.521613062527482,2.8642421908303874
Random Forest (baseline),0.01277743030874372,0.009974929245282774,4.702112694903421,-0.1041031946131632,95.29788730509658,-2.6574763711477436,2.9936135193996636
XGBoost (baseline),0.013030545415672135,0.010554558269257814,5.024260502388201,-0.1482800331231502,94.9757394976118,-2.439548933799704,2.606850903786386
SVR (Tuned),0.01442154221669409,0.012048176644701952,5.7256183037132775,-0.4065204014579076,94.27438169628672,-2.554120440536506,2.6714269728687534
Ridge (Tuned),0.015058597107498725,0.010794139117076081,5.17449910508963,-0.5335277970849126,94.82550089491038,-2.905728369927463,2.3717714148893845
Ridge (baseline),0.015662788338137706,0.011055080056692215,5.295163370858787,-0.6590549964701455,94.70483662914121,-2.948081614947828,2.4011777182866645
SVR (baseline),0.033982510710722606,0.027404348706632657,13.089221399798658,-6.809685583388782,86.91077860020134,-13.057200539165075,5.926644689116369
