SV_Train_Index,X_Acc_Filtered_Median,Y_Acc_Filtered_Median,X_Acc_Filtered_Mean,X_Displacement_Median,Y_Acc_Raw_Mean,Wave_Raw_Mean,Y_Acc_Filtered_Mean,Hs_m,X_Displacement_Mean,Z_Acc_Raw_Max,SV_Weight
343,0.349462265,-0.578073947,0.022546125,-0.010201475999999987,-19.25209122,22.07701903,-0.026608284,0.588386975,0.008520754000000002,3859.6094,0.10321096585324804
341,0.332604625,0.31881721099999993,-0.028909637,-0.089991126,-18.99424297,22.28528635,0.010119119,0.566602768,0.002403003,3857.9031,0.10321096585324804
327,0.425540031,-0.573899022,-0.048859047,-0.044249172,-27.82682309,22.83993921,0.004814845000000001,0.56109088,0.054185468,3840.5576,0.10321096585324804
326,-0.02076091799999996,-0.219442749,0.00390523,-0.115672417,-28.00166852,1.9549643099999994,-0.008710021,0.405630182,-0.026451064999999996,3828.176,0.10321096585324804
325,-0.04064397699999994,-0.737097303,0.013052284,-0.222399235,-27.04918607,22.756348420000002,-0.037396302,0.533611673,-0.020967859999999998,3830.0723,0.10321096585324804
324,-0.10975305900000004,-0.24465398000000002,0.030021976999999995,0.020333324999999985,-23.47735109,1.9510917509999999,0.0032774479999999996,0.367641604,-0.015520198,3842.7207,0.10321096585324804
323,0.13081475199999998,-0.225764505,-0.00752384,0.042936400999999985,-13.15958076,22.63610764,0.013411438000000001,0.452976263,0.021392956000000005,3858.7273,0.10321096585324804
322,-0.12108426099999997,-0.04155387100000002,0.000594191,-0.122774721,-7.408878104,1.9302953239999994,-0.035350108,0.343920087,-0.017340054,3864.6709,0.10321096585324804
321,0.181723751,-0.260883783,-0.015875962,-0.097386583,-3.306512371,22.51094993,0.0034029399999999993,0.352303414,0.019434543,3872.8247,0.10321096585324804
38,0.201405467,-0.16944610599999999,-0.057224186,-0.148025452,-16.69566465,1.955085200000001,-0.010005188,0.39044902,0.078530888,3857.5291,-0.10321096585324804
37,0.471844513,-0.217115615,-0.063269634,-0.095934582,-12.17913105,22.79218221,-0.030577999,0.398241155,0.09189100300000001,3864.7456,-0.10321096585324804
36,0.260522298,-0.284206866,-0.017646225,-0.23778302,-9.656143264,1.9481017289999993,0.001148264999999999,0.381862961,0.008569303,3865.9146,-0.10321096585324804
35,0.303322828,-0.11796532700000006,0.04162216,-0.04527590200000001,-6.759084938,22.92936524,0.06352153700000002,0.388699711,-0.04440178699999999,3869.1277,-0.10321096585324804
34,0.252916306,-0.450780933,0.009787082,-0.130605825,-3.0177606830000006,1.9596537190000003,-0.007735832,0.374421422,-0.033146666,3875.5208,-0.10321096585324804
33,-0.06985607499999996,-0.15515133800000003,0.040105073,-0.105272367,0.5412852949999998,23.026542319999997,-0.040664786,0.405457324,-0.062228171,3884.0815,-0.10321096585324804
32,0.484453203,-0.179372688,0.012064739,-0.272764448,4.953397661,1.9720906770000006,0.0016069450000000002,0.357567673,-0.00397517,3888.708,-0.10321096585324804
31,0.324732817,-0.11359409100000001,-0.020444303,-0.353477273,10.010742909999998,23.05084926,-0.035252095,0.394333885,0.007380346000000003,3903.5415,-0.10321096585324804
28,0.303819229,-0.14900142699999996,-0.004706987000000001,-0.100158236,28.306773579999998,1.9670115240000001,-0.010400051,0.325288542,-0.002650659,3935.0256,-0.10321096585324804
23,0.274705808,0.05699901099999999,0.002705521,-0.1379886,20.571538709999995,22.66043727,0.008596507,0.32118857900000003,-0.017161626,3923.3252,-0.10321096585324804
21,0.328297369,-0.022890556999999978,0.007820735,-0.0066371420000000125,13.16001276,22.49765861,-0.025881063,0.301169569,-0.014082676,3915.6843,0.10321096585324804
59,0.195801968,0.0839917,-0.007187629000000001,-0.1778959,-19.46491351,21.87869783,-0.004109266,0.39822803,0.022379651,3848.8257,0.10321096585324804
58,0.16167412600000003,-0.166320552,0.004131273,-0.111601807,-19.6672172,1.897653945,0.01168883,0.390346587,-0.02565892,3847.0403,0.10321096585324804
57,-0.06479134299999995,-0.08832124799999996,-0.0018307070000000004,-0.005929130000000005,-20.03278625,21.83200496,-0.03076052,0.370885041,0.020031567,3845.2546,0.10321096585324804
56,0.00102371200000001,-0.221081966,0.024127085,0.033752427,-20.10174535,1.8885873249999996,-0.053362945,0.407092994,-0.034843512,3845.2546,-0.10321096585324804
55,0.09800545399999999,-0.06969790600000003,-0.019802723,-0.321185091,-20.30603682,21.81483567,-0.002404066,0.378341654,0.036673664,3846.1475,-0.10321096585324804
54,0.07566600600000001,0.004450241999999993,0.049143129,-0.169990972,-20.35224661,1.8894500389999997,-0.026286341,0.403882357,-0.051053476,3845.2546,-0.10321096585324804
53,0.079901954,0.024925839999999977,0.010088531,-0.08127338,-20.54589726,21.80912933,0.018173898,0.363294124,0.03608832,3843.469,-0.10321096585324804
52,-0.30988644800000004,-0.161286655,-0.051548231,0.08986956100000001,-20.73637898,1.892138116,0.013701873,0.409467967,0.063498575,3845.2546,-0.10321096585324804
44,-0.04513527300000003,-0.15490032200000003,-0.024101188,-0.137253872,-26.05665088,1.9164928410000002,-0.06238962499999999,0.388165495,-0.003297208,3833.2056,-0.10321096585324804
41,0.09931576800000003,0.13359324399999994,0.0392023,-0.18993314,-25.93385423,22.45300409,-0.013049909999999998,0.38517237,-0.068680732,3835.186,-0.10321096585324804
40,0.195768226,0.07805584799999998,0.037070904,-0.04243227199999999,-23.21915904,1.9440174270000004,0.005030598999999999,0.392844829,-0.012242735,3838.7593,-0.10321096585324804
39,0.20999068000000004,0.05709535800000004,-0.021520641999999996,-0.0007464779999999949,-21.7980728,22.64244483,-0.042106342,0.377492071,0.025923209000000003,3845.9456,-0.10321096585324804
320,0.00951244200000001,-0.18130131,-0.036186435,0.133735527,1.2726702719999992,1.9202144069999996,0.021863967,0.349427167,0.05601871,3882.2815,0.10321096585324804
318,0.031281116,-0.14331089799999996,-0.026774753,-0.012887175,13.221498060000002,1.9196326050000003,0.0008113190000000004,0.350756101,0.027738951000000005,3903.6987,0.10321096585324804
317,-0.01350443200000001,-0.15218756099999997,-0.006683832000000001,0.13097441899999998,18.35733771,22.35801803,-0.025527014,0.34812667,0.004602498,3907.8853,0.10321096585324804
316,0.027642471999999974,0.03323992499999995,-0.009125633,-0.03573736999999999,17.04968859,1.916312403000001,-0.010341887,0.358544526,0.004466507,3905.8367,0.10321096585324804
315,0.053290583,-0.147425702,0.023143292000000003,-0.04045421200000002,12.6139747,22.30908271,-0.03706727,0.34366878,-0.023669533,3899.4985,0.10321096585324804
314,0.249759015,0.222419119,0.000818395,-0.063033909,9.820561009999999,1.9095504779999999,0.014672917,0.370846327,0.005342253999999999,3896.8826,0.10321096585324804
313,0.05286287099999998,-0.141797051,0.001011868,-0.246686921,9.083746560999998,22.24133197,-0.035255418,0.33436868,-0.014549310000000001,3892.604,0.10321096585324804
312,0.009549637,0.22036961199999994,0.011888915,-0.114075125,8.225080405,1.9042590070000003,0.0030825900000000005,0.383783398,0.005319035,3893.3318,0.10321096585324804
311,0.132450597,0.13134634199999995,-0.016383112,0.057524989,5.674226649000001,22.16117059,-0.018767827,0.379838814,0.025144153999999995,3887.7715,0.10321096585324804
310,-0.04015710499999997,0.12138125300000002,-0.021833201,0.029852404,2.324677770000001,1.9173790519999994,0.009867913000000002,0.384736725,0.016650792000000005,3880.5027,0.10321096585324804
309,0.06761560299999997,-0.16428026100000004,0.018552343,-0.0011239329999999936,-1.4881044459999995,22.05674175,0.012362562,0.34777756,-0.025397525999999997,3877.5674,0.10321096585324804
308,0.208533435,0.3699184489999999,0.011192643,-0.234362223,-4.534780398,1.8896169450000002,0.021782145,0.387049108,4.849999999999993e-05,3867.6223,0.10321096585324804
307,0.140034522,0.10874836300000001,-0.030538095000000005,-0.101859784,-7.040055967,21.9695842,0.0010535320000000011,0.387068796,0.020071196,3861.325,0.10321096585324804
306,0.11276521099999998,-0.05486970200000002,0.014743943,-0.217972138,-9.389041934,1.902820469,-0.003027105,0.387454717,-0.016150130999999998,3861.325,0.10321096585324804
305,0.17944210300000002,-0.23020281099999998,-0.007966545,0.13518550600000004,-12.14332529,21.85426569,0.010030674,0.405177785,0.030328190000000005,3855.9683,0.10321096585324804
304,-0.12956705500000004,-0.173808976,-0.047663715,0.211776685,-14.22766046,1.8770578590000007,-0.022759329,0.380167663,0.06004609,3852.3972,0.10321096585324804
80,0.252459919,0.05612325899999998,0.04692581299999999,-0.020976820000000007,4.924522952,1.9753912509999996,0.010371575000000001,0.408393898,-0.054535557,3891.2124,-0.10321096585324804
79,0.471121063,-0.13287515500000002,0.002506188,0.0005987759999999953,12.541007149999999,23.06569739,-0.008132969,0.393753507,0.025767516000000004,3907.2881,-0.10321096585324804
74,0.458484182,-0.03142658799999998,0.011654585000000002,-0.07451538299999999,6.790251184999999,1.9694593020000006,0.039366279,0.435368749,-0.039357239,3893.2502,-0.10321096585324804
73,0.14673970799999997,-0.206177483,-0.029707252,-0.182203539,-3.9857355200000004,22.73389461,0.027927369,0.406693748,0.065219664,3875.8101,0.10321096585324804
71,-0.024447669000000005,-0.162391701,0.0633988,0.06849823099999999,25.812815470000004,22.553471630000004,-0.027400365,0.448655854,-0.056490133,3949.9612,0.10321096585324804
70,0.18449316799999999,-0.06783151399999998,0.038319847,-0.09991727,30.978154180000004,1.926788922,0.019397432,0.42073537,-0.040752006,3946.425,0.10321096585324804
69,-0.038963459000000034,-0.406432651,-0.033066049,-0.074146317,26.33053708,22.38864513,-0.025922013,0.470494342,0.054035363,3945.2239,0.10321096585324804
68,0.14577927900000004,-0.396162193,-0.007861764000000002,-0.238798238,20.93891584,1.9123848030000001,-0.065150121,0.406282107,-0.021873437999999995,3934.7168,0.10321096585324804
67,0.20700374,-0.03603175400000003,0.037629834,-0.04307796999999999,14.26070841,22.23456177,0.042629047,0.443856462,0.001360534,3922.6968,-0.10321096585324804
64,0.006743690000000024,-0.218366994,0.011738288,-0.093074481,-6.769068484,1.8967616960000004,0.0036454849999999995,0.385927486,-0.025744587,3887.2158,-0.10321096585324804
63,0.204308977,-0.229534912,0.000784664,-0.094317738,-14.73407399,22.02150911,-0.03294845200000001,0.408872414,0.013750705,3870.2527,-0.10321096585324804
62,-0.004153053000000018,-0.17102531200000004,0.0007721830000000001,0.04790550499999999,-19.45085744,1.8891525159999993,0.016767693,0.376811828,0.002984708,3855.9683,-0.10321096585324804
61,0.250112027,0.12872064100000002,0.027363848,0.09693922000000002,-19.81515546,21.95224189,-0.02151286,0.373310292,-0.041585424,3847.0403,-0.10321096585324804
60,-0.07532657900000012,0.06246839300000001,-0.012993946,-0.371194974,-19.51019323,1.882867837000001,0.009624783000000001,0.376552199,0.023379290000000004,3855.0754,0.10321096585324804
96,-0.13719228300000003,-0.343601069,-0.011679648,0.0038230539999999924,-17.3309603,1.9136758900000004,0.0011574009999999997,0.361108123,0.021490504,3848.8271,-0.10321096585324804
95,-0.05978976099999994,0.220710529,-0.01281224,-0.025565597999999995,-17.39679595,22.08011575,-0.036060429,0.374735828,0.007503714,3849.7546,-0.10321096585324804
94,-0.3282175339999999,-0.19744446,-0.005937027000000001,0.19432952100000003,-17.35538527,1.9163124089999997,0.018732724,0.384093852,0.01935771,3850.6238,0.10321096585324804
93,0.15006183499999998,0.008991130999999986,-0.024827595,-0.139787643,-17.39208624,22.24567956,0.043060916,0.330761404,0.030281544,3849.0193,-0.10321096585324804
92,-0.021848047000000037,-0.04235925499999993,0.010643076,0.120748349,-17.28480896,1.9299044179999996,0.006344577999999999,0.397566433,-0.034273213,3847.3096,-0.10321096585324804
90,-0.125210023,0.09529208300000003,-0.0018862609999999998,0.189242571,-17.07709198,1.9390592130000002,0.050995769,0.40608501,-0.014826929999999999,3850.9182,-0.10321096585324804
88,0.018334932000000026,-0.06417008800000007,-0.056934689,-0.01221623899999999,-15.7698595,1.9535226750000003,-0.005776631,0.414457394,0.058198811,3851.2644,-0.10321096585324804
87,0.120699905,0.006311220000000006,-0.005905896000000001,-0.101922556,-14.48566317,22.78251982,-0.049054362,0.391060957,0.001169702,3853.1609,-0.10321096585324804
86,0.297589817,0.023102483000000007,0.026159682,-0.117474984,-12.12492361,1.9692473610000008,0.021296124000000003,0.416471549,-0.017623694,3860.3445,-0.10321096585324804
85,0.23727234599999997,0.03385337599999999,-0.01763753,-0.242611345,-8.850942849,22.90809262,0.062129247,0.489664474,0.012080965,3864.0613,-0.10321096585324804
84,0.14297135899999996,-0.029429068000000003,0.001104076,-0.140627374,-6.300132258,1.9698580050000007,-0.036948812,0.396885584,-0.022636427,3868.3938,-0.10321096585324804
83,0.125132837,0.014583010000000007,0.038172197,-0.20670448,-3.943455418,23.00406067,-0.013632035,0.398124309,-0.021403459,3872.6965,-0.10321096585324804
82,0.014073453000000014,0.135564856,-0.014631804000000002,0.251677665,-1.0020819450000005,1.9646788219999998,0.001489344,0.398599471,0.018717852,3874.5801,-0.10321096585324804
81,-0.02756224700000004,-0.02266415100000002,-0.003826061,-0.091481581,1.4328174029999996,23.06994309,0.007942123000000002,0.399683723,-0.016225065,3883.1746,-0.10321096585324804
119,-0.15706083399999998,-0.178215671,-0.008627828,0.056501579999999996,13.139603559999998,22.48648034,-0.013704926,0.371381397,0.004613917999999999,3898.7236,-0.10321096585324804
114,-0.19517433599999995,-0.05247201200000001,-0.03685071,-0.079620686,-1.9257906140000003,1.8973963079999994,0.012966371,0.370669034,0.044158671,3882.752,-0.10321096585324804
113,0.04495185899999998,-0.248464736,-0.026896346,0.129529773,-6.756430968,22.03282192,-0.008245006,0.389234702,0.022457712000000005,3873.8242,-0.10321096585324804
111,-0.215471837,0.07572901700000001,-0.034350577,0.16272864700000003,-15.33989703,21.92102592,-0.012121474,0.373592622,0.053837195,3856.8611,-0.10321096585324804
110,0.03427289,-0.14158299600000002,0.013247194,0.054047552,-17.44602061,1.882117942999999,-0.006691019000000001,0.363315267,-0.017011582,3850.6116,-0.10321096585324804
109,-0.154826309,0.026525326999999987,-0.004794868000000001,0.132458993,-18.05257473,21.8452711,0.0021517430000000002,0.376604228,-0.010052295,3849.7185,-0.10321096585324804
108,0.010646665,-0.427888064,-0.010312229,-0.044127797999999996,-18.18534675,1.8876407959999995,-0.023817113,0.358163388,0.020626317999999998,3847.0403,-0.10321096585324804
107,0.216410602,-0.032909611000000005,0.015882419,-0.180725508,-18.13622702,21.76990056,-0.0016840969999999999,0.365414686,-0.030043328,3847.0403,-0.10321096585324804
106,0.118634617,-0.212022343,-0.009540115,-0.169611315,-18.06089041,1.885337517,-0.013516411999999998,0.355950493,0.016462916,3847.9329,-0.10321096585324804
105,0.19611024100000002,-0.255566269,0.030160369,-0.01979547000000001,-18.0387259,21.73544893,-0.00376207,0.348498929,-0.031526737,3847.0403,-0.10321096585324804
103,0.09847540999999999,-0.161248616,0.01639329,-0.100017499,-17.90315618,21.73848558,-0.023485541,0.370158387,-0.025152635,3847.9329,-0.10321096585324804
149,-0.07189362299999996,-1.354114739,-0.079086399,0.23455415599999993,-19.00912966,21.89729638,-0.025734738,1.119649471,-0.011850694,3870.2527,-0.10321096585324804
132,0.17421013000000002,-0.272087617,-0.046389062,0.02449033500000003,-14.57424193,1.9838779189999993,0.042837087,0.441048717,0.063567198,3861.9124,0.10321096585324804
131,-0.06155717600000005,-0.276442782,-0.053328363,0.18775770500000002,-12.02734607,23.07624275,0.012296219,0.455113485,0.02526659,3857.5181,-0.10321096585324804
130,0.09356567199999999,-0.16654676899999998,-0.028456416,0.163872687,-8.900326461,1.9866703389999998,0.052049354,0.428853943,0.031622158,3858.5525,-0.10321096585324804
129,0.15246761400000003,-0.12189106900000002,-0.010600338,-0.017814490999999988,-5.414604018,23.08183129,0.028767576000000003,0.401540307,0.0042824790000000005,3864.0208,0.10321096585324804
127,0.271112758,-0.292728668,-0.0019040329999999999,-0.07276344500000001,1.0153975430000006,23.03530038,0.0007123530000000006,0.457010805,-0.009347841,3878.2625,0.10321096585324804
