Model,RMSE,MAE,MAPE_%,R2,Accuracy_%,CV_R2_Mean,CV_R2_Std
Random Forest (Tuned),0.014187135419465416,0.011483224454473903,5.745778145866678,0.18930060804303916,94.25422185413332,-2.136156877128896,1.7915857557942212
Random Forest (baseline),0.014335811225409162,0.011318066037735986,5.668564889885803,0.17221992987514545,94.33143511011421,-2.0627330742117826,1.854893490945392
XGBoost (Tuned),0.01486142109662352,0.01235378230630227,6.187413297149213,0.11040752830966638,93.81258670285078,-1.8017818579952505,1.4464866690346092
XGBoost (baseline),0.015461411976065976,0.012514811609151234,6.263348250387538,0.03712763258217411,93.73665174961245,-1.950659600161061,1.3523064219379162
SVR (Tuned),0.016257042316755763,0.012942650965567412,6.449392413975898,-0.06451918129019996,93.5506075860241,-2.5153783347259955,2.0828671779903942
Ridge (Tuned),0.018657998356173502,0.015613101180925263,7.890978656564743,-0.40216951210003926,92.10902134343526,-2.619345467153617,1.7716349371999085
Ridge (baseline),0.02009998888353027,0.016153065413578537,8.167588981402444,-0.6272791253049905,91.83241101859755,-2.7354208098400647,1.7875681425171541
SVR (baseline),0.033254847201998894,0.025577894142560172,12.989643648450025,-3.454308908617702,87.01035635154997,-8.445464283736765,4.59929022609965
