Event_No,Datetime,X Frequency_observed,X Frequency_trend,X Frequency_seasonal,X Frequency_resid
571,2021-09-28 00:08:00,0.213,0.2087286188745442,0.0009230750720883088,0.0033483060533675
572,2021-09-28 00:38:00,0.213,0.20835826804904944,0.005644127790859351,-0.0010023958399087984
573,2021-09-28 01:08:00,0.213,0.2079892756534992,0.0024942352001260226,0.002516489146374784
574,2021-09-28 01:38:00,0.213,0.207621692490692,0.0018149010816398724,0.0035634064276681143
575,2021-09-28 02:08:00,0.213,0.20725556545623733,0.00210791008043657,0.003636524463326102
576,2021-09-28 02:38:00,0.2,0.20689093407705134,-0.006180386569848175,-0.0007105475072031464
577,2021-09-28 03:08:00,0.225,0.20652783191678467,0.016187478448301,0.002284689634914322
578,2021-09-28 03:38:00,0.225,0.20616629280124318,0.01869026739734328,0.00014343980141354185
579,2021-09-28 04:08:00,0.225,0.20580634806639078,0.019101221687141845,9.243024646737874e-05
580,2021-09-28 04:38:00,0.225,0.20544802894498032,0.018135068426355556,0.0014169026286641184
581,2021-09-28 05:08:00,0.225,0.2050913669744708,0.02014113361741503,-0.0002325005918858425
582,2021-09-28 05:38:00,0.225,0.20473639234080548,0.020590214993305583,-0.0003266073341110509
583,2021-09-28 06:08:00,0.213,0.20438313614977266,0.007433131798070529,0.0011837320521567996
584,2021-09-28 06:38:00,0.225,0.20403163066511448,0.022192335737778776,-0.0012239664028932395
585,2021-09-28 07:08:00,0.213,0.2036819077900045,0.004647031942920414,0.004671060267075089
586,2021-09-28 07:38:00,0.213,0.2033340003802016,0.006421999047547068,0.0032440005722513265
587,2021-09-28 08:08:00,0.2,0.20298793542543,-0.002601096459881952,-0.0003868389655480309
588,2021-09-28 08:38:00,0.225,0.20264373446052836,-0.00493724792490405,0.027293513464375696
589,2021-09-28 09:08:00,0.213,0.20230141891667525,0.005615460009796625,0.005083121073528124
590,2021-09-28 09:38:00,0.2,0.2019610093894939,-0.0023980992335344733,0.00043708984404058904
591,2021-09-28 10:08:00,0.213,0.20162252059130736,0.010412438164266551,0.0009650412444260903
592,2021-09-28 10:38:00,0.225,0.20128596465135368,0.024412693377698066,-0.0006986580290517241
593,2021-09-28 11:08:00,0.188,0.20095135208420767,-0.011532534763262344,-0.0014188173209453148
594,2021-09-28 11:38:00,0.188,0.20061869430485163,-0.010104883117123454,-0.002513811187728171
595,2021-09-28 12:08:00,0.188,0.20028800585813664,-0.009562095720650728,-0.0027259101374859096
596,2021-09-28 12:38:00,0.188,0.19995930667345105,-0.010898164669645112,-0.0010611420038059427
597,2021-09-28 13:08:00,0.188,0.19963262274903582,-0.008969777967866887,-0.0026628447811689326
598,2021-09-28 13:38:00,0.188,0.19930798498138091,-0.008799688792439284,-0.0025082961889416333
599,2021-09-28 14:08:00,0.188,0.19898543155150364,-0.008629304188802677,-0.002356127362700966
600,2021-09-28 14:38:00,0.188,0.19866500930576347,-0.00845835789371697,-0.002206651412046512
601,2021-09-28 15:08:00,0.188,0.19834677467551362,-0.008286252227969932,-0.002060522447543678
602,2021-09-28 15:38:00,0.188,0.19803079478644994,-0.007674410620717727,-0.0023563841657322226
603,2021-09-28 16:08:00,0.188,0.19771714902720436,-0.006220317533131976,-0.003496831494072372
604,2021-09-28 16:38:00,0.188,0.19740593225917438,-0.007448120558898069,-0.001957811700276313
605,2021-09-28 17:08:00,0.188,0.197097259535703,-0.007566606302785647,-0.001530653232917345
606,2021-09-28 17:38:00,0.188,0.19679126816123085,-0.007357678754920074,-0.0014335894063107757
607,2021-09-28 18:08:00,0.188,0.19648812162223223,-0.006311580860201862,-0.00217654076203036
608,2021-09-28 18:38:00,0.188,0.19618801753033896,-0.006107056145572819,-0.002080961384766128
609,2021-09-28 19:08:00,0.188,0.19589120186121467,-0.0059056514080535255,-0.00198555045316115
610,2021-09-28 19:38:00,0.188,0.1955979889972573,-0.005706898477710172,-0.0018910905195471395
611,2021-09-28 20:08:00,0.188,0.1953087921678639,-0.005510675571243463,-0.001798116596620436
612,2021-09-28 20:38:00,0.188,0.1950241699487418,-0.005317040651120225,-0.001707129297621568
613,2021-09-28 21:08:00,0.188,0.19474489365731526,-0.00512738097229495,-0.0016175126850203059
614,2021-09-28 21:38:00,0.188,0.19447203376831884,-0.0049413792267604655,-0.0015306545415583739
615,2021-09-28 22:08:00,0.188,0.19420703918171972,-0.004778504056963469,-0.0014285351247562417
616,2021-09-28 22:38:00,0.2,0.1939517207196861,0.0038272450181873205,0.002221034262126581
617,2021-09-28 23:08:00,0.2,0.193707921614755,0.008807133403042318,-0.0025150550177973074
618,2021-09-28 23:38:00,0.188,0.19357652499712058,-0.004771795056842691,-0.0008047299402778874
619,2021-09-29 00:08:00,0.188,0.19345272588007026,-0.00012907571034365389,-0.005323650169726607
620,2021-09-29 00:38:00,0.2,0.19333502721653475,0.0035089734739527146,0.003155999309512547
621,2021-09-29 01:08:00,0.188,0.19322230115421832,0.00027672617860614797,-0.005499027332824452
622,2021-09-29 01:38:00,0.188,0.19311377047357134,0.0002566199399308062,-0.005370390413502152
623,2021-09-29 02:08:00,0.188,0.19300882476481201,0.0009429341594876044,-0.0059517589242996105
624,2021-09-29 02:38:00,0.188,0.1929068965816778,-0.004293814236933466,-0.0006130823447443312
625,2021-09-29 03:08:00,0.2,0.19280757176225935,0.008808982012060379,-0.0016165537743197123
626,2021-09-29 03:38:00,0.188,0.19271053729261256,0.014221685075502593,-0.018932222368115148
627,2021-09-29 04:08:00,0.188,0.19261553852316807,0.014434523872799084,-0.019050062395967154
628,2021-09-29 04:38:00,0.225,0.19252240925912648,0.010778231930355216,0.02169935881051832
