Event_No,Datetime,X Acc Filtered_Mean_observed,X Acc Filtered_Mean_trend,X Acc Filtered_Mean_seasonal,X Acc Filtered_Mean_resid
571,2021-09-28 00:08:00,0.040726001,0.004971687702739572,0.029543358642318527,0.006210954654941899
572,2021-09-28 00:38:00,0.004313953,0.004916423229430073,-0.008607153697986517,0.008004683468556446
573,2021-09-28 01:08:00,0.044285514,0.004862013649649963,0.04510895029174671,-0.005685449941396677
574,2021-09-28 01:38:00,0.018645035,0.004808447390445596,-0.0013938187677629832,0.015230406377317388
575,2021-09-28 02:08:00,0.008183103,0.004755712800735004,-0.005761316554565782,0.009188706753830777
576,2021-09-28 02:38:00,0.030919507,0.004703769320257201,0.029378655363312762,-0.003162917683569964
577,2021-09-28 03:08:00,-0.041783169,0.004652553584788939,-0.025367199996040736,-0.021068522588748206
578,2021-09-28 03:38:00,0.024647562,0.004602010922571862,0.010971399863908304,0.009074151213519836
579,2021-09-28 04:08:00,0.013195915,0.004552117716269642,0.0143287683528517,-0.005684971069121341
580,2021-09-28 04:38:00,0.028022231,0.004502845687971993,0.019431206490908116,0.004088178821119893
581,2021-09-28 05:08:00,-0.022705821,0.004454170124661011,-0.02624195258883985,-0.0009180385358211612
582,2021-09-28 05:38:00,-0.009282872,0.004406062043540554,-0.017609372941670375,0.003920438898129822
583,2021-09-28 06:08:00,0.008522938,0.0043584903324358154,-0.01535863352578504,0.019523081193349227
584,2021-09-28 06:38:00,-0.022918663,0.004311410281857978,-0.010608499003993055,-0.016621574277864922
585,2021-09-28 07:08:00,-0.056802336,0.004264751422637342,-0.024273767059059207,-0.03679332036357813
586,2021-09-28 07:38:00,-0.0141614,0.0042184706690772625,-0.017515073737833602,-0.0008647969312436596
587,2021-09-28 08:08:00,0.029816617,0.004172578270769188,0.015106666737782342,0.01053737199144847
588,2021-09-28 08:38:00,0.018283914,0.0041270963491086285,-0.00706991503658457,0.021226732687475942
589,2021-09-28 09:08:00,0.011224202,0.004082027297569314,0.011898047474571717,-0.00475587277214103
590,2021-09-28 09:38:00,0.024469136,0.004037342951260526,0.02974188250966882,-0.009310089460929346
591,2021-09-28 10:08:00,-0.007841785,0.003993018097375346,-0.006736286838125011,-0.005098516259250335
592,2021-09-28 10:38:00,0.007820735,0.00394904559942819,-0.007847933258972093,0.011719622659543905
593,2021-09-28 11:08:00,0.011853312,0.0039054272279950104,0.015275228518996016,-0.007327343746991027
594,2021-09-28 11:38:00,0.002705521,0.003862154467792137,0.010596714793086832,-0.011753348260878971
