Event_No,Datetime,Y Acc Filtered_Mean_observed,Y Acc Filtered_Mean_trend,Y Acc Filtered_Mean_seasonal,Y Acc Filtered_Mean_resid
571,2021-09-28 00:08:00,-0.009085339,-0.020612190211021505,0.0004039801753161036,0.011122871035705402
572,2021-09-28 00:38:00,-0.038752777,-0.020376172304653717,-0.008069717514921144,-0.01030688718042514
573,2021-09-28 01:08:00,-0.030093183,-0.020138153650952048,0.0030461365802527183,-0.013001165929300666
574,2021-09-28 01:38:00,0.016515907,-0.019898049046686003,0.04567448804017382,-0.009260531993487819
575,2021-09-28 02:08:00,-0.021682558,-0.01965573674176712,0.002292230416695063,-0.004319051674927944
576,2021-09-28 02:38:00,-0.019067636,-0.019411066376688702,0.004584853904624418,-0.004241423527935714
577,2021-09-28 03:08:00,-0.009247775,-0.01916386982777732,-0.017732538144247443,0.027648632972024762
578,2021-09-28 03:38:00,0.064657946,-0.0189139769094705,0.033225203635598104,0.050346719273872395
579,2021-09-28 04:08:00,-0.015287017,-0.018661274218437607,-0.017001127211174007,0.020375384429611614
580,2021-09-28 04:38:00,-0.024543609,-0.01840573428312199,-0.014367948717755003,0.008230074000876993
581,2021-09-28 05:08:00,-0.002671002,-0.018147384860411786,0.016652971301445895,-0.0011765884410341078
582,2021-09-28 05:38:00,-0.04175087,-0.017886278856358448,-0.025842031923854304,0.001977440780212749
583,2021-09-28 06:08:00,-0.082199137,-0.01762247622639073,-0.02922197363919071,-0.03535468713441856
584,2021-09-28 06:38:00,-0.031708137,-0.01735603256746081,-0.018476871360248316,0.00412476692770913
585,2021-09-28 07:08:00,-0.018485765,-0.017086961068942575,-0.003450407900022194,0.0020516039689647686
586,2021-09-28 07:38:00,-0.039933817,-0.016815273375767503,-0.037683945040286354,0.014565401416053853
587,2021-09-28 08:08:00,-0.016003046,-0.016540995575394186,-0.01118277659846503,0.011720726173859216
588,2021-09-28 08:38:00,-0.03521605,-0.01626418635788345,0.004392054588196521,-0.02334391823031307
589,2021-09-28 09:08:00,-0.001070043,-0.015984926992037282,0.02941200499498912,-0.014497121002951838
590,2021-09-28 09:38:00,-0.013269886,-0.01570327307126542,0.02438200863447821,-0.02194862156321279
591,2021-09-28 10:08:00,-0.053532117,-0.015419249544298352,-0.04708548262373835,0.008972615168036706
592,2021-09-28 10:38:00,-0.025881063,-0.015132852567676332,-0.028756698292445735,0.018008487860122067
593,2021-09-28 11:08:00,0.009409544,-0.014844093668100834,0.017509830271466072,0.0067438073966347625
594,2021-09-28 11:38:00,0.008596507,-0.014553022342245795,0.017203896182080222,0.005945633160165572
595,2021-09-28 12:08:00,0.000301327,-0.014259716705832088,0.010960581625274333,0.0036004620805577554
596,2021-09-28 12:38:00,-0.014891071,-0.01396428068455636,0.016369583125651378,-0.01729637344109502
597,2021-09-28 13:08:00,0.01703096,-0.013666835576874918,0.01739826252059665,0.013299533056278269
598,2021-09-28 13:38:00,0.017417857,-0.013367500443040851,0.034050555233971526,-0.003265197790930676
599,2021-09-28 14:08:00,-0.010400051,-0.013066426230858413,0.03236064358987459,-0.029694268359016174
600,2021-09-28 14:38:00,0.020701564,-0.012763776150097888,0.028376019807465135,0.005089320342632752
601,2021-09-28 15:08:00,-0.002339996,-0.01245969183449815,0.011441500570243117,-0.0013218047357449678
602,2021-09-28 15:38:00,-0.035252095,-0.012154333142463116,-0.019195340740188242,-0.003902421117348639
603,2021-09-28 16:08:00,0.001606945,-0.011847883308385205,0.013930525528801831,-0.00047569722041662654
604,2021-09-28 16:38:00,-0.040664786,-0.011540545990285513,-0.012728744093360049,-0.01639549591635444
605,2021-09-28 17:08:00,-0.007735832,-0.011232545058969836,0.0072338230341346555,-0.0037371099751648193
606,2021-09-28 17:38:00,0.063521537,-0.010924099499022219,0.04476422926396183,0.029681407235060395
607,2021-09-28 18:08:00,0.001148265,-0.010615450736184865,-0.00560957111032189,0.017373286846506755
608,2021-09-28 18:38:00,-0.030577999,-0.010306934050688932,0.02114026881498499,-0.041411333764296065
609,2021-09-28 19:08:00,-0.010005188,-0.009998947268362264,0.008761571531472057,-0.00876781226310979
610,2021-09-28 19:38:00,-0.042106342,-0.009691801456095248,-0.061081600778369945,0.028667060234465195
611,2021-09-28 20:08:00,0.005030599,-0.009385696719257344,-0.0034550388320677625,0.017871334551325106
612,2021-09-28 20:38:00,-0.01304991,-0.009080719766041799,0.023986139206763,-0.027955329440721197
613,2021-09-28 21:08:00,-0.083119224,-0.008776634446962452,-0.017922589137538168,-0.05642000041549939
614,2021-09-28 21:38:00,-0.03820355,-0.008472404338905917,-0.005725564885692831,-0.024005580775401252
615,2021-09-28 22:08:00,-0.062389625,-0.00816563986459228,-0.03801707433749037,-0.016206910797917348
616,2021-09-28 22:38:00,0.013506149,-0.007852209529738492,0.02388242862673293,-0.0025240700969944383
617,2021-09-28 23:08:00,-0.067934578,-0.007526440901266826,-0.026213987023467483,-0.03419415007526568
618,2021-09-28 23:38:00,0.018613878,-0.0071164814727332805,-0.014310598269604187,0.04004095774233747
619,2021-09-29 00:08:00,-0.066955468,-0.006696711784791112,-0.03116481137063898,-0.029093944844569914
620,2021-09-29 00:38:00,-0.005547517,-0.006265103519684361,-0.007592261718355474,0.008309848238039836
621,2021-09-29 01:08:00,0.015699638,-0.005820304550423321,0.006401902899014299,0.01511803965140902
622,2021-09-29 01:38:00,0.027936219,-0.0053622764337945645,0.02331923561989332,0.009979259813901246
623,2021-09-29 02:08:00,0.013701873,-0.004891260943149896,-0.01110378576550901,0.029696919708658908
624,2021-09-29 02:38:00,0.018173898,-0.004408008864912166,-0.002631543357226086,0.02521345022213825
625,2021-09-29 03:08:00,-0.026286341,-0.003913734407771409,-0.0029760403710217855,-0.019396566221206807
626,2021-09-29 03:38:00,-0.002404066,-0.003409638961074971,0.05130700563729074,-0.050301432676215764
627,2021-09-29 04:08:00,-0.053362945,-0.0028973901353561865,-0.021258265480704242,-0.02920728938393957
628,2021-09-29 04:38:00,-0.03076052,-0.002379043220505239,-0.013268228012000009,-0.015113248767494751
629,2021-09-29 05:08:00,0.01168883,-0.0018571286621086875,0.00673502796859297,0.006810930693515719
630,2021-09-29 05:38:00,-0.004109266,-0.0013343086869345418,-0.006045718554125577,0.0032707612410601185
631,2021-09-29 06:08:00,0.009624783,-0.0008136861785294985,-0.040163115185761454,0.05060158436429095
632,2021-09-29 06:38:00,-0.02151286,-0.00029820992091064035,-0.01248056912690395,-0.008734080952185412
633,2021-09-29 07:08:00,0.016767693,0.00020908209058765833,0.002130625723625897,0.014427985185786444
634,2021-09-29 07:38:00,-0.032948452,0.0007056316362088393,-0.01698843254595799,-0.016665651090250855
635,2021-09-29 08:08:00,0.003645485,0.0011899995818462153,0.00954561927228312,-0.007090133854129334
636,2021-09-29 08:38:00,0.048837037,0.0016608388913413627,0.0006335600214917185,0.046542638087166924
637,2021-09-29 09:08:00,0.055467026,0.0021160712169574357,0.026738557033379746,0.02661239774966282
638,2021-09-29 09:38:00,0.042629047,0.002552623903667809,0.016846560980263974,0.02322986211606822
639,2021-09-29 10:08:00,-0.065150121,0.002967234780983871,-0.04224941838984521,-0.025867937391138667
640,2021-09-29 10:38:00,-0.025922013,0.0033570918398808367,-0.0025558868402139833,-0.026723217999666857
641,2021-09-29 11:08:00,0.019397432,0.003720089219523325,0.006844855740536709,0.008832487039939965
642,2021-09-29 11:38:00,-0.027400365,0.004055371339399955,-0.01151547960754016,-0.019940256731859795
643,2021-09-29 12:08:00,0.029341882,0.004363215302022759,0.010617211779577368,0.014361454918399871
644,2021-09-29 12:38:00,0.027927369,0.004644182170955447,0.011627792698515245,0.011655394130529309
645,2021-09-29 13:08:00,0.039366279,0.004899135828003099,0.036823736477317175,-0.0023565933053202766
646,2021-09-29 13:38:00,0.042914773,0.005129397808522848,0.027012713911537534,0.010772661279939623
647,2021-09-29 14:08:00,0.046488423,0.00533570539841375,0.01179457530965958,0.029358142291926674
648,2021-09-29 14:38:00,0.012895351,0.005519210498043863,0.011753666487737366,-0.004377525985781229
649,2021-09-29 15:08:00,0.032564211,0.005680331777799884,0.009644577852956582,0.017239301369243537
650,2021-09-29 15:38:00,-0.008132969,0.005819366636793954,-0.010712361956579017,-0.0032399736802149366
651,2021-09-29 16:08:00,0.010371575,0.0059371632546352205,0.003987925787237097,0.0004464859581276813
652,2021-09-29 16:38:00,0.007942123,0.006033841360264816,-0.006125444536597241,0.008033726176332426
653,2021-09-29 17:08:00,0.001489344,0.006108882802229667,0.0028149888512002483,-0.007434527653429915
654,2021-09-29 17:38:00,-0.013632035,0.0061625283884325964,0.023560499375215385,-0.043355062763647985
655,2021-09-29 18:08:00,-0.036948812,0.006195969844666339,-0.001216132976796049,-0.04192864886787029
656,2021-09-29 18:38:00,0.062129247,0.0062110919571445235,0.019194916139885734,0.03672323890296974
657,2021-09-29 19:08:00,0.021296124,0.006210704225881788,-0.006806975904714878,0.02189239567883309
658,2021-09-29 19:38:00,-0.049054362,0.0061984182680115294,-0.04449678720895083,-0.010755993059060696
659,2021-09-29 20:08:00,-0.005776631,0.006179030423479907,0.005278358368964078,-0.017234019792443985
660,2021-09-29 20:38:00,0.075689405,0.006157548080267311,0.005414243179076515,0.06411761374065618
661,2021-09-29 21:08:00,0.050995769,0.006137441618087839,0.0029158355132502386,0.041942491868661926
662,2021-09-29 21:38:00,0.061631606,0.006119809215604559,0.010525959808934074,0.044985836975461366
663,2021-09-29 22:08:00,0.006344578,0.006104137472114293,-0.02856085047366445,0.028801291001550156
664,2021-09-29 22:38:00,0.043060916,0.006089305656109329,0.03691295466446917,5.865567942149683e-05
665,2021-09-29 23:08:00,0.018732724,0.006074244876943797,-0.017109237074370134,0.02976771619742634
666,2021-09-29 23:38:00,-0.036060429,0.006058220594537738,-0.019507565879100172,-0.022611083715437564
667,2021-09-30 00:08:00,0.001157401,0.006039796670807465,-0.06111595549901088,0.05623355982820342
668,2021-09-30 00:38:00,0.025752269,0.0060175910907489675,-0.007350121191443122,0.027084799100694154
669,2021-09-30 01:08:00,0.015784732,0.005990774946409252,0.008888821462174257,0.00090513559141649
670,2021-09-30 01:38:00,0.014895503,0.0059577377233744865,0.0008431717107527477,0.008094593565872766
671,2021-09-30 02:08:00,-0.051025119,0.0059165891668375055,-0.02091646119272924,-0.03602524697410826
672,2021-09-30 02:38:00,-0.024008562,0.005865831436064077,-0.005933866353895701,-0.02394052708216838
673,2021-09-30 03:08:00,-0.054526854,0.005804790108232754,0.011777827870242685,-0.07210947197847545
674,2021-09-30 03:38:00,-0.023485541,0.005732647148167297,0.07085831786886435,-0.10007650601703164
675,2021-09-30 04:08:00,-0.026993098,0.005647999989801271,-0.025857057149294524,-0.006784040840506747
676,2021-09-30 04:38:00,-0.00376207,0.0055490776487290075,-0.013199882583276694,0.003888734934547687
677,2021-09-30 05:08:00,-0.013516412,0.005435138832248188,-0.004280850165049426,-0.014670700667198762
678,2021-09-30 05:38:00,-0.001684097,0.005306279200959519,0.012724133454091595,-0.019714509655051116
679,2021-09-30 06:08:00,-0.023817113,0.005163962261953915,-0.05076469176183867,0.021783616499884754
680,2021-09-30 06:38:00,0.002151743,0.005010026051158833,-0.007526533659586024,0.004668250608427191
681,2021-09-30 07:08:00,-0.006691019,0.004846741743152019,0.009520224507845686,-0.021057985250997703
682,2021-09-30 07:38:00,-0.012121474,0.004676009642506133,0.00222171580877072,-0.019019199451276853
683,2021-09-30 08:08:00,0.018605551,0.004498597261434364,0.030571757469930655,-0.016464803731365017
684,2021-09-30 08:38:00,-0.008245006,0.004315717016530643,-0.002696226632579232,-0.009864496383951411
685,2021-09-30 09:08:00,0.012966371,0.004129093093975973,0.023293252285453397,-0.01445597437942937
686,2021-09-30 09:38:00,0.021374356,0.003941840262391081,0.007381324705423719,0.0100511910321852
687,2021-09-30 10:08:00,-0.01334876,0.003756852602094469,-0.03885256804784787,0.021746955445753398
688,2021-09-30 10:38:00,0.030684711,0.003576172950859977,0.02357114388733578,0.0035373941618042424
689,2021-09-30 11:08:00,-0.011832117,0.0034016357563954225,-0.00046042483702247864,-0.014773327919372943
690,2021-09-30 11:38:00,-0.013704926,0.0032345666905524506,-0.04103597869469687,0.02409648600414442
691,2021-09-30 12:08:00,-0.011197841,0.0030760675068452485,0.01218499335763334,-0.026458901864478586
692,2021-09-30 12:38:00,0.046134886,0.002926784609199524,0.006514471773556895,0.03669362961724358
693,2021-09-30 13:08:00,0.017033072,0.002786152253599258,0.056425817806694506,-0.04217889806029377
694,2021-09-30 13:38:00,0.014931457,0.0026535631583663663,0.02009172600672794,-0.007813832165094304
695,2021-09-30 14:08:00,0.032244508,0.0025286840215099082,-0.008782420668856065,0.03849824464734616
696,2021-09-30 14:38:00,-0.019038094,0.002410867930291974,-0.006134176643309635,-0.015314785286982338
697,2021-09-30 15:08:00,-0.014092489,0.0023003580742025874,0.008602783886308625,-0.024995630960511214
698,2021-09-30 15:38:00,0.000712353,0.0021973013304006387,-0.004535696728950009,0.0030507483985493704
699,2021-09-30 16:08:00,-0.004452284,0.002101362186625062,-0.006490449083980654,-6.319710264440824e-05
700,2021-09-30 16:38:00,0.028767576,0.0020133181217808094,-0.0043714390034093956,0.031125696881628584
701,2021-09-30 17:08:00,0.052049354,0.0019340248599965819,-0.0014163136930480027,0.05153164283305142
702,2021-09-30 17:38:00,0.012296219,0.001863961161587388,0.0055054278569953525,0.004926829981417261
703,2021-09-30 18:08:00,0.042837087,0.0018023014138527425,0.0027563080012871855,0.038278477584860075
704,2021-09-30 18:38:00,0.064117887,0.0017477808985968725,0.0161456801209845,0.04622442598041863
705,2021-09-30 19:08:00,-0.02636812,0.0016975118666696985,-0.02163316336620025,-0.006432468500469446
706,2021-09-30 19:38:00,-0.083445369,0.001646756835351726,-0.024052274933502593,-0.06103985090184914
707,2021-09-30 20:08:00,-0.093513305,0.0015892801846736143,0.013172812938085412,-0.10827539812275902
708,2021-09-30 20:38:00,-0.019560421,0.0015186024967056336,-0.012722441991975954,-0.008356581504729682
709,2021-09-30 21:08:00,0.07335403,0.0014289794805088698,0.021988806518371925,0.0499362440011192
710,2021-09-30 21:38:00,-0.132659993,0.0013165235481491292,0.0279300963366732,-0.16190661288482233
711,2021-09-30 22:08:00,-0.019736911,0.0011793791412753598,-0.018590215659172838,-0.002326074482102521
712,2021-09-30 22:38:00,0.209229708,0.0010162704779464041,0.04841699855198752,0.15979643897006607
713,2021-09-30 23:08:00,0.036034243,0.0008258101162265114,-0.008978229642890781,0.04418666252666427
714,2021-09-30 23:38:00,-0.075015571,0.0006059710365297197,-0.022571510004770822,-0.0530500320317589
715,2021-10-01 00:08:00,-0.14777056,0.00035555089122569984,-0.08407845576550176,-0.06404765512572394
716,2021-10-01 00:38:00,-0.086778329,7.505830307852137e-05,-0.00824041542668366,-0.07861297187639486
717,2021-10-01 01:08:00,0.026575125,-0.00023432676164726978,0.009214016125152286,0.017595435636494985
718,2021-10-01 01:38:00,-0.021072057,-0.0005701979845056471,-0.02188363700088133,0.001381777985386976
719,2021-10-01 02:08:00,-0.037196883,-0.0009304325766977258,-0.02730842133010709,-0.008958029093195184
720,2021-10-01 02:38:00,-0.025734738,-0.0013116787773970922,-0.002699196583466073,-0.021723862639136837
721,2021-10-01 03:08:00,0.104505651,-0.001711414581245453,0.024510516537907534,0.08170654904333792
722,2021-10-01 03:38:00,0.110078267,-0.0021283189320104507,0.0959914094157733,0.01621517651623714
723,2021-10-01 04:08:00,-0.00789204,-0.0025611980933906843,-0.028825166745966475,0.02349432483935716
724,2021-10-01 04:38:00,-0.008233843,-0.003008254099547922,-0.01361967607823653,0.008394087177784454
725,2021-10-01 05:08:00,0.001374877,-0.0034661437426517653,-0.019405466914712906,0.02424648765736467
726,2021-10-01 05:38:00,0.050011454,-0.003930336805723457,0.028326617036362477,0.025615173769360976
727,2021-10-01 06:08:00,-0.100447069,-0.004396062414470119,-0.06356376142976893,-0.03248724515576096
728,2021-10-01 06:38:00,-0.000576534,-0.004857874195377944,-0.0038882419724729,0.008169582167850844
729,2021-10-01 07:08:00,-0.009301797,-0.005310680090232243,0.01638037171419229,-0.020371488623960047
730,2021-10-01 07:38:00,0.063853512,-0.0057492664166015305,0.018613497502999704,0.05098928091360183
731,2021-10-01 08:08:00,0.054449539,-0.00617042995838597,0.05174998071318232,0.008869988245203648
732,2021-10-01 08:38:00,-0.190942904,-0.00657220913579543,-0.009022472171491333,-0.17534822269271325
733,2021-10-01 09:08:00,0.024314006,-0.006952064956621717,0.015180190123067252,0.016085880833554465
734,2021-10-01 09:38:00,0.115781921,-0.0073075285836855155,-0.004326712504328089,0.1274161620880136
735,2021-10-01 10:08:00,-0.039302039,-0.007635031036428717,-0.03431541263717748,0.0026484046736062012
736,2021-10-01 10:38:00,-0.148157844,-0.007931345618716194,0.051362357132684916,-0.19158885551396873
737,2021-10-01 11:08:00,-0.065527568,-0.008193424799464614,-0.005320728147458782,-0.05201341505307659
738,2021-10-01 11:38:00,0.074308745,-0.008418973168244017,-0.06748026089278494,0.15020797906102895
739,2021-10-01 12:08:00,-0.005296541,-0.008606130453310467,0.013764988454040995,-0.010455399000730526
740,2021-10-01 12:38:00,-0.037597525,-0.008752135570474294,0.0014973535145925906,-0.030342742944118296
741,2021-10-01 13:08:00,0.099217584,-0.00885489157587726,0.07478734819889488,0.03328512737698238
