Event_No,Datetime,Y_Acc_Filtered_RMS_observed,Y_Acc_Filtered_RMS_trend,Y_Acc_Filtered_RMS_seasonal,Y_Acc_Filtered_RMS_resid
571,2021-09-28 00:08:00,24.8764425,16.311980800836043,6.795363933632748,1.7690977655312103
572,2021-09-28 00:38:00,20.97886761,16.413143481745816,3.8033781248331433,0.7623460034210403
573,2021-09-28 01:08:00,21.37208808,16.51425329027044,4.045238884218784,0.8125959055107792
574,2021-09-28 01:38:00,19.28592499,16.61529705366433,2.5380445493676334,0.13258338696803662
575,2021-09-28 02:08:00,18.7881827,16.716259161728065,2.63478362162744,-0.5628600833555062
576,2021-09-28 02:38:00,19.1832437,16.817123100747732,2.4588300360263564,-0.09270943677408994
577,2021-09-28 03:08:00,19.17387101,16.917872822769866,1.916107027056641,0.33989116017349374
578,2021-09-28 03:38:00,19.08590968,17.0184920633937,1.830596927736158,0.2368206888701394
579,2021-09-28 04:08:00,18.19637042,17.118963444017268,1.6905989714217788,-0.6131919954390455
580,2021-09-28 04:38:00,17.70125439,17.219268827910955,0.8816928756340512,-0.399707313545008
581,2021-09-28 05:08:00,16.46551441,17.31939072306099,0.024323701697471767,-0.8782000147584625
582,2021-09-28 05:38:00,16.50533072,17.419312522977894,-0.012211555249842184,-0.9017702477280523
583,2021-09-28 06:08:00,15.39555369,17.519019239898384,-1.1607595807082507,-0.9627059691901323
584,2021-09-28 06:38:00,14.65085184,17.61849782834726,-1.9442428515762231,-1.0234031367710372
585,2021-09-28 07:08:00,15.32879782,17.71773740004485,-1.0559822869362752,-1.3329572931085742
586,2021-09-28 07:38:00,15.39331222,17.81672956003921,-3.443145484097001,1.0197281440577903
587,2021-09-28 08:08:00,14.57901769,17.9154681398058,-3.0829777903013293,-0.25347265950447095
588,2021-09-28 08:38:00,14.18408315,18.01394641076615,-4.048305545094523,0.21844228432837198
589,2021-09-28 09:08:00,14.4496569,18.112157940571446,-2.933507698991921,-0.7289933415795247
590,2021-09-28 09:38:00,13.82690074,18.21009677353952,-3.1832835192183513,-1.19991251432117
591,2021-09-28 10:08:00,13.37272821,18.307758899918635,-4.04440838006619,-0.8906223098524464
592,2021-09-28 10:38:00,12.94695172,18.405143366241965,-5.069039396156495,-0.38915225008546983
593,2021-09-28 11:08:00,13.53157727,18.502252124200545,-4.046073937930579,-0.9246009162699664
594,2021-09-28 11:38:00,13.82330187,18.59908968287986,-3.698642464191855,-1.0771453486880063
595,2021-09-28 12:08:00,13.95540583,18.695664075070255,-3.838015992263732,-0.9022422528065235
596,2021-09-28 12:38:00,16.55235287,18.7919876725298,-2.074288602661394,-0.16534619986840582
597,2021-09-28 13:08:00,18.15852239,18.888077301677303,-1.2454519390220988,0.5158970273447991
598,2021-09-28 13:38:00,18.21436682,18.983953411612383,-1.5058075835233737,0.7362209919109901
599,2021-09-28 14:08:00,20.3490844,19.07963913926393,0.6301636475113924,0.6392816132246786
600,2021-09-28 14:38:00,18.82559784,19.175160112203976,-0.11007280984092419,-0.2394894623630499
601,2021-09-28 15:08:00,19.65774185,19.27054527003874,0.34765495376719374,0.03954162619406887
602,2021-09-28 15:38:00,20.98259966,19.36582889825793,0.2965540983142564,1.3202166634278143
603,2021-09-28 16:08:00,20.17433441,19.461050951174574,-0.647739245800721,1.3610227046261478
604,2021-09-28 16:38:00,20.97716966,19.55625555718859,0.5518512430177789,0.8690628597936332
605,2021-09-28 17:08:00,22.02931097,19.651491203281033,1.6609611287583572,0.7168586379606126
606,2021-09-28 17:38:00,22.01069346,19.74681244599791,0.8624190715799471,1.4014619424221415
607,2021-09-28 18:08:00,22.19883229,19.842281198939624,1.359815057573442,0.9967360334869326
608,2021-09-28 18:38:00,20.67175214,19.937966711436125,0.22427737315970325,0.5095080554041687
609,2021-09-28 19:08:00,20.77680933,20.0339471679526,0.3702660791980599,0.37259608284933776
610,2021-09-28 19:38:00,21.23882704,20.130311684961296,0.03582205866377257,1.0726932963749327
611,2021-09-28 20:08:00,21.61278103,20.227159704887214,0.5535856953586858,0.8320356297541025
612,2021-09-28 20:38:00,23.87077207,20.324594327268912,1.8675348223288886,1.6786429204022006
613,2021-09-28 21:08:00,23.42227409,20.42270771102811,1.85970626844643,1.1398601105254578
614,2021-09-28 21:38:00,23.1965272,20.52154771604057,1.832698980169217,0.8422805037902137
615,2021-09-28 22:08:00,23.33724024,20.62105927852613,1.8589050938330618,0.8572758676408085
616,2021-09-28 22:38:00,22.01711878,20.72099008925353,0.6649576325078682,0.6311710582386034
617,2021-09-28 23:08:00,21.84161039,20.820775065412114,1.551421991015144,-0.5305866664272578
618,2021-09-28 23:38:00,22.0844617,20.88831510204951,1.1354207763817536,0.06072582156873452
619,2021-09-29 00:08:00,22.46995495,20.949657902079288,3.3473193911313097,-1.8270223432105972
620,2021-09-29 00:38:00,21.96455244,21.004504310020966,2.0297068677912797,-1.0696587378122473
621,2021-09-29 01:08:00,21.85717738,21.052692428693515,2.16858559273493,-1.364100641428447
622,2021-09-29 01:38:00,22.08436883,21.094153032331633,1.5025586042355283,-0.5123428065671618
623,2021-09-29 02:08:00,23.17236826,21.12886359101255,1.6578181253808237,0.38568654360662435
624,2021-09-29 02:38:00,21.91946108,21.156868620893196,1.43026900660589,-0.6676765474990844
625,2021-09-29 03:08:00,20.91019933,21.178296354551055,0.9041245006216634,-1.1722215251727164
626,2021-09-29 03:38:00,21.22199628,21.1933622591768,0.5695887249830967,-0.5409547041598977
627,2021-09-29 04:08:00,23.10716065,21.20235579206616,1.020044699225855,0.8847601587079836
628,2021-09-29 04:38:00,21.74793403,21.205636157327138,0.21664833742111372,0.325649535251749
629,2021-09-29 05:08:00,22.03381649,21.20358953771548,-0.052485284400710985,0.8827122366852294
630,2021-09-29 05:38:00,22.62023237,21.19658794024099,-0.02790918880134842,1.4515536185603608
631,2021-09-29 06:08:00,21.88525717,21.184971140534852,-1.0957776319702888,1.7960636614354364
632,2021-09-29 06:38:00,22.22428443,21.16904903665082,-1.2967931073062837,2.3520285006554644
633,2021-09-29 07:08:00,23.31296425,21.149102807961697,-0.6829071750593683,2.8467686170976734
634,2021-09-29 07:38:00,22.40390867,21.125401726747423,0.8811282953051647,0.39737864794741284
635,2021-09-29 08:08:00,21.61988403,21.09818635919762,-0.7130225731198097,1.2347202439221903
636,2021-09-29 08:38:00,21.38682345,21.067673253409815,-0.7734315560805579,1.0925817526707426
637,2021-09-29 09:08:00,23.63613247,21.034050403077952,-0.3017197038038164,2.903801770725863
638,2021-09-29 09:38:00,23.56687016,20.99745361422376,-0.955923325253186,3.5253398710294235
639,2021-09-29 10:08:00,23.09609266,20.95794829382934,-1.5332302438845482,3.67137461005521
640,2021-09-29 10:38:00,25.87691383,20.915534136303332,-2.41051587242145,7.371895566118116
641,2021-09-29 11:08:00,23.42685614,20.870144044674387,-2.0024023820674297,4.559114477393045
642,2021-09-29 11:38:00,23.65125683,20.821652733100294,-2.0134003144811374,4.843004411380846
643,2021-09-29 12:08:00,23.69681073,20.769881783185156,-2.0484041128591284,4.9753330596739715
644,2021-09-29 12:38:00,21.6315942,20.71461674733432,-1.142908293272066,2.059885745937745
645,2021-09-29 13:08:00,20.84759033,20.65563356616082,-0.9799336785683879,1.171890442407566
646,2021-09-29 13:38:00,20.4483185,20.592719201919955,-1.006542402213344,0.8621417002933889
647,2021-09-29 14:08:00,20.81297912,20.52566702916953,-0.4848946272870678,0.7722067181175412
648,2021-09-29 14:38:00,21.30723815,20.45425648164862,-0.514498731045873,1.3674803993972517
649,2021-09-29 15:08:00,20.12776522,20.378260121002906,-0.5525499782443608,0.3020550772414552
650,2021-09-29 15:38:00,19.6199247,20.29748583527841,-0.5637155158442626,-0.1138456194341515
651,2021-09-29 16:08:00,19.03242688,20.211832123389257,-1.3163525657585682,0.13694732236930918
652,2021-09-29 16:38:00,19.88674596,20.12130786688701,-0.688889609304437,0.4543277024174266
653,2021-09-29 17:08:00,20.03129959,20.026040906725942,0.45435301917238824,-0.44909433589833014
654,2021-09-29 17:38:00,19.26349449,19.9262047209131,-0.28135818541463953,-0.3813520454984598
655,2021-09-29 18:08:00,20.36059966,19.821976532346753,0.30760648816401615,0.2310166394892299
656,2021-09-29 18:38:00,18.7614771,19.713499309039612,-0.17478654771523963,-0.7772356613243723
657,2021-09-29 19:08:00,19.33940944,19.6008735076649,-0.22785846573916796,-0.03360560192573203
658,2021-09-29 19:38:00,17.53280593,19.48423416102141,-0.07747378604343466,-1.8739544449779757
659,2021-09-29 20:08:00,18.70096435,19.363886498826584,0.21482344563138414,-0.87774559445797
660,2021-09-29 20:38:00,18.4599012,19.24040577858355,1.4427377800541117,-2.2232423586376626
661,2021-09-29 21:08:00,18.8051397,19.11438034115752,1.807559454402457,-2.1168000955599773
662,2021-09-29 21:38:00,19.01901258,18.986366827539914,1.6692548081885459,-1.63660905572846
663,2021-09-29 22:08:00,19.05007215,18.856923575534793,1.0260680320417637,-0.8329194575765584
664,2021-09-29 22:38:00,18.40650149,18.726629600515224,0.2611161348563902,-0.5812442453716145
665,2021-09-29 23:08:00,20.54390981,18.596081682576507,0.8869465408411535,1.0608815865823367
666,2021-09-29 23:38:00,18.76815869,18.465904430910967,0.031172071069449026,0.2710821880195837
667,2021-09-30 00:08:00,17.9103741,18.336721899894105,0.4947430352956151,-0.9210908351897231
668,2021-09-30 00:38:00,18.89880655,18.209158220896303,0.40032769725892337,0.28932063184477386
669,2021-09-30 01:08:00,19.12862586,18.083834728207506,0.3702786926719609,0.6745124391205337
670,2021-09-30 01:38:00,19.28355623,17.961367766049378,0.335461044795506,0.9867274191551161
671,2021-09-30 02:08:00,19.3920325,17.842363681757615,0.3542783362524552,1.1953904819899286
672,2021-09-30 02:38:00,19.7527431,17.72737913793858,0.03535032309247216,1.9900136389689465
673,2021-09-30 03:08:00,18.98849723,17.616887090289893,-0.32388769881404966,1.6954978385241581
674,2021-09-30 03:38:00,17.55298675,17.511268209107502,-0.7604312650445298,0.8021498059370273
675,2021-09-30 04:08:00,18.02262964,17.41082048659243,0.1626074134269644,0.4492017399806052
676,2021-09-30 04:38:00,17.55692237,17.315752879545947,-0.6822813263701825,0.9234508168242357
677,2021-09-30 05:08:00,17.88462384,17.22618954027312,-0.5177617421971306,1.1761960419240118
678,2021-09-30 05:38:00,17.14140668,17.142174276172273,-0.25120573994352474,0.25043814377125173
679,2021-09-30 06:08:00,15.75513939,17.063674202060565,-1.170660467584413,-0.13787434447615254
680,2021-09-30 06:38:00,15.08695474,16.990587463015753,-0.7731042909181955,-1.1305284320975577
681,2021-09-30 07:08:00,15.86961988,16.922742054458645,-0.4219296204167658,-0.6311925540418777
682,2021-09-30 07:38:00,15.85596977,16.859898314133723,5.383801330716204,-6.387729874849928
683,2021-09-30 08:08:00,16.06994355,16.801818001832835,1.5131544951363403,-2.2450289469691747
684,2021-09-30 08:38:00,14.56739728,16.748436195619362,2.4745323678168374,-4.655571283436199
685,2021-09-30 09:08:00,15.36567204,16.700230496444025,2.341187039133612,-3.6757454955776367
686,2021-09-30 09:38:00,14.86863558,16.659965720664587,1.1576549331841934,-2.9489850738487817
687,2021-09-30 10:08:00,14.9736902,16.63289790669497,1.089099834900229,-2.7483075415951994
688,2021-09-30 10:38:00,14.05465892,16.62734425781768,0.3226938396322084,-2.895379177449888
689,2021-09-30 11:08:00,14.08829951,16.655048566031358,0.20033072849827244,-2.7670797845296295
690,2021-09-30 11:38:00,13.93815058,16.730672723519508,-0.21050203499423978,-2.582020108525267
691,2021-09-30 12:08:00,13.30407277,16.871011447592664,-0.11782303379492123,-3.449115643797743
692,2021-09-30 12:38:00,13.3081034,17.09298411698497,-0.11096762256476246,-3.6739130944202056
693,2021-09-30 13:08:00,13.39954779,17.41047070241659,-0.5578743219054321,-3.453048590511157
694,2021-09-30 13:38:00,13.67045231,17.830903887872324,-0.36506679713644297,-3.7953847807358816
695,2021-09-30 14:08:00,15.19728866,18.35255676105382,-1.4033101867352888,-1.751957914318531
696,2021-09-30 14:38:00,16.65629424,18.963729058340306,-0.8464516059662264,-1.460983212374078
697,2021-09-30 15:08:00,18.35634556,19.644479897162093,-1.3985632922338982,0.11042895507180717
698,2021-09-30 15:38:00,14.99303139,20.37026250108977,-1.3196719939392187,-4.05755911715055
699,2021-09-30 16:08:00,14.11481239,21.116107289791152,-1.7971629687124135,-5.204131931078738
700,2021-09-30 16:38:00,13.19828599,21.8604729288633,-1.7609641182378908,-6.901222820625408
701,2021-09-30 17:08:00,13.29739565,22.587273302847837,-0.7272845951097348,-8.562593057738102
702,2021-09-30 17:38:00,16.07123071,23.286382164564493,-1.323601031233197,-5.891550423331299
703,2021-09-30 18:08:00,20.02306228,23.952828676620495,-0.632316144771177,-3.297450251849316
704,2021-09-30 18:38:00,25.52455024,24.585572568539302,-0.5101278505259441,1.4491055219866418
705,2021-09-30 19:08:00,37.70694779,25.186385326742073,-0.7275163604384037,13.248078823696328
706,2021-09-30 19:38:00,44.10513882,25.758836333071756,-0.2823706408229687,18.628673127751213
707,2021-09-30 20:08:00,50.72992677,26.307359595896838,-0.07514408957591276,24.497711263679076
708,2021-09-30 20:38:00,56.52244493,26.83643079759867,1.037477874434753,28.64853625796658
709,2021-09-30 21:08:00,60.06191224,27.350358993918707,1.6315131281037512,31.080040117977543
710,2021-09-30 21:38:00,61.82100193,27.85327237549706,1.3952221906923474,32.5725073638106
711,2021-09-30 22:08:00,63.04649126,28.348872164807055,0.28824174271991665,34.40937735247303
712,2021-09-30 22:38:00,64.02305917,28.84049512397801,-0.08316301323451206,35.2657270592565
713,2021-09-30 23:08:00,59.1073297,29.331398537308303,0.3025023593337966,29.473428803357905
714,2021-09-30 23:38:00,54.42325263,29.824661184490825,-0.9726854933750912,25.571276938884264
715,2021-10-01 00:08:00,55.14649125,30.323101719019842,-1.327497744177123,26.150887275157277
716,2021-10-01 00:38:00,53.30414357,30.82920576788787,-0.8167207886474855,23.291658590759617
717,2021-10-01 01:08:00,54.43856955,31.34505320641137,-1.0594547568015766,24.152971100390204
718,2021-10-01 01:38:00,51.15105353,31.87227285268583,-0.8135453958106987,20.09232607312487
719,2021-10-01 02:08:00,51.02694674,32.41202936697677,-1.2687862209586795,19.883703593981913
720,2021-10-01 02:38:00,48.82986044,32.96503757744213,-1.5703935497988053,17.435216412356674
721,2021-10-01 03:08:00,50.72450691,33.53159715135036,-1.5347692243372126,18.727678982986852
722,2021-10-01 03:38:00,47.44064545,34.11162348469126,-1.9853537719636023,15.314375737272343
723,2021-10-01 04:08:00,50.18984056,34.704692406697546,-0.9067612883847975,16.391909441687254
724,2021-10-01 04:38:00,49.2763729,35.310148232094,-1.7774608264076623,15.74368549431366
725,2021-10-01 05:08:00,45.82585918,35.927237821420825,-1.4271372971283658,11.325758655707546
726,2021-10-01 05:38:00,47.96228957,36.55520558315916,-0.7763355756832762,12.183419562524122
727,2021-10-01 06:08:00,50.1317592,37.193369337014474,-1.5012847990992109,14.439674662084734
728,2021-10-01 06:38:00,46.78674294,37.841126235065325,-0.6237730054776913,9.569389710412374
729,2021-10-01 07:08:00,50.59846014,38.4979156162057,-0.48451915331956696,12.585063677113865
730,2021-10-01 07:38:00,49.52991072,39.162644224799784,10.08552080612686,0.28174568907335384
731,2021-10-01 08:08:00,48.45357401,39.83368260838943,3.3136862769941717,5.3062051246163975
732,2021-10-01 08:38:00,49.77248419,40.508528115065054,5.461979057910367,3.8019770170245764
733,2021-10-01 09:08:00,48.21554541,41.18368907807038,4.6553916645439575,2.3764646673856618
734,2021-10-01 09:38:00,48.42044229,41.85491939185562,2.700106496712633,3.8654164014317445
735,2021-10-01 10:08:00,46.22463183,42.516766292439385,3.5228933866257197,0.18497215093489672
736,2021-10-01 10:38:00,47.20425256,43.162378158402255,2.8538083869649764,1.188066014632767
737,2021-10-01 11:08:00,45.62890924,43.78358277033636,2.234754665196908,-0.3894281955332701
738,2021-10-01 11:38:00,45.89290705,44.37145345523944,1.3674040015196542,0.15404959324090584
739,2021-10-01 12:08:00,47.02124158,44.91762811540905,1.6002543918954597,0.5033590726954884
740,2021-10-01 12:38:00,47.88082069,45.41565489876484,0.8282316747024325,1.6369341165327285
741,2021-10-01 13:08:00,46.77773001,45.86210583603753,-0.09129272634645158,1.006916900308923
742,2021-10-01 13:38:00,47.55189139,46.25718389428965,0.29753601959714826,0.997171476113202
