Event_No,Datetime,Hs (m)_observed,Hs (m)_trend,Hs (m)_seasonal,Hs (m)_resid
571,2021-09-28 00:08:00,0.342502173,0.3104148104570799,0.021922102549492603,0.010165259993427489
572,2021-09-28 00:38:00,0.342502173,0.31198186913112896,0.06654895201075255,-0.0360286481418815
573,2021-09-28 01:08:00,0.333376596,0.31354701842320315,0.008591100110277259,0.011238477466519625
574,2021-09-28 01:38:00,0.337939385,0.3151102477212298,0.03140840429890197,-0.008579267020131787
575,2021-09-28 02:08:00,0.337939385,0.31667154619218746,0.03272270148926741,-0.011454862681454903
576,2021-09-28 02:38:00,0.32048956,0.3182309185432888,0.007017290194088823,-0.00475864873737758
577,2021-09-28 03:08:00,0.332122776,0.3197883965718916,0.023171255521578133,-0.010836876093469727
578,2021-09-28 03:38:00,0.332122776,0.3213440317855772,-0.0028637968269501725,0.013642541041372969
579,2021-09-28 04:08:00,0.326335491,0.32289789305320243,0.017119993772761445,-0.013682395825963922
580,2021-09-28 04:38:00,0.330675955,0.3244500396912586,-0.0077126001164757214,0.01393851542521718
581,2021-09-28 05:08:00,0.330675955,0.32600054520060295,-0.008862519659052843,0.013537929458449893
582,2021-09-28 05:38:00,0.292070112,0.32754946433146415,-0.023824002658676287,-0.011655349672787862
583,2021-09-28 06:08:00,0.31806794,0.329096832017079,-0.02516157676053235,0.014132684743453361
584,2021-09-28 06:38:00,0.312965054,0.33064269306812444,-0.030742836862259794,0.013065197794135397
585,2021-09-28 07:08:00,0.298915685,0.3321870728336048,-0.03970497543833658,0.0064335876047317275
586,2021-09-28 07:38:00,0.309452712,0.33372997055977416,-0.026600426968529232,0.002323168408755072
587,2021-09-28 08:08:00,0.305773763,0.3352713704236005,-0.03345466692501606,0.003957059501415505
588,2021-09-28 08:38:00,0.275700552,0.33681124896345793,-0.05491664313049786,-0.006194053832960067
589,2021-09-28 09:08:00,0.29825546,0.3383495773847949,-0.04067568800760174,0.0005815706228068374
590,2021-09-28 09:38:00,0.29728169,0.3398863330968438,-0.027896676778656884,-0.014707966318186938
591,2021-09-28 10:08:00,0.29099201,0.3414214991726623,-0.045528127509125806,-0.004901361663536441
592,2021-09-28 10:38:00,0.301169569,0.3429550810223872,-0.024080134804998876,-0.017705377217388296
593,2021-09-28 11:08:00,0.293266874,0.34448710385861087,-0.043197568180533955,-0.008022661678076914
594,2021-09-28 11:38:00,0.321188579,0.346017626088492,-0.00917963768310822,-0.01564940940538384
595,2021-09-28 12:08:00,0.298851215,0.347546735790739,-0.03617544451867067,-0.012520076272068359
596,2021-09-28 12:38:00,0.351492014,0.3490745607150083,-0.0032482099355775357,0.0056656632205692725
597,2021-09-28 13:08:00,0.309366481,0.35060126464636354,-0.029625623699548048,-0.01160915994681544
598,2021-09-28 13:38:00,0.355310862,0.3521270293012135,-0.014638759378262794,0.017822592077049337
599,2021-09-28 14:08:00,0.325288542,0.35365206574470637,-0.020456661135488816,-0.007906862609217524
600,2021-09-28 14:38:00,0.365513025,0.3551765883967979,0.0011581151780887871,0.009178321425113323
601,2021-09-28 15:08:00,0.33893481,0.35670083904761596,-0.026686932118570383,0.008920903070954389
602,2021-09-28 15:38:00,0.394333885,0.35822507327528247,0.01163326959637203,0.024475542128345518
603,2021-09-28 16:08:00,0.357567673,0.3597495478700218,-0.02030568286754339,0.018123807997521557
604,2021-09-28 16:38:00,0.405457324,0.3612744928721695,0.013554332838048449,0.030628498289782036
605,2021-09-28 17:08:00,0.374421422,0.3628001004720023,-0.013616739792330732,0.025238061320328464
606,2021-09-28 17:38:00,0.388699711,0.36432649100221515,0.009928088266121758,0.014445131731663119
607,2021-09-28 18:08:00,0.381862961,0.365853697096368,-0.008244239387635686,0.024253503291267686
608,2021-09-28 18:38:00,0.398241155,0.3673816515966789,0.07757776237814434,-0.046718258974823235
609,2021-09-28 19:08:00,0.39044902,0.3689101704411731,0.0083377279550181,0.013201121603808819
610,2021-09-28 19:38:00,0.377492071,0.37043903834991504,0.019100967765626926,-0.012047935115541974
611,2021-09-28 20:08:00,0.392844829,0.37196787719889274,0.009440165231529102,0.011436786569578195
612,2021-09-28 20:38:00,0.38517237,0.3734960713601141,0.01992691421852821,-0.008250615578642317
613,2021-09-28 21:08:00,0.391012526,0.37502261030629325,0.012622355253182062,0.0033675604405247195
614,2021-09-28 21:38:00,0.391222171,0.37654598095801867,0.01105539414352495,0.003620795898456375
615,2021-09-28 22:08:00,0.388165495,0.37806406878457527,0.027308553006081513,-0.01720712679065678
616,2021-09-28 22:38:00,0.362288472,0.37957435961730834,-0.023897470542973066,0.006611582925664716
617,2021-09-28 23:08:00,0.382883248,0.3810749440229065,0.02572072218968835,-0.02391241821259482
618,2021-09-28 23:38:00,0.454617074,0.3824935515034612,0.054315626542893215,0.01780789595364557
619,2021-09-29 00:08:00,0.394158431,0.3838863393106915,0.024964418482709912,-0.014692326793401433
620,2021-09-29 00:38:00,0.467199971,0.38524841052975056,0.030062556605373228,0.051889003864876215
621,2021-09-29 01:08:00,0.412100011,0.3865745833785746,0.02321929088508843,0.00230613673633695
622,2021-09-29 01:38:00,0.372012146,0.3878590729111212,-0.0074641885347730115,-0.008382738376348231
623,2021-09-29 02:08:00,0.409467967,0.3890953949058957,0.007233440180390285,0.01313913191371402
624,2021-09-29 02:38:00,0.363294124,0.390276914244144,-0.01631708621344967,-0.010665704030694334
625,2021-09-29 03:08:00,0.403882357,0.39139669927938886,0.0006112143222043978,0.011874443398406764
626,2021-09-29 03:38:00,0.378341654,0.39244919611043005,0.013745718755428946,-0.027853260865858986
627,2021-09-29 04:08:00,0.407092994,0.3934296719733869,-0.00023970239651730863,0.013903024423130406
628,2021-09-29 04:38:00,0.370885041,0.39433491256275616,-0.000833576185601966,-0.02261629537715415
629,2021-09-29 05:08:00,0.390346587,0.3951626182292943,0.011169684045523128,-0.015985715274817458
630,2021-09-29 05:38:00,0.39822803,0.3959107182134183,-0.0071235051572258595,0.009440816943807606
631,2021-09-29 06:08:00,0.376552199,0.39657812743608933,-0.0008348297602781664,-0.019191098675811202
632,2021-09-29 06:38:00,0.373310292,0.3971643160884435,-0.0008967206410772067,-0.022957303447366295
633,2021-09-29 07:08:00,0.376811828,0.397669194505625,-0.012169918355991396,-0.00868744814963357
634,2021-09-29 07:38:00,0.408872414,0.398093572924836,0.008021528891228608,0.002757312183935434
635,2021-09-29 08:08:00,0.385927486,0.3984389380345832,-0.01053312073093648,-0.0019783313036467187
636,2021-09-29 08:38:00,0.407143338,0.3987074267244596,-0.004461654523883859,0.012897565799424304
637,2021-09-29 09:08:00,0.391687823,0.39890180895067645,-0.013738957480793656,0.006524971530117218
638,2021-09-29 09:38:00,0.443856462,0.3990250246658097,0.010222719320018211,0.03460871801417209
639,2021-09-29 10:08:00,0.406282107,0.3990804221481512,-0.011693274116968185,0.01889495896881699
640,2021-09-29 10:38:00,0.470494342,0.39907137242657403,0.01679261478207441,0.05463035479135159
641,2021-09-29 11:08:00,0.42073537,0.39900126162433663,-0.007314794355950548,0.029048902731613924
642,2021-09-29 11:38:00,0.448655854,0.3988729035327718,-0.000748259653822051,0.05053121012105022
643,2021-09-29 12:08:00,0.435804482,0.39868872040148884,-0.006053395053855668,0.043169156652366814
644,2021-09-29 12:38:00,0.406693748,0.3984507847860557,-0.000726985806415619,0.008969949020359913
645,2021-09-29 13:08:00,0.435368749,0.39816078926245385,-0.008250242848514753,0.045458202586060925
646,2021-09-29 13:38:00,0.391734645,0.39782052648706584,-0.011280242731930006,0.005194361244864165
647,2021-09-29 14:08:00,0.43228701,0.3974314982395619,-0.01030556996503907,0.04516108172547717
648,2021-09-29 14:38:00,0.401131734,0.3969954853188397,-0.0012847178797845621,0.005420966560944873
649,2021-09-29 15:08:00,0.423742065,0.39651444392614504,-0.010338313119012133,0.03756593419286708
650,2021-09-29 15:38:00,0.393753507,0.39599141727321496,-0.0038703369886205615,0.0016324267154055883
651,2021-09-29 16:08:00,0.408393898,0.3954302826709421,-0.01430909916612069,0.02727271449517854
652,2021-09-29 16:38:00,0.399683723,0.3948369826004904,-0.011845717959179046,0.016692458358688655
653,2021-09-29 17:08:00,0.398599471,0.3942183276921363,-0.016639460236113776,0.021020603543977445
654,2021-09-29 17:38:00,0.398124309,0.39358249972942466,-0.021018695759915246,0.02556050503049062
655,2021-09-29 18:08:00,0.396885584,0.39293793375584835,-0.02140001030129802,0.02534766054544968
656,2021-09-29 18:38:00,0.489664474,0.39229192725174067,0.02928217824547044,0.06809036850278893
657,2021-09-29 19:08:00,0.416471549,0.39165160964101825,-0.015317187312440554,0.040137126671422274
658,2021-09-29 19:38:00,0.391060957,0.39102462548207934,-0.005955705571452741,0.005992037089373403
659,2021-09-29 20:08:00,0.414457394,0.39041950238452044,-0.017374300005174606,0.041412191620654126
660,2021-09-29 20:38:00,0.351891589,0.38984787462596177,0.001967052004899378,-0.039923337630861144
661,2021-09-29 21:08:00,0.40608501,0.3893225552212372,-0.0132391806988707,0.030001635477633515
662,2021-09-29 21:38:00,0.357090837,0.3888592753704617,-0.01889102680549691,-0.012877411564964802
663,2021-09-29 22:08:00,0.397566433,0.3884735355146969,0.008934303356812933,0.00015859412849017485
664,2021-09-29 22:38:00,0.330761404,0.3881811505091869,-0.019038885699803422,-0.038380860809383466
665,2021-09-29 23:08:00,0.384093852,0.3879969641063589,0.016276217815803365,-0.02017932992216226
666,2021-09-29 23:38:00,0.374735828,0.3879319344280742,0.015136365023691884,-0.028332471451766095
667,2021-09-30 00:08:00,0.361108123,0.38799831299337506,0.026239153081085733,-0.053129343074460766
668,2021-09-30 00:38:00,0.354350209,0.3882062200955943,-0.008352974647081029,-0.02550303644851326
669,2021-09-30 01:08:00,0.353765973,0.3885673300857622,0.03895941938899622,-0.07376077647475843
670,2021-09-30 01:38:00,0.350844836,0.3890904297501974,-0.049595053747316806,0.011349459997119393
671,2021-09-30 02:08:00,0.353556623,0.3897841901798035,-0.01569120596899812,-0.02053636121080532
672,2021-09-30 02:38:00,0.355900103,0.39065498616804034,-0.04093942260115714,0.006184539433116809
673,2021-09-30 03:08:00,0.353318476,0.39170842907522224,-0.01952079037065716,-0.018869162704565068
674,2021-09-30 03:38:00,0.370158387,0.392948860112753,0.023374729993451603,-0.04616520310620459
675,2021-09-30 04:08:00,0.361197873,0.3943805142965364,-0.017437591389065286,-0.01574504990747111
676,2021-09-30 04:38:00,0.348498929,0.39600785876564454,0.0025954142716821667,-0.050104344037326665
677,2021-09-30 05:08:00,0.355950493,0.39783775125769094,0.026876859724262958,-0.06876411798195392
678,2021-09-30 05:38:00,0.365414686,0.39988474386686385,0.003957055365641585,-0.03842711323250542
679,2021-09-30 06:08:00,0.358163388,0.4021666180861007,0.019211172095844494,-0.06321440218194518
680,2021-09-30 06:38:00,0.376604228,0.40471049284465793,0.023616826075700252,-0.051723090920358206
681,2021-09-30 07:08:00,0.363315267,0.407551146613653,0.011692678522914115,-0.05592855813656711
682,2021-09-30 07:38:00,0.373592622,0.4107314137682693,0.03755623259610681,-0.07469502436437614
683,2021-09-30 08:08:00,0.366853771,0.41429989021795893,0.009965903308908335,-0.05741202252686728
684,2021-09-30 08:38:00,0.389234702,0.41830895593124157,0.040100073792525844,-0.06917432772376741
685,2021-09-30 09:08:00,0.370669034,0.42281233541034247,0.011367758834514696,-0.06351106024485714
686,2021-09-30 09:38:00,0.380633184,0.42786131964997015,0.043303441657308886,-0.09053157730727901
687,2021-09-30 10:08:00,0.377095885,0.4335031989898207,0.02006793365329593,-0.07647524764311664
688,2021-09-30 10:38:00,0.403619011,0.4397777084984074,0.05856750387929039,-0.09472620137769777
689,2021-09-30 11:08:00,0.38473675,0.44671395181640794,0.027253369940371662,-0.08923057175677956
690,2021-09-30 11:38:00,0.371381397,0.4543268241498586,0.009811245500201462,-0.09275667265006005
691,2021-09-30 12:08:00,0.383692183,0.4626153233131696,0.024333285954047598,-0.1032564262672172
692,2021-09-30 12:38:00,0.394139617,0.4715599558104353,0.002277365639877295,-0.0796977044503126
693,2021-09-30 13:08:00,0.387801582,0.48112310171606104,0.0146541161914947,-0.10797563590755577
694,2021-09-30 13:38:00,0.420547822,0.4912496695600723,-0.0029318099374925763,-0.06777003762257972
695,2021-09-30 14:08:00,0.394064206,0.5018709869343111,0.0034322182471577104,-0.11123899918146885
696,2021-09-30 14:38:00,0.471031165,0.5129090013357757,-0.0005525771796082478,-0.041325259156167415
697,2021-09-30 15:08:00,0.412143802,0.5242803340290354,0.012354517309163216,-0.1244910493381986
698,2021-09-30 15:38:00,0.457010805,0.5358979910310954,-0.012697598308087824,-0.06618958772300754
699,2021-09-30 16:08:00,0.422822161,0.54767845112658,-0.0010757349093395558,-0.12378055521724046
700,2021-09-30 16:38:00,0.401540307,0.559543235838372,-0.029041603889658388,-0.1289613249487136
701,2021-09-30 17:08:00,0.428853943,0.5714223192076585,-0.01203649652368757,-0.13053187968397095
702,2021-09-30 17:38:00,0.455113485,0.5832558997005044,-0.0450815213679777,-0.08306089333252675
703,2021-09-30 18:08:00,0.441048717,0.5949966194322854,-0.026344266600948952,-0.1276036358313365
704,2021-09-30 18:38:00,0.6109748,0.6066098486748994,-0.014296052025445299,0.01866100335054588
705,2021-09-30 19:08:00,0.479134112,0.6180732362621196,-0.030336693275939797,-0.10860243098617983
706,2021-09-30 19:38:00,0.633770925,0.6293744528227831,-0.027825178937726017,0.032221651114942906
707,2021-09-30 20:08:00,0.511682064,0.6405102445111679,-0.03494109613901384,-0.09388708437215398
708,2021-09-30 20:38:00,0.849771245,0.6514828979703782,-0.01619813335725805,0.2144864803868799
709,2021-09-30 21:08:00,0.590234152,0.6623003566257443,-0.031352779121489795,-0.0407134255042545
710,2021-09-30 21:38:00,1.171262796,0.6729738254921414,-0.0468052492508601,0.5450942197587187
711,2021-09-30 22:08:00,0.74417865,0.6835174832077578,-0.006491061747708183,0.0671522285399504
712,2021-09-30 22:38:00,1.165221678,0.6939467266325267,-0.01728487581425849,0.48855982718173185
713,2021-09-30 23:08:00,0.886200289,0.7042777311867903,0.006969364297745256,0.17495319351546446
714,2021-09-30 23:38:00,1.233915367,0.7145279623779048,-0.02028619099900214,0.5396735956210974
715,2021-10-01 00:08:00,1.010788402,0.7247137929490538,0.027543875998132183,0.25853073305281404
716,2021-10-01 00:38:00,1.154726632,0.7348527262868589,-0.05260412891234888,0.47247803462549
717,2021-10-01 01:08:00,1.114979544,0.7449590021725988,0.05229598102558185,0.31772456080181943
718,2021-10-01 01:38:00,1.121748206,0.7550495819548965,-0.09170097134695444,0.458399595392058
719,2021-10-01 02:08:00,1.169374936,0.7651374996189237,-0.03404132374008165,0.43827876012115796
720,2021-10-01 02:38:00,1.119649471,0.7752363579730857,-0.0626918112062512,0.40710492423316547
721,2021-10-01 03:08:00,1.159052271,0.785356803801818,-0.035007049907110926,0.4087025171052928
722,2021-10-01 03:38:00,1.016127943,0.7955076110103124,0.020743341505378786,0.19987699048430885
723,2021-10-01 04:08:00,1.129233524,0.8056949761736163,-0.033311192379658176,0.35684974020604177
724,2021-10-01 04:38:00,0.921818243,0.8159195641636436,0.0014360548884739986,0.10446262394788242
725,2021-10-01 05:08:00,1.066814099,0.8261754162638688,0.03424596550893177,0.20639271722719932
726,2021-10-01 05:38:00,0.933915185,0.83645016390066,0.0028293249995465976,0.0946356960997935
727,2021-10-01 06:08:00,1.02265181,0.8467245511469403,0.03199243641531678,0.1439348224377428
728,2021-10-01 06:38:00,1.039039187,0.8569729835648899,0.03925800300887766,0.14280820042623243
729,2021-10-01 07:08:00,1.006110006,0.867163593437859,0.02917982848719028,0.10976658407495066
730,2021-10-01 07:38:00,1.116512932,0.8772579871959282,0.055271537551258874,0.18398340725281292
731,2021-10-01 08:08:00,1.005482698,0.8872118109956942,0.02619968056243731,0.0920712064418685
732,2021-10-01 08:38:00,1.127094833,0.8969746992917267,0.0705793699299615,0.15954076377831172
733,2021-10-01 09:08:00,1.027676076,0.9064904537929944,0.032418659719696256,0.08876696248730942
734,2021-10-01 09:38:00,1.142757697,0.9156967910927691,0.06113090654598926,0.16592999936124153
735,2021-10-01 10:08:00,1.071863967,0.9245260600217674,0.045392921930264056,0.10194498504796867
736,2021-10-01 10:38:00,1.06733351,0.9329060496790296,0.09431686421204909,0.040110596108921426
737,2021-10-01 11:08:00,1.098547632,0.94076191657306,0.05548118226497357,0.10230453316196642
