Overall_Rank,Feature,r_vs_X Frequency,R2_vs_X Frequency,r_vs_Y Frequency,R2_vs_Y Frequency,Avg_R2,Rank_vs_X Frequency,Rank_vs_Y Frequency
1,X_Acc_Raw_PeakFreq1,0.6154,0.3787,0.5863,0.3438,0.3613,1,3
2,X_Acc_Filtered_PeakFreq1,0.6154,0.3787,0.5863,0.3438,0.3613,1,3
3,Y_Acc_Raw_PeakFreq1,0.5093,0.2594,0.6772,0.4586,0.359,3,1
4,Y_Acc_Filtered_PeakFreq1,0.5093,0.2594,0.6772,0.4586,0.359,3,1
5,X_Acc_Filtered_Skew,-0.4863,0.2365,-0.4701,0.221,0.2287,6,6
6,X_Acc_Raw_Skew,-0.4822,0.2325,-0.4651,0.2163,0.2244,7,7
7,Z_Acc_Raw_SpectralEntropy,0.5034,0.2535,0.3517,0.1237,0.1886,5,16
8,Y_Acc_Filtered_SpectralCentroid,0.397,0.1576,0.4425,0.1958,0.1767,11,9
9,Y_Acc_Raw_SpectralCentroid,0.3968,0.1574,0.4415,0.1949,0.1762,12,10
10,X_Acc_Filtered_SpectralCentroid,0.4378,0.1917,0.3784,0.1432,0.1674,8,11
11,X_Acc_Raw_SpectralCentroid,0.437,0.191,0.3766,0.1419,0.1664,9,12
12,Y_Velocity_Skew,-0.3047,0.0928,-0.4717,0.2225,0.1577,17,5
13,Z_Acc_Raw_SpectralCentroid,0.4056,0.1645,0.3089,0.0954,0.13,10,21
14,Z_Acc_Raw_PeakPower1,-0.2349,0.0552,-0.4488,0.2014,0.1283,21,8
15,X_Acc_Raw_PeakFreq3,0.3052,0.0932,0.3007,0.0904,0.0918,14,24
16,X_Acc_Filtered_PeakFreq3,0.3052,0.0932,0.3007,0.0904,0.0918,14,24
17,Y_Acc_Raw_Kurtosis,0.3047,0.0929,0.2987,0.0892,0.0911,16,26
18,Y_Acc_Filtered_Kurtosis,0.3013,0.0908,0.3021,0.0913,0.091,18,23
19,Z_Acc_Raw_Std,-0.1041,0.0108,-0.358,0.1282,0.0695,39,13
20,Y_Acc_Raw_PeakPower1,-0.112,0.0126,-0.3532,0.1247,0.0686,34,14
21,Y_Acc_Filtered_PeakPower1,-0.112,0.0126,-0.3532,0.1247,0.0686,35,15
22,Z_Acc_Raw_SpectralBandwidth,0.3068,0.0941,0.1904,0.0362,0.0652,13,51
23,Y_Displacement_Std,-0.0787,0.0062,-0.3405,0.116,0.0611,48,17
24,Y_Displacement_RMS,-0.0787,0.0062,-0.3405,0.116,0.0611,49,18
25,Y_Acc_Filtered_Skew,0.2218,0.0492,0.2698,0.0728,0.061,24,33
