Event_No,Source_File,Wave Raw_Min,Wave Raw_Max,Wave Raw_Mean,Wave Raw_Median,Wave Raw_Std_Dev,Wave Filtered_Min,Wave Filtered_Max,Wave Filtered_Mean,Wave Filtered_Median,Wave Filtered_Std_Dev,Wave Frequency_Min,Wave Frequency_Max,Wave Frequency_Mean,Wave Frequency_Median,Wave Frequency_Std_Dev,X Acc Raw_Min,X Acc Raw_Max,X Acc Raw_Mean,X Acc Raw_Median,X Acc Raw_Std_Dev,X Acc Filtered_Min,X Acc Filtered_Max,X Acc Filtered_Mean,X Acc Filtered_Median,X Acc Filtered_Std_Dev,Y Acc Raw_Min,Y Acc Raw_Max,Y Acc Raw_Mean,Y Acc Raw_Median,Y Acc Raw_Std_Dev,Y Acc Filtered_Min,Y Acc Filtered_Max,Y Acc Filtered_Mean,Y Acc Filtered_Median,Y Acc Filtered_Std_Dev,Z Acc Raw_Min,Z Acc Raw_Max,Z Acc Raw_Mean,Z Acc Raw_Median,Z Acc Raw_Std_Dev,X Displacement_Min,X Displacement_Max,X Displacement_Mean,X Displacement_Median,X Displacement_Std_Dev,Y Displacement_Min,Y Displacement_Max,Y Displacement_Mean,Y Displacement_Median,Y Displacement_Std_Dev,X Velocity_Min,X Velocity_Max,X Velocity_Mean,X Velocity_Median,X Velocity_Std_Dev,Y Velocity_Min,Y Velocity_Max,Y Velocity_Mean,Y Velocity_Median,Y Velocity_Std_Dev,X Frequency,Y Frequency,Hmax (m),Hs (m),Tz (s)
571,E571_processed,21.574589,22.28159,21.9218317235,21.928097,0.09351839195266975,-0.3565192933883325,0.3447878564449597,-7.097509198354588e-05,0.0006635602590634422,0.09240495650707023,-4.965564243790089,4.978930202099161,0.3077708505925187,0.2837015106193467,0.5008473042716168,-99.657249,69.499092,-13.88079448455886,-13.900795,25.56545214505747,-85.66577950674856,91.57853709912757,0.04072600058216919,-0.0248215596415548,25.64398278811693,-109.75941,71.113846,-20.93401675231457,-20.5595445,24.86742756400534,-88.83224371946068,92.24421306509535,-0.009085338858120972,0.3333486698956105,24.87713188380597,3809.5432,3857.7539,3834.784848944444,3834.5413,6.232262294369701,-117.7991889177511,72.50533570555217,-0.06539116996111441,-0.0718900193027349,14.58582681798542,-43.81962732603281,46.35408751427954,0.01600437685461175,0.005242477297398462,13.53917324113121,-136.27226551270263,179.1497321622062,112.3315741477537,112.3011224112534,18.63064429962906,-43.53199003248927,73.76057743792839,15.21802338894814,14.96742987956017,18.07958065200658,0.2322021223785207,0.2222178989739985,0.5965350000000029,0.3425021731601735,2.586043165467626
572,E572_processed,-16.227907,70.487907,1.900760404191167,21.928097,7.255990759674728,-34.95973864440194,33.60611620979911,-0.0001512790737737179,-1.168600503584249e-15,1.896048596067983,-4.999259898400584,2.103726547569662,0.01443020749940935,5.085325269098387e-10,0.09745121915473928,-92.530151,67.39621,-13.82917826194652,-13.754467,22.19138504433093,-78.74258683353175,81.24708984084118,0.004313953416463638,0.07312356600576386,22.19851392201637,-108.5225,54.742432,-20.88297662348122,-20.6129355,20.9556937521838,-87.36316994343927,75.70874531048071,-0.03875277683849732,0.1966301460103683,20.9794145918827,3813.1143,3854.1826,3834.525006488889,3834.5413,5.076632174819547,-36.45708850607512,41.34293576718756,0.02321807393431479,-0.0004336985020500644,12.0525057895935,-41.46442668205579,55.30783317348074,0.04505920453182083,-0.04920362690453106,11.75277945401544,-64.94519162050533,36.39834662922939,-14.80248311664037,-14.80728456425141,15.91029672816053,-92.74606079716503,9.433542098702262,-40.26529887914759,-40.20983488389581,15.27584252967278,0.2304590201025992,0.2283681449412007,52.67018800000001,0.3425021731601735,2.586043165467626
573,E573_processed,21.442017,24.270035,21.88014471261111,21.883652,0.09240256175284814,-0.4334828000876024,2.333609226023573,-0.0003060872414608338,-0.0006386052791083367,0.09157440166122634,-4.813986549264019,4.869106133317313,0.3005818934051598,0.2743632765767238,0.4590722863803954,-97.661057,69.469131,-13.80625997393432,-13.7694675,22.94853111357056,-83.8452251671774,83.17490426171706,0.04428551381840092,0.03577898637667315,22.97836906427299,-108.25309,57.082809,-21.02694393212695,-20.8015585,21.36433071026908,-86.71511146404468,78.28167320920758,-0.03009318305876009,0.1803995801135461,21.37266059125169,3809.5432,3855.9683,3834.410580327778,3834.5413,5.215998941251136,-44.57823662354524,39.77170869495135,-0.03606637479056733,-0.05611669337382619,12.73844269431846,-42.33777072123931,59.93584941234491,0.04767724299809835,-0.1214218439567838,12.03385118660489,-12.22285901628693,93.9062137241946,41.15056547436845,41.12110358710232,16.67433379640648,-92.29383922146245,19.07729865647767,-39.47251090392948,-39.40208956853619,15.57660431025299,0.2316103521402734,0.2300684036514745,2.4966009999999983,0.33337659624413124,2.8103286384976527
574,E574_processed,8.929566333333334,39.01317733333334,15.234245613434092,21.905874500000003,2.4806372377934154,-11.91658024595929,12.094837764089215,-0.00017611380240603253,8.318326651312333e-06,0.6933426514120932,-4.926270230484897,3.9839209609953787,0.20759431716569596,0.18602159590153433,0.3524569366022505,-99.81147,66.753738,-13.9031393432376,-13.6005165,21.16276320360966,-85.62493023310361,80.89802429967696,0.01864503493616835,0.3142908137245888,21.17234567282771,-95.323853,49.690948,-21.23434630435803,-21.176383,19.28297698041969,-74.15131424825854,70.72563886181356,0.01651590668083264,0.07365383561556138,19.28645365684794,3813.1143,3855.0754,3833.835780005556,3833.6484,4.595895730703374,-55.95641874867368,40.80638358382708,-0.04069180587472576,-0.02910089051733064,11.41645160077416,-37.1472457166806,36.18494948544807,-0.02103912975975506,-0.09012867998033025,10.41948382261174,-3.480179832525649,103.4242930344721,46.57030244420437,46.7651124619661,14.98835214891475,-21.71116791084002,75.6464412412613,26.72975581116868,26.85463713220352,13.8013804748168,0.2438656047528445,0.2366691500322404,18.58777466666667,0.33793938470215235,2.6981859019826393
575,E575_processed,8.929566333333334,21.883911,0.001215772833333333,21.905874500000003,0.1631130420318513,-22.12967515736426,4.043903038547138,-0.01496485830951021,-1.147336657836902e-17,0.6183174335566172,-4.999999997611233,1.044643709102166,0.0005519105286457456,3.533949646070574e-16,0.04062314136954671,-95.585182,56.409618,-14.08332867222339,-14.1550695,20.07638424670713,-81.42744473909809,70.80696654358431,0.008183102568798593,-0.1179780609182597,20.07830410247004,-92.043297,47.244411,-21.40764947791412,-21.3918895,18.72371009809956,-78.8056575045007,68.80899231385217,-0.02168255848476856,-0.01734043958972898,18.78869210241445,3814.0071,3852.3972,3833.4284717,3832.7556,4.345323344340978,-36.59260201609068,43.75704335040915,-0.004903681386627478,-0.06145877802849453,10.85286737798105,-46.42328904839668,51.09798708523043,0.004554052347560592,0.09197524944315083,10.1600555092817,-27.04552560120076,71.97037622590558,22.71529784688323,22.80999998798691,14.32189384599484,-38.24832092083781,99.03614328362231,22.24215827840817,22.36857672302991,13.55577194696338,0.2355572202219434,0.2322037525382726,21.883911,0.33793938470215235,2.6981859019826393
576,E576_processed,21.484592,23.318924,21.89121213555556,21.883923,0.08989975300650359,-0.3793813397100314,1.364034304607886,-8.851798013071158e-05,-0.000606148174743039,0.08874231441578112,-4.994520942462466,4.876201523699567,0.3105726532538947,0.2874285940637956,0.5527328265215452,-84.41404,59.706837,-14.3344203192068,-14.032928,20.31741561034517,-69.99806509914927,74.07550685024455,0.03091950652213756,0.2672027747954993,20.32275480078487,-98.310379,46.736401,-21.52695833500729,-21.204292,19.1840921596525,-76.85507959406712,68.41776327893092,-0.0190676364761322,0.3150953825804191,19.18376711310701,3816.6853,3848.8257,3833.0804304,3832.7556,4.354897026747472,-47.06807332747312,41.59356303517124,-0.003671648454902417,-0.07737440289611763,11.05516097175215,-36.81463946733681,67.72843314017673,0.05010250687441292,-0.03051003910877181,10.56805427299255,-59.91714292979715,54.87633214795645,2.749184764801605,2.831516322965324,14.55200696597873,-84.57141717586134,14.73375149272201,-33.6766640618505,-33.69542850087359,13.72718509569403,0.2366312269960297,0.2344125568921983,1.5686189999999982,0.32048955967078235,2.462328767123288
577,E577_processed,12.06832275,32.4484734,13.519032949738232,21.898557333333333,1.5389849016837203,-11.651759446990432,8.338490127084533,-0.003116343539371804,-0.0001162386389578227,0.5574175404417355,-4.954666326305678,3.574521623157574,0.18678150305592567,0.16909867635367978,0.3301453555395687,-100.98453,63.16444,-14.51251615407457,-14.3379255,22.99362590205659,-86.4056366411993,77.88605998087792,-0.04178316938418478,0.1549599065491909,22.99074079851415,-97.932495,53.830624,-21.61604637729564,-21.6334735,19.15982094580481,-76.17594199537824,75.43755140748448,-0.009247775163094937,-0.09394013914373378,19.1744014139806,3814.8999,3850.6116,3832.465045800001,3832.7556,4.598519540703423,-42.61060356501787,45.71826789308688,0.02676620491760544,-0.07559983994626229,12.67676706862821,-37.58217075620363,41.75948543714485,0.0218978241011405,0.07508092884050832,10.72243601879501,-104.7184693758036,7.813862746926695,-47.68060424167442,-47.73677162905459,16.59338345237897,-85.15433033999194,14.42427019640585,-37.61529293876151,-37.58773984675275,13.91352674935533,0.2311233007751044,0.2349907092463693,15.843170800000001,0.33212277635836235,2.6195668570295223
578,E578_processed,12.06832275,21.835831,0.001213101722222222,21.898557333333333,0.1627546748706574,-22.08105520174396,4.035018389935624,-0.01493197979995625,1.01494401598229e-18,0.6169589605562551,-0.41836066666563,4.999999999346219,0.00110746608420131,3.533949646070574e-16,0.04061179248096512,-82.527298,54.52174,-14.5715036695152,-14.335638,20.70854963337167,-68.11517106233649,69.10735117884772,0.0246475617555476,0.2458525725659165,20.73085533933413,-111.85287,69.95507,-21.87307717187312,-21.714201,19.00957703106036,-93.30352131880306,86.61790779240899,0.06465794561444242,0.1849954496182716,19.0863303419422,3811.3286,3855.9683,3831.962255088889,3831.8628,4.412557868382444,-63.24352767777534,56.47249004889107,-0.03060407314240798,-0.1109126901468835,11.61054325295709,-124.3268792329981,96.6868946550951,-0.08339172176150005,-0.09406249945755274,11.29067433942737,-45.38822806268657,113.6805371458091,65.89197114453621,65.8360571412135,14.9793622244516,-65.46530377123541,178.8393502431528,93.31912272168957,93.3460850933038,13.78716182599771,0.2327821245808574,0.2338711790560287,21.835831,0.33212277635836235,2.6195668570295223
579,E579_processed,21.571289,23.472595,21.89101409833333,21.882648,0.09022035336673863,-0.3744574799442348,1.502662986346112,-5.562584613611758e-05,-0.001683242799386881,0.08932465518789033,-4.914852844810622,4.987250856473787,0.305536750282468,0.2804998556300067,0.5277312309307032,-82.287697,51.302181,-14.75683347609585,-14.734124,20.02783196597889,-67.69388894744978,65.9736539212223,0.01319591455607393,0.01920172805073606,20.01701709325372,-104.35392,57.860931,-22.10223910121115,-22.063749,18.18643403285464,-82.34591511257344,80.20702096879734,-0.01528701704790641,0.08002681487512919,18.19686947111247,3811.3286,3849.7185,3831.803638644445,3831.8628,4.226983347616263,-39.39554073634834,43.50145452949634,-0.003425233774895434,-0.02376090716738066,10.96668578520702,-36.0407676146883,38.93665617307003,0.004104322134525419,0.01407205764007505,9.421743095872824,-18.38350855328924,81.93000107056706,32.48282882247702,32.53442636359419,14.3413672669877,-52.20530055720552,47.75624197688944,-1.54762365869951,-1.594394709158277,12.76827608214179,0.233896031603351,0.234943559198942,1.612762,0.32633549137931017,2.5773638968481376
580,E580_processed,13.968916000000002,29.650113285714287,12.783913135535245,21.89458,1.1354142195222854,-11.530615702377194,6.747161715957772,-0.0043670461918501975,-0.0003234908563108562,0.4990530454218319,-4.300935020429234,3.9799798530868395,0.1772216759494711,0.16085617677120087,0.3170099715870731,-82.497696,51.197086,-14.87526558177459,-14.5269605,19.18430991731149,-67.64653131045294,66.25687826093174,0.02802223096382521,0.3593885998249937,19.22767043879201,-102.6852,60.976902,-22.12643337706558,-21.955702,17.69603317052656,-80.53045187425303,83.17922190785633,-0.02454360924519917,0.1521690867155233,17.701729096721,3811.3286,3847.9329,3831.488336388889,3830.9702,3.98563110729602,-78.11370190908464,56.67534870570449,-0.04464342830222247,-0.02448570375080394,10.92349201933962,-35.29748236193062,37.68781326782339,0.02491935086917002,-0.08934948776139873,9.181911810359491,-41.530410989915524,124.7153705332787,73.89200454453754,73.95484722050949,13.87231657504744,-63.33768335144261,39.85183239125068,-10.77373455949219,-10.70993849457184,12.42005092624682,0.23332176255283,0.2388693242686514,14.666349571428572,0.3306759551135993,2.609016116984176
