Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X_Acc_Raw_PeakFreq1,0.03391670987363763,0.0753704663858614,0.0
Z_Acc_Raw_PeakPower2,0.0057422824367249665,0.018369836929214338,0.0
Y_Acc_Raw_PeakFreq2,0.0066913459502369495,0.02078208632511524,0.0
X_Acc_Raw_SpectralCentroid,0.005351971752280353,0.06139230177769177,0.0
Y_Acc_Raw_Skew,0.005078906760193614,0.029019995514598086,0.0
Y_Acc_Raw_PeakFreq3,0.001784981381106868,0.033033619033501466,0.0
X_Displacement_Skew,0.0005450190536258025,0.010971331033885652,0.0
Y_Acc_Raw_PeakFreq1,0.001553333700271789,0.07311045878637581,0.0
X_Acc_Raw_PeakFreq3,1.424975284303881e-05,0.04265749703235876,0.0
X_Acc_Raw_CrestFactor,-0.0005871324033363337,0.025747233650480865,0.0
