Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
Wave_Raw_Std,0.13860720819094655,0.0034998505571588213,0.3045161676449446
Y_Acc_Raw_PeakFreq1,0.07744505631922305,0.07311045878637581,0.11117936138048297
Wave_Raw_RMS,0.05852440196910311,0.006642279672435288,0.2024972840187405
X_Acc_Raw_PeakFreq1,0.02515554016127292,0.0753704663858614,0.047109077428337476
X_Acc_Raw_SpectralEntropy,0.019430364453138713,0.006572031302695753,0.051148987541414406
X_Acc_Raw_SpectralCentroid,0.011939631565352389,0.06139230177769177,0.037025462384413524
Wave_Steepness,0.012232010988260955,0.01176158716614865,0.04955360422853785
Y_Acc_Raw_Skew,0.005189671684332774,0.029019995514598086,0.009262343981059983
X_Acc_Raw_PeakFreq3,0.006738160772767881,0.04265749703235876,0.004515375306738079
X_Acc_Raw_Skew,0.005265161357284196,0.06341522483144124,0.00987312059349142
