Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X_Acc_Raw_PeakFreq1,0.2305618161890969,0.0753704663858614,0.43698912514546506
Y_Acc_Raw_PeakFreq1,0.14495902226628682,0.07311045878637581,0.4061624078552353
X_Acc_Raw_PeakFreq3,0.00895277443118565,0.04265749703235876,0.03888639684020675
Y_Acc_Raw_Skew,0.004449380037171987,0.029019995514598086,0.001675306137940054
Wave_Raw_Skew,0.001980131676484531,0.006147179495369014,0.0046057176236921635
Z_Acc_Raw_PeakFreq2,0.0023104401510744238,0.011931903097837718,0.0014529129120687274
X_Acc_Raw_SpectralCentroid,0.0043755077237264475,0.06139230177769177,0.010508709775821416
Wave_Steepness,-8.35980579375565e-05,0.01176158716614865,0.011763090263722914
X_Acc_Raw_Skew,0.0017876547721408925,0.06341522483144124,0.00046026243513966217
Y_Acc_Raw_Kurtosis,-0.0003178379347103591,0.039255047520009176,0.004969550399861064
