Cluster,Feature,Representative,Is_Representative
1,X_Displacement_Skew,X_Displacement_Skew,True
2,X_Velocity_Skew,X_Velocity_Skew,True
3,Wave_Raw_Skew,Wave_Raw_Skew,True
3,Wave_Raw_Kurtosis,Wave_Raw_Skew,False
3,Wave_Filtered_Kurtosis,Wave_Raw_Skew,False
4,Wave_Filtered_CrestFactor,Wave_Filtered_CrestFactor,True
5,Wave_Filtered_RMS,Wave_Filtered_RMS,True
5,Wave_Raw_CrestFactor,Wave_Filtered_RMS,False
5,Wave_Filtered_Std,Wave_Filtered_RMS,False
6,Wave_Raw_RMS,Wave_Raw_RMS,True
7,Wave_Raw_Std,Wave_Raw_Std,True
8,Wave_Filtered_Skew,Wave_Filtered_Skew,True
9,X_Acc_Raw_PeakFreq2,X_Acc_Raw_PeakFreq2,True
9,X_Acc_Filtered_PeakFreq2,X_Acc_Raw_PeakFreq2,False
10,Y_Acc_Raw_PeakFreq2,Y_Acc_Raw_PeakFreq2,True
10,Y_Acc_Filtered_PeakFreq2,Y_Acc_Raw_PeakFreq2,False
11,Z_Acc_Raw_PeakFreq1,Z_Acc_Raw_PeakFreq1,True
12,Z_Acc_Raw_PeakFreq2,Z_Acc_Raw_PeakFreq2,True
13,Z_Acc_Raw_RMS,Z_Acc_Raw_RMS,True
14,X_Acc_Raw_PeakFreq3,X_Acc_Raw_PeakFreq3,True
14,X_Acc_Filtered_PeakFreq3,X_Acc_Raw_PeakFreq3,False
15,Y_Acc_Raw_PeakFreq3,Y_Acc_Raw_PeakFreq3,True
15,Y_Acc_Filtered_PeakFreq3,Y_Acc_Raw_PeakFreq3,False
16,Z_Acc_Raw_PeakFreq3,Z_Acc_Raw_PeakFreq3,True
17,Y_Displacement_Kurtosis,Y_Displacement_Kurtosis,True
17,Y_Displacement_CrestFactor,Y_Displacement_Kurtosis,False
18,Y_Velocity_Kurtosis,Y_Velocity_Kurtosis,True
19,Y_Velocity_CrestFactor,Y_Velocity_CrestFactor,True
20,X_Displacement_Kurtosis,X_Displacement_Kurtosis,True
20,X_Displacement_CrestFactor,X_Displacement_Kurtosis,False
21,X_Velocity_RMS,X_Velocity_RMS,True
22,X_Velocity_CrestFactor,X_Velocity_CrestFactor,True
23,X_Acc_Raw_PeakPower2,X_Acc_Raw_PeakPower2,True
23,X_Acc_Filtered_PeakPower2,X_Acc_Raw_PeakPower2,False
24,X_Acc_Raw_Kurtosis,X_Acc_Raw_Kurtosis,True
24,X_Acc_Filtered_Kurtosis,X_Acc_Raw_Kurtosis,False
25,X_Velocity_Kurtosis,X_Velocity_Kurtosis,True
26,X_Acc_Raw_PeakPower3,X_Acc_Raw_PeakPower3,True
26,X_Acc_Filtered_PeakPower3,X_Acc_Raw_PeakPower3,False
27,Y_Acc_Raw_PeakPower3,Y_Acc_Raw_PeakPower3,True
27,Y_Acc_Filtered_PeakPower3,Y_Acc_Raw_PeakPower3,False
28,Y_Acc_Raw_PeakPower2,Y_Acc_Raw_PeakPower2,True
28,Y_Acc_Filtered_PeakPower2,Y_Acc_Raw_PeakPower2,False
29,Hs (m),Hs (m),True
29,X_Acc_Raw_PeakPower1,Hs (m),False
29,X_Acc_Filtered_PeakPower1,Hs (m),False
29,Y_Acc_Raw_PeakPower1,Hs (m),False
29,Y_Acc_Filtered_PeakPower1,Hs (m),False
