Model,RMSE,MAE,MAPE_%,R2,Accuracy_%,CV_R2_Mean,CV_R2_Std
Random Forest (Tuned),0.013026524785063916,0.00955664872201805,4.726995762009642,0.3165172484269988,95.27300423799035,0.12309361910864416,0.4514832597871729
XGBoost (baseline),0.013043036873677165,0.00958570954709683,4.783186220729499,0.3147834198433337,95.21681377927051,0.17985067157105103,0.28149264789964745
XGBoost (Tuned),0.01305571800429407,0.010187163590260274,5.03830106870531,0.31345036449022157,94.9616989312947,0.20184043896190765,0.3130500187822247
Random Forest (baseline),0.013137420877003531,0.009514316037736196,4.6980006761207855,0.30483060215977564,95.30199932387922,0.0010234055414618526,0.3911685468095848
Ridge (baseline),0.014077701669643585,0.010843402685598344,5.291829149186129,0.2017591777486698,94.70817085081387,-0.47145947457529036,0.70871388963059
Ridge (Tuned),0.014105461732595744,0.011909082467831475,5.9147300004015895,0.198607944107417,94.08526999959841,-0.4978572875171345,0.8664383324858499
SVR (Tuned),0.01749674948362181,0.014442034598291228,7.24736954804409,-0.23306271612343843,92.75263045195592,-0.8641016852880685,1.051342120432163
SVR (baseline),0.020983467902010375,0.01531309849218006,7.6458768184665935,-0.7734745015004483,92.3541231815334,-1.6806942409374492,1.1882650616607748
