Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
SpectralCentroid_to_Peak_Ratio,0.14386038223000885,0.0435055993521601,0.2761841389367484
Wave_Raw_Std,0.07286849312176291,0.0024435924645390527,0.175574937291334
X_Acc_Raw_SpectralCentroid,0.04832343706613092,0.04282601318574975,0.08715145601713743
Biaxial_PeakFreq_Ratio,0.02662696971922805,0.019307024641755946,0.0772998365925931
Wave_Raw_RMS,0.022368637889530682,0.004628452282832781,0.09247218450532281
Y_Acc_Raw_Skew,0.0076327268664814546,0.02023687506408823,0.009215930885952494
Wave_Steepness,0.007395571299070182,0.008198760239390302,0.048260161238573525
Y_Acc_Filtered_PeakFreq1_Lag1,0.0052076936720119905,0.045798905689207484,0.01399279275273094
X_Acc_Filtered_PeakFreq1_Diff1,0.0009995589137650803,0.00521625158913844,0.015889782160115284
Y_Acc_Raw_PeakFreq1,0.002267998891926897,0.05098197068630573,0.021550269580557675
