Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X_Acc_Raw_PeakFreq1,0.22447369765477643,0.052569055001571954,0.44626138423126455
Y_Acc_Raw_PeakFreq1,0.1328151769233687,0.05098197068630573,0.4013045729710429
Wave_Raw_Skew,0.0022809735960864683,0.004284106783813272,0.0037332803999399655
Z_Acc_Raw_PeakFreq2,0.002120828120274632,0.00832702322728538,0.0008953334555832995
X_Acc_Raw_PeakFreq3,0.0007740077590264287,0.029754199878038533,0.007993718371662446
Y_Acc_Raw_Skew,0.0016634386975497174,0.02023687506408823,0.0012290668727012388
Z_Acc_Raw_Kurtosis,-0.0009804717794267143,0.019566926093114265,0.00109180385920496
SpectralCentroid_to_Peak_Ratio,0.001872426497905394,0.0435055993521601,0.017177837951395804
X_Displacement_Skew,-0.002292959804916615,0.007653813474574521,0.00025183875338337386
X_Acc_Raw_SpectralCentroid,-0.002138125937459115,0.04282601318574975,0.009174931297018064
