Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X_Acc_Raw_PeakFreq1,0.02365607475070738,0.052569055001571954,0.0
Z_Acc_Raw_PeakPower2,0.0032467438337308984,0.012824195589227521,0.0
Y_Acc_Raw_PeakFreq2,0.00386022337310813,0.014490702820384529,0.0
Y_Acc_Filtered_CrestFactor,0.0010200390226536736,0.016785890555617078,0.0
X_Acc_Filtered_PeakFreq1_Lag1,9.31686687198445e-05,0.048210692783558357,0.0
X_Displacement_Skew,-0.002025936400329329,0.007653813474574521,0.0
Y_Displacement_Skew,-0.002184695144490806,0.002530508577842822,0.0
Y_Acc_Raw_PeakFreq3,-0.0009617471704078256,0.02303711174618712,0.0
Wave_Filtered_CrestFactor,-0.0015828874329212026,0.004785919509870574,0.0
X_Acc_Raw_CrestFactor,-0.001458949117577532,0.017954728151408035,0.0
