Model,RMSE,MAE,MAPE_%,R2,Accuracy_%,CV_R2_Mean,CV_R2_Std,Fit_Time_Sec
Random Forest (Tuned),0.012752057832396364,0.0095836038048322,4.722600321570164,0.3450155851946519,95.27739967842984,0.12239224005111049,0.4181580084090382,117.33228492736816
Random Forest (baseline),0.012852567992795645,0.009650754716981503,4.766020640604162,0.33464988082503266,95.23397935939583,0.11603355013272718,0.3772878770316608,5.288114309310913
XGBoost (Tuned),0.013244316249912475,0.010342176058382361,5.090449087640735,0.29347179532248113,94.90955091235926,0.24292974295295355,0.32546401536656044,41.22233271598816
XGBoost (baseline),0.01381070163403196,0.00988657676498845,4.83105824256462,0.23175117505971943,95.16894175743539,0.14772528841062085,0.4170221858221473,1.8048169612884521
Ridge (Tuned),0.014486385035733447,0.012180092069998894,6.037006380870966,0.15473970841298468,93.96299361912904,-0.3114808666951518,0.6724575307670447,2.0825910568237305
Ridge (baseline),0.015452955539494821,0.013105639687368295,6.566749694994023,0.03818060787319655,93.43325030500596,-0.3097080559938719,0.5758897591936805,0.08836627006530762
SVR (Tuned),0.01848033365669461,0.014573859280920856,7.3274943341614645,-0.3755932462826752,92.67250566583853,-1.0893108161524523,0.7179514981675499,3.9932637214660645
SVR (baseline),0.022915907711079632,0.0183567756139549,9.152055789291122,-1.115166443971983,90.84794421070887,-2.6564115830836235,2.512929510006019,0.2202768325805664
