TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-30 06:09:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
12127960,30/9/2021,6:08:36 AM,-5.5626268E+0,-1.3672985E+1,3.8354341E+3,2.1795563E+1
12127961,30/9/2021,6:08:36 AM,-5.8566241E+0,-1.5082024E+1,3.8354341E+3,2.1817654E+1
12127962,30/9/2021,6:08:36 AM,-6.5827827E+0,-1.6674501E+1,3.8354341E+3,2.1817654E+1
12127963,30/9/2021,6:08:36 AM,-7.7377949E+0,-1.9064548E+1,3.8336484E+3,2.1795563E+1
12127964,30/9/2021,6:08:36 AM,-7.4825873E+0,-2.1419617E+1,3.8327556E+3,2.1773468E+1
12127965,30/9/2021,6:08:36 AM,-6.9221830E+0,-2.2763382E+1,3.8345413E+3,2.1773468E+1
12127966,30/9/2021,6:08:37 AM,-6.7064395E+0,-2.3865269E+1,3.8336484E+3,2.1795563E+1
12127967,30/9/2021,6:08:37 AM,-6.9879575E+0,-2.5316538E+1,3.8354341E+3,2.1795563E+1
12127968,30/9/2021,6:08:37 AM,-8.0324678E+0,-2.7574062E+1,3.8309702E+3,2.1729279E+1
12127969,30/9/2021,6:08:37 AM,-8.7033749E+0,-2.9025330E+1,3.8327556E+3,2.1707188E+1
12127970,30/9/2021,6:08:37 AM,-9.4821529E+0,-2.9159704E+1,3.8327556E+3,2.1707188E+1
12127971,30/9/2021,6:08:37 AM,-9.8636494E+0,-2.9186579E+1,3.8336484E+3,2.1685093E+1
12127972,30/9/2021,6:08:37 AM,-1.2128947E+1,-2.9267206E+1,3.8336484E+3,2.1685093E+1
12127973,30/9/2021,6:08:37 AM,-1.4491593E+1,-3.0046589E+1,3.8309702E+3,2.1662998E+1
12127974,30/9/2021,6:08:37 AM,-1.7462002E+1,-3.0825972E+1,3.8318628E+3,2.1662998E+1
12127975,30/9/2021,6:08:37 AM,-1.9187943E+1,-3.1255978E+1,3.8309702E+3,2.1662998E+1
12127976,30/9/2021,6:08:38 AM,-2.0532700E+1,-3.0691597E+1,3.8327556E+3,2.1662998E+1
12127977,30/9/2021,6:08:38 AM,-2.1091232E+1,-3.1739733E+1,3.8309702E+3,2.1662998E+1
12127978,30/9/2021,6:08:38 AM,-2.2607246E+1,-3.1524731E+1,3.8309702E+3,2.1685093E+1
12127979,30/9/2021,6:08:38 AM,-2.3591328E+1,-3.1632233E+1,3.8300774E+3,2.1707188E+1
12127980,30/9/2021,6:08:38 AM,-2.4123262E+1,-3.0987225E+1,3.8291846E+3,2.1707188E+1
12127981,30/9/2021,6:08:38 AM,-2.4628601E+1,-2.8917828E+1,3.8318628E+3,2.1729279E+1
12127982,30/9/2021,6:08:38 AM,-2.5080746E+1,-2.6606550E+1,3.8327556E+3,2.1751373E+1
12127983,30/9/2021,6:08:38 AM,-2.5719069E+1,-2.4429651E+1,3.8318628E+3,2.1795563E+1
12127984,30/9/2021,6:08:38 AM,-2.5852051E+1,-2.2736507E+1,3.8327556E+3,2.1839748E+1
12127985,30/9/2021,6:08:38 AM,-2.7660633E+1,-1.9391552E+1,3.8336484E+3,2.1839748E+1
12127986,30/9/2021,6:08:39 AM,-2.7953196E+1,-1.7429535E+1,3.8345413E+3,2.1839748E+1
12127987,30/9/2021,6:08:39 AM,-2.8671310E+1,-1.5089998E+1,3.8345413E+3,2.1839748E+1
12127988,30/9/2021,6:08:39 AM,-2.9283035E+1,-1.4247235E+1,3.8345413E+3,2.1839748E+1
12127989,30/9/2021,6:08:39 AM,-3.0799051E+1,-1.3449666E+1,3.8345413E+3,2.1817654E+1
12127990,30/9/2021,6:08:39 AM,-3.2501244E+1,-1.3306104E+1,3.8327556E+3,2.1817654E+1
12127991,30/9/2021,6:08:39 AM,-3.3751289E+1,-1.2899343E+1,3.8336484E+3,2.1839748E+1
12127992,30/9/2021,6:08:39 AM,-3.4230030E+1,-1.3149249E+1,3.8327556E+3,2.1817654E+1
12127993,30/9/2021,6:08:39 AM,-3.4735371E+1,-1.3130639E+1,3.8327556E+3,2.1839748E+1
12127994,30/9/2021,6:08:39 AM,-3.5506676E+1,-1.3462959E+1,3.8318628E+3,2.1861843E+1
12127995,30/9/2021,6:08:39 AM,-3.4921547E+1,-1.2997711E+1,3.8327556E+3,2.1861843E+1
12127996,30/9/2021,6:08:40 AM,-3.3565113E+1,-1.3415105E+1,3.8318628E+3,2.1883938E+1
12127997,30/9/2021,6:08:40 AM,-3.1463968E+1,-1.3720840E+1,3.8327556E+3,2.1883938E+1
