TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-03 14:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
15007960,3/10/2021,2:08:36 PM,-1.6533325E+1,5.6018494E+1,3.9358206E+3,2.2661556E+1
15007961,3/10/2021,2:08:36 PM,-2.1690777E+1,6.0805473E+1,3.9349270E+3,2.2639446E+1
15007962,3/10/2021,2:08:36 PM,-2.5044199E+1,6.4704987E+1,3.9376074E+3,2.2639446E+1
15007963,3/10/2021,2:08:36 PM,-2.8796835E+1,6.9276825E+1,3.9376074E+3,2.2617336E+1
15007964,3/10/2021,2:08:36 PM,-3.4545555E+1,7.2477119E+1,3.9349270E+3,2.2617336E+1
15007965,3/10/2021,2:08:36 PM,-3.9096626E+1,7.4521004E+1,3.9358206E+3,2.2595230E+1
15007966,3/10/2021,2:08:37 PM,-4.0347507E+1,7.5677406E+1,3.9385010E+3,2.2573120E+1
15007967,3/10/2021,2:08:37 PM,-4.0400738E+1,7.5085754E+1,3.9385010E+3,2.2573120E+1
15007968,3/10/2021,2:08:37 PM,-3.7100544E+1,7.1428284E+1,3.9367141E+3,2.2573120E+1
15007969,3/10/2021,2:08:37 PM,-3.4625401E+1,6.6372360E+1,3.9322466E+3,2.2573120E+1
15007970,3/10/2021,2:08:37 PM,-3.1484896E+1,6.1262657E+1,3.9322466E+3,2.2551010E+1
15007971,3/10/2021,2:08:37 PM,-2.5629715E+1,5.7201790E+1,3.9349270E+3,2.2528900E+1
15007972,3/10/2021,2:08:37 PM,-1.7283762E+1,5.2468590E+1,3.9349270E+3,2.2528900E+1
15007973,3/10/2021,2:08:37 PM,-8.6655788E+0,4.6686558E+1,3.9322466E+3,2.2506798E+1
15007974,3/10/2021,2:08:37 PM,-1.3056895E+0,4.1899574E+1,3.9340334E+3,2.2506798E+1
15007975,3/10/2021,2:08:37 PM,4.5230803E+0,3.8591713E+1,3.9313530E+3,2.2506798E+1
15007976,3/10/2021,2:08:38 PM,9.2343321E+0,3.6413364E+1,3.9340334E+3,2.2484688E+1
15007977,3/10/2021,2:08:38 PM,1.3070780E+1,3.5687248E+1,3.9358206E+3,2.2484688E+1
