TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-28 07:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
10453960,28/9/2021,7:38:36 AM,4.4751191E+0,-6.1221566E+0,3.8434690E+3,0.0000000E+0
10453961,28/9/2021,7:38:36 AM,6.2060289E+0,-2.0612700E+0,3.8461475E+3,0.0000000E+0
10453962,28/9/2021,7:38:36 AM,7.3451600E+0,1.4937203E+0,3.8452546E+3,0.0000000E+0
10453963,28/9/2021,7:38:36 AM,7.6634855E+0,4.1465549E+0,3.8470403E+3,0.0000000E+0
10453964,28/9/2021,7:38:36 AM,6.5454006E+0,6.8744664E+0,3.8470403E+3,0.0000000E+0
10453965,28/9/2021,7:38:36 AM,5.9692578E+0,8.3950367E+0,3.8488257E+3,0.0000000E+0
10453966,28/9/2021,7:38:37 AM,5.2918735E+0,8.5332708E+0,3.8488257E+3,0.0000000E+0
10453967,28/9/2021,7:38:37 AM,3.7938299E+0,5.7872057E+0,3.8452546E+3,0.0000000E+0
10453968,28/9/2021,7:38:37 AM,1.9456350E+0,2.3854697E+0,3.8452546E+3,0.0000000E+0
10453969,28/9/2021,7:38:37 AM,4.7489540E-3,-9.0162027E-1,3.8452546E+3,0.0000000E+0
10453970,28/9/2021,7:38:37 AM,-2.9976723E+0,-3.2171822E+0,3.8452546E+3,0.0000000E+0
10453971,28/9/2021,7:38:37 AM,-6.0850129E+0,-6.6963577E+0,3.8434690E+3,0.0000000E+0
10453972,28/9/2021,7:38:37 AM,-8.3948450E+0,-1.1335161E+1,3.8416836E+3,0.0000000E+0
10453973,28/9/2021,7:38:37 AM,-1.1330805E+1,-1.4578335E+1,3.8416836E+3,0.0000000E+0
10453974,28/9/2021,7:38:37 AM,-1.4540366E+1,-1.8254818E+1,3.8390051E+3,0.0000000E+0
10453975,28/9/2021,7:38:37 AM,-1.7944605E+1,-2.0693281E+1,3.8398979E+3,0.0000000E+0
10453976,28/9/2021,7:38:38 AM,-2.1595837E+1,-2.3622589E+1,3.8390051E+3,0.0000000E+0
10453977,28/9/2021,7:38:38 AM,-2.3723505E+1,-2.7707497E+1,3.8381123E+3,0.0000000E+0
10453978,28/9/2021,7:38:38 AM,-2.5292660E+1,-3.1577408E+1,3.8381123E+3,0.0000000E+0
10453979,28/9/2021,7:38:38 AM,-2.6143728E+1,-3.5877312E+1,3.8354341E+3,0.0000000E+0
10453980,28/9/2021,7:38:38 AM,-2.8670336E+1,-3.7704769E+1,3.8363269E+3,0.0000000E+0
