TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-07 06:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
18175960,7/10/2021,6:08:36 AM,-5.8808079E+1,3.6283291E+1,3.8613250E+3,2.2767677E+1
18175961,7/10/2021,6:08:36 AM,-5.7930347E+1,5.9719608E+1,3.8247205E+3,2.2767677E+1
18175962,7/10/2021,6:08:36 AM,-5.6068493E+1,7.7350601E+1,3.8372195E+3,2.2833958E+1
18175963,7/10/2021,6:08:36 AM,-3.1598372E+1,9.9147446E+1,3.8550754E+3,2.2856052E+1
18175964,7/10/2021,6:08:36 AM,-9.1194677E+0,1.2021864E+2,3.8747168E+3,2.2811863E+1
18175965,7/10/2021,6:08:36 AM,1.7586418E+1,1.1640218E+2,3.8425762E+3,2.2811863E+1
18175966,7/10/2021,6:08:37 AM,3.7875492E+1,1.2021864E+2,3.8559683E+3,2.2811863E+1
18175967,7/10/2021,6:08:37 AM,4.9392406E+1,1.3274309E+2,3.8631106E+3,2.2811863E+1
18175968,7/10/2021,6:08:37 AM,6.2771175E+1,1.4190797E+2,3.8595393E+3,2.2789772E+1
18175969,7/10/2021,6:08:37 AM,7.6761703E+1,1.5830264E+2,3.8827520E+3,2.2723488E+1
18175970,7/10/2021,6:08:37 AM,7.6735107E+1,1.7983073E+2,3.8791809E+3,2.2657207E+1
18175971,7/10/2021,6:08:37 AM,8.3836754E+1,1.8525978E+2,3.8854302E+3,2.2657207E+1
18175972,7/10/2021,6:08:37 AM,8.5379440E+1,1.8751741E+2,3.8684673E+3,2.2568832E+1
18175973,7/10/2021,6:08:37 AM,8.0299225E+1,1.8875374E+2,3.8934656E+3,2.2546738E+1
18175974,7/10/2021,6:08:37 AM,8.0751389E+1,1.7507359E+2,3.8613250E+3,2.2458363E+1
18175975,7/10/2021,6:08:37 AM,8.2560059E+1,1.6090967E+2,3.8791809E+3,2.2369987E+1
18175976,7/10/2021,6:08:38 AM,7.9714073E+1,1.4577820E+2,3.8666816E+3,2.2303707E+1
18175977,7/10/2021,6:08:38 AM,7.7825615E+1,1.2298692E+2,3.8559683E+3,2.2149052E+1
18175978,7/10/2021,6:08:38 AM,6.8170563E+1,1.0258765E+2,3.8497185E+3,2.2149052E+1
18175979,7/10/2021,6:08:38 AM,5.8169727E+1,9.1783287E+1,3.8559683E+3,2.2038582E+1
18175980,7/10/2021,6:08:38 AM,5.6254673E+1,7.3883530E+1,3.8541826E+3,2.1928112E+1
18175981,7/10/2021,6:08:38 AM,5.2690552E+1,5.5311855E+1,3.8416836E+3,2.1883923E+1
18175982,7/10/2021,6:08:38 AM,4.2450336E+1,3.8755928E+1,3.8398979E+3,2.1685081E+1
18175983,7/10/2021,6:08:38 AM,2.9231153E+1,2.1151814E+1,3.8336484E+3,2.1618797E+1
