TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-29 08:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
11353960,29/9/2021,8:38:36 AM,7.1692119E+0,-1.3515592E+1,3.8747168E+3,2.2057850E+1
11353961,29/9/2021,8:38:36 AM,2.4046702E+0,-1.1697206E+1,3.8729314E+3,2.2102036E+1
11353962,29/9/2021,8:38:36 AM,-2.7802267E+0,-9.3072548E+0,3.8738242E+3,2.2102036E+1
11353963,29/9/2021,8:38:36 AM,-8.1005516E+0,-6.7445035E+0,3.8720386E+3,2.2102036E+1
11353964,29/9/2021,8:38:36 AM,-1.2657276E+1,-3.9462106E+0,3.8738242E+3,2.2124123E+1
11353965,29/9/2021,8:38:36 AM,-1.7256094E+1,-1.7965707E+0,3.8720386E+3,2.2124123E+1
11353966,29/9/2021,8:38:37 AM,-2.0957474E+1,4.7115022E-1,3.8720386E+3,2.2102036E+1
11353967,29/9/2021,8:38:37 AM,-2.4122372E+1,3.5507092E+0,3.8738242E+3,2.2102036E+1
11353968,29/9/2021,8:38:37 AM,-2.6914928E+1,6.3643436E+0,3.8738242E+3,2.2102036E+1
11353969,29/9/2021,8:38:37 AM,-2.7765993E+1,8.9058285E+0,3.8738242E+3,2.2079941E+1
11353970,29/9/2021,8:38:37 AM,-2.7739399E+1,1.1798228E+1,3.8747168E+3,2.2102036E+1
11353971,29/9/2021,8:38:37 AM,-2.6595779E+1,1.3640539E+1,3.8738242E+3,2.2102036E+1
11353972,29/9/2021,8:38:37 AM,-2.5319181E+1,1.6458502E+1,3.8756096E+3,2.2102036E+1
11353973,29/9/2021,8:38:37 AM,-2.2659603E+1,1.7957870E+1,3.8765024E+3,2.2102036E+1
11353974,29/9/2021,8:38:37 AM,-2.0026623E+1,1.9701818E+1,3.8765024E+3,2.2102036E+1
11353975,29/9/2021,8:38:37 AM,-1.7400793E+1,2.0827591E+1,3.8791809E+3,2.2102036E+1
11353976,29/9/2021,8:38:38 AM,-1.4543634E+1,2.1526323E+1,3.8782881E+3,2.2102036E+1
11353977,29/9/2021,8:38:38 AM,-1.2407340E+1,2.2144432E+1,3.8791809E+3,2.2079941E+1
11353978,29/9/2021,8:38:38 AM,-1.1331301E+1,2.1983187E+1,3.8782881E+3,2.2102036E+1
11353979,29/9/2021,8:38:38 AM,-1.0647265E+1,2.1445702E+1,3.8782881E+3,2.2102036E+1
11353980,29/9/2021,8:38:38 AM,-1.0126347E+1,1.9606115E+1,3.8782881E+3,2.2102036E+1
11353981,29/9/2021,8:38:38 AM,-1.0281570E+1,1.7476690E+1,3.8765024E+3,2.2102036E+1
11353982,29/9/2021,8:38:38 AM,-1.0247368E+1,1.5349925E+1,3.8765024E+3,2.2102036E+1
11353983,29/9/2021,8:38:38 AM,-1.0778811E+1,1.4081842E+1,3.8756096E+3,2.2079941E+1
11353984,29/9/2021,8:38:38 AM,-1.1149769E+1,1.1622770E+1,3.8765024E+3,2.2079941E+1
11353985,29/9/2021,8:38:38 AM,-1.0918248E+1,8.9776068E+0,3.8747168E+3,2.2079941E+1
11353986,29/9/2021,8:38:39 AM,-9.6896162E+0,6.4627070E+0,3.8756096E+3,2.2057850E+1
11353987,29/9/2021,8:38:39 AM,-8.2847147E+0,3.5002706E+0,3.8756096E+3,2.2057850E+1
11353988,29/9/2021,8:38:39 AM,-6.8429794E+0,-2.5490642E-1,3.8738242E+3,2.2057850E+1
11353989,29/9/2021,8:38:39 AM,-5.0739732E+0,-2.8517756E+0,3.8756096E+3,2.2035755E+1
11353990,29/9/2021,8:38:39 AM,-3.1050751E+0,-6.3776360E+0,3.8738242E+3,2.2035755E+1
