TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 12:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9769960,27/9/2021,12:38:36 PM,-6.25E+00,1.82E+01,3.92E+03,2.29E+01,
9769961,27/9/2021,12:38:36 PM,-2.90E+00,2.03E+01,3.92E+03,2.29E+01,
9769962,27/9/2021,12:38:36 PM,1.77E+00,2.20E+01,3.92E+03,2.29E+01,
9769963,27/9/2021,12:38:36 PM,3.17E+00,2.39E+01,3.92E+03,2.29E+01,
9769964,27/9/2021,12:38:36 PM,4.47E+00,2.55E+01,3.93E+03,2.29E+01,
9769965,27/9/2021,12:38:36 PM,7.69E+00,2.61E+01,3.92E+03,2.29E+01,
9769966,27/9/2021,12:38:37 PM,1.06E+01,2.46E+01,3.92E+03,2.29E+01,
9769967,27/9/2021,12:38:37 PM,1.25E+01,2.33E+01,3.92E+03,2.29E+01,
9769968,27/9/2021,12:38:37 PM,1.42E+01,2.10E+01,3.92E+03,2.29E+01,
9769969,27/9/2021,12:38:37 PM,1.67E+01,1.80E+01,3.92E+03,2.28E+01,
9769970,27/9/2021,12:38:37 PM,1.98E+01,1.39E+01,3.92E+03,2.28E+01,
9769971,27/9/2021,12:38:37 PM,2.22E+01,9.32E+00,3.92E+03,2.27E+01,
9769972,27/9/2021,12:38:37 PM,2.30E+01,5.69E+00,3.92E+03,2.27E+01,
9769973,27/9/2021,12:38:37 PM,2.20E+01,2.59E+00,3.92E+03,2.27E+01,
9769974,27/9/2021,12:38:37 PM,2.09E+01,7.52E-01,3.92E+03,2.27E+01,
9769975,27/9/2021,12:38:37 PM,1.94E+01,-1.65E+00,3.92E+03,2.27E+01,
9769976,27/9/2021,12:38:38 PM,1.71E+01,-2.62E+00,3.92E+03,2.27E+01,
9769977,27/9/2021,12:38:38 PM,1.46E+01,-3.34E+00,3.92E+03,2.27E+01,
9769978,27/9/2021,12:38:38 PM,1.03E+01,-3.66E+00,3.92E+03,2.27E+01,
9769979,27/9/2021,12:38:38 PM,6.59E+00,-3.56E+00,3.92E+03,2.27E+01,
9769980,27/9/2021,12:38:38 PM,3.44E+00,-4.45E+00,3.92E+03,2.28E+01,
9769981,27/9/2021,12:38:38 PM,7.42E-01,-4.02E+00,3.92E+03,2.28E+01,
9769982,27/9/2021,12:38:38 PM,-3.33E+00,-3.05E+00,3.92E+03,2.28E+01,
9769983,27/9/2021,12:38:38 PM,-7.16E+00,-2.57E+00,3.91E+03,2.28E+01,
9769984,27/9/2021,12:38:38 PM,-9.94E+00,-1.64E+00,3.92E+03,2.28E+01,
9769985,27/9/2021,12:38:38 PM,-1.21E+01,-4.51E-01,3.91E+03,2.28E+01,
9769986,27/9/2021,12:38:39 PM,-1.34E+01,1.32E+00,3.92E+03,2.29E+01,
9769987,27/9/2021,12:38:39 PM,-1.54E+01,2.57E+00,3.91E+03,2.29E+01,
9769988,27/9/2021,12:38:39 PM,-1.84E+01,4.59E+00,3.92E+03,2.28E+01,
