TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-29 23:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
11893960,29/9/2021,11:38:36 PM,-1.0759896E+1,-7.8785667E+0,3.8381663E+3,2.2171154E+1
11893961,29/9/2021,11:38:36 PM,-1.3743932E+1,-1.0162633E+1,3.8381663E+3,2.2149063E+1
11893962,29/9/2021,11:38:36 PM,-2.0430780E+1,-1.2837571E+1,3.8345952E+3,2.2149063E+1
11893963,29/9/2021,11:38:36 PM,-2.6043924E+1,-1.5613549E+1,3.8328096E+3,2.2126968E+1
11893964,29/9/2021,11:38:36 PM,-3.1098415E+1,-1.8222010E+1,3.8328096E+3,2.2104874E+1
11893965,29/9/2021,11:38:36 PM,-3.5328224E+1,-2.0343880E+1,3.8310237E+3,2.2082779E+1
11893966,29/9/2021,11:38:37 PM,-3.8254509E+1,-2.3010292E+1,3.8337024E+3,2.2038593E+1
11893967,29/9/2021,11:38:37 PM,-4.2271496E+1,-2.6182272E+1,3.8292380E+3,2.2016499E+1
11893968,29/9/2021,11:38:37 PM,-4.4506115E+1,-2.9784349E+1,3.8292380E+3,2.1994404E+1
11893969,29/9/2021,11:38:37 PM,-4.5650024E+1,-3.3063854E+1,3.8274526E+3,2.1972313E+1
11893970,29/9/2021,11:38:37 PM,-4.4984962E+1,-3.6047665E+1,3.8292380E+3,2.1950218E+1
11893971,29/9/2021,11:38:37 PM,-4.3521820E+1,-3.7902466E+1,3.8292380E+3,2.1928123E+1
11893972,29/9/2021,11:38:37 PM,-4.2032074E+1,-3.9972317E+1,3.8292380E+3,2.1928123E+1
11893973,29/9/2021,11:38:37 PM,-4.1047779E+1,-4.1665833E+1,3.8274526E+3,2.1928123E+1
11893974,29/9/2021,11:38:37 PM,-3.9504829E+1,-4.3036774E+1,3.8292380E+3,2.1950218E+1
11893975,29/9/2021,11:38:37 PM,-3.9025986E+1,-4.2552914E+1,3.8292380E+3,2.1950218E+1
11893976,29/9/2021,11:38:38 PM,-3.7190407E+1,-4.2552914E+1,3.8310237E+3,2.1994404E+1
11893977,29/9/2021,11:38:38 PM,-3.7722458E+1,-4.1262615E+1,3.8319167E+3,2.2016499E+1
11893978,29/9/2021,11:38:38 PM,-3.6897778E+1,-4.0913162E+1,3.8301309E+3,2.2016499E+1
11893979,29/9/2021,11:38:38 PM,-3.8493935E+1,-3.9837914E+1,3.8301309E+3,2.2016499E+1
11893980,29/9/2021,11:38:38 PM,-3.8653545E+1,-3.8601379E+1,3.8292380E+3,2.2038593E+1
11893981,29/9/2021,11:38:38 PM,-3.8813164E+1,-3.7311081E+1,3.8310237E+3,2.2082779E+1
11893982,29/9/2021,11:38:38 PM,-3.7749058E+1,-3.6907864E+1,3.8310237E+3,2.2082779E+1
11893983,29/9/2021,11:38:38 PM,-3.8015087E+1,-3.6235836E+1,3.8292380E+3,2.2082779E+1
11893984,29/9/2021,11:38:38 PM,-3.7030788E+1,-3.6101429E+1,3.8274526E+3,2.2104874E+1
11893985,29/9/2021,11:38:38 PM,-3.5328224E+1,-3.4891777E+1,3.8274526E+3,2.2126968E+1
11893986,29/9/2021,11:38:39 PM,-3.0672773E+1,-3.2257420E+1,3.8292380E+3,2.2149063E+1
11893987,29/9/2021,11:38:39 PM,-2.6230143E+1,-2.9300489E+1,3.8310237E+3,2.2171154E+1
11893988,29/9/2021,11:38:39 PM,-2.1601295E+1,-2.6182272E+1,3.8319167E+3,2.2171154E+1
11893989,29/9/2021,11:38:39 PM,-1.9412020E+1,-2.3225342E+1,3.8319167E+3,2.2193249E+1
11893990,29/9/2021,11:38:39 PM,-1.4333370E+1,-2.0245499E+1,3.8310237E+3,2.2193249E+1
11893991,29/9/2021,11:38:39 PM,-1.0770421E+1,-1.5493894E+1,3.8363806E+3,2.2171154E+1
11893992,29/9/2021,11:38:39 PM,-5.3987331E+0,-1.0245062E+1,3.8363806E+3,2.2171154E+1
11893993,29/9/2021,11:38:39 PM,-1.1820557E+0,-5.7088370E+0,3.8399519E+3,2.2171154E+1
11893994,29/9/2021,11:38:39 PM,9.0811646E-1,-2.1539242E+0,3.8372734E+3,2.2171154E+1
11893995,29/9/2021,11:38:39 PM,4.2489367E+0,9.3016070E-1,3.8399519E+3,2.2193249E+1
11893996,29/9/2021,11:38:40 PM,7.3600955E+0,4.0740390E+0,3.8399519E+3,2.2237438E+1
11893997,29/9/2021,11:38:40 PM,9.6494341E+0,7.1659594E+0,3.8426304E+3,2.2237438E+1
11893998,29/9/2021,11:38:40 PM,1.2878193E+1,9.6414728E+0,3.8435229E+3,2.2281624E+1
11893999,29/9/2021,11:38:40 PM,1.3986023E+1,1.0348763E+1,3.8417375E+3,2.2303719E+1
11894000,29/9/2021,11:38:40 PM,1.5801706E+1,1.0362057E+1,3.8417375E+3,2.2303719E+1
11894001,29/9/2021,11:38:40 PM,1.6556925E+1,1.0649227E+1,3.8399519E+3,2.2237438E+1
11894002,29/9/2021,11:38:40 PM,1.8156832E+1,1.0822062E+1,3.8435229E+3,2.2237438E+1
11894003,29/9/2021,11:38:40 PM,1.8219986E+1,1.1204955E+1,3.8417375E+3,2.2171154E+1
11894004,29/9/2021,11:38:40 PM,1.7072683E+1,9.5032053E+0,3.8408447E+3,2.2126968E+1
11894005,29/9/2021,11:38:40 PM,1.4788608E+1,8.0540600E+0,3.8381663E+3,2.2104874E+1
11894006,29/9/2021,11:38:41 PM,1.2541370E+1,7.5913968E+0,3.8399519E+3,2.2060688E+1
11894007,29/9/2021,11:38:41 PM,9.7573223E+0,7.7376409E+0,3.8417375E+3,2.2016499E+1
11894008,29/9/2021,11:38:41 PM,6.4838305E+0,7.4238811E+0,3.8399519E+3,2.2016499E+1
11894009,29/9/2021,11:38:41 PM,2.6133895E+0,7.0888486E+0,3.8399519E+3,2.1972313E+1
11894010,29/9/2021,11:38:41 PM,8.4504187E-1,5.4588923E+0,3.8399519E+3,2.1972313E+1
11894011,29/9/2021,11:38:41 PM,-2.7584016E+0,4.4567814E+0,3.8399519E+3,2.1994404E+1
11894012,29/9/2021,11:38:41 PM,-5.5960450E+0,1.4757183E+0,3.8399519E+3,2.2016499E+1
11894013,29/9/2021,11:38:41 PM,-1.0257294E+1,-6.3575208E-1,3.8390591E+3,2.1972313E+1
11894014,29/9/2021,11:38:41 PM,-1.4199167E+1,-4.8483310E+0,3.8381663E+3,2.1928123E+1
11894015,29/9/2021,11:38:41 PM,-1.7783167E+1,-9.9871407E+0,3.8363806E+3,2.1950218E+1
11894016,29/9/2021,11:38:42 PM,-2.2026936E+1,-1.4712153E+1,3.8354880E+3,2.1950218E+1
11894017,29/9/2021,11:38:42 PM,-2.6682388E+1,-1.9610001E+1,3.8328096E+3,2.1950218E+1
11894018,29/9/2021,11:38:42 PM,-3.2481750E+1,-2.4004896E+1,3.8328096E+3,2.1928123E+1
11894019,29/9/2021,11:38:42 PM,-3.9079189E+1,-2.8655342E+1,3.8292380E+3,2.1928123E+1
11894020,29/9/2021,11:38:42 PM,-4.4452911E+1,-3.2687519E+1,3.8310237E+3,2.1928123E+1
11894021,29/9/2021,11:38:42 PM,-5.0199066E+1,-3.6235836E+1,3.8274526E+3,2.1950218E+1
11894022,29/9/2021,11:38:42 PM,-5.4162849E+1,-3.9945438E+1,3.8256670E+3,2.1950218E+1
11894023,29/9/2021,11:38:42 PM,-5.6583687E+1,-4.2956127E+1,3.8274526E+3,2.1972313E+1
11894024,29/9/2021,11:38:42 PM,-6.0095226E+1,-4.5482960E+1,3.8238813E+3,2.2038593E+1
11894025,29/9/2021,11:38:42 PM,-5.9456768E+1,-4.8708702E+1,3.8256670E+3,2.2060688E+1
11894026,29/9/2021,11:38:43 PM,-5.9430161E+1,-5.1316177E+1,3.8220957E+3,2.2082779E+1
11894027,29/9/2021,11:38:43 PM,-5.6291058E+1,-5.3493553E+1,3.8256670E+3,2.2082779E+1
11894028,29/9/2021,11:38:43 PM,-5.2885929E+1,-5.4111820E+1,3.8247742E+3,2.2104874E+1
11894029,29/9/2021,11:38:43 PM,-4.9188168E+1,-5.3601078E+1,3.8256670E+3,2.2149063E+1
11894030,29/9/2021,11:38:43 PM,-4.3521820E+1,-5.1558105E+1,3.8292380E+3,2.2149063E+1
11894031,29/9/2021,11:38:43 PM,-3.9957073E+1,-5.0214050E+1,3.8274526E+3,2.2193249E+1
11894032,29/9/2021,11:38:43 PM,-3.5301624E+1,-4.8439888E+1,3.8292380E+3,2.2215343E+1
11894033,29/9/2021,11:38:43 PM,-3.0912197E+1,-4.5375435E+1,3.8319167E+3,2.2193249E+1
11894034,29/9/2021,11:38:43 PM,-2.6975018E+1,-4.3843208E+1,3.8310237E+3,2.2171154E+1
11894035,29/9/2021,11:38:43 PM,-2.4713797E+1,-4.1262615E+1,3.8328096E+3,2.2193249E+1
11894036,29/9/2021,11:38:44 PM,-2.5272449E+1,-3.9972317E+1,3.8292380E+3,2.2193249E+1
11894037,29/9/2021,11:38:44 PM,-2.2771809E+1,-3.8225044E+1,3.8310237E+3,2.2215343E+1
11894038,29/9/2021,11:38:44 PM,-2.1601295E+1,-3.5321873E+1,3.8301309E+3,2.2215343E+1
11894039,29/9/2021,11:38:44 PM,-2.1042641E+1,-3.1128408E+1,3.8328096E+3,2.2215343E+1
11894040,29/9/2021,11:38:44 PM,-2.1175653E+1,-2.6612371E+1,3.8328096E+3,2.2215343E+1
11894041,29/9/2021,11:38:44 PM,-2.1308666E+1,-2.3386629E+1,3.8292380E+3,2.2237438E+1
11894042,29/9/2021,11:38:44 PM,-2.0803217E+1,-1.9325489E+1,3.8328096E+3,2.2237438E+1
11894043,29/9/2021,11:38:44 PM,-1.6551662E+1,-1.5424761E+1,3.8328096E+3,2.2237438E+1
11894044,29/9/2021,11:38:44 PM,-1.3107127E+1,-1.0532232E+1,3.8363806E+3,2.2237438E+1
11894045,29/9/2021,11:38:44 PM,-8.8784275E+0,-5.9135785E+0,3.8363806E+3,2.2237438E+1
11894046,29/9/2021,11:38:45 PM,-4.8170996E+0,-3.0939639E+0,3.8372734E+3,2.2237438E+1
11894047,29/9/2021,11:38:45 PM,-6.8405634E-1,-4.8854771E-1,3.8363806E+3,2.2237438E+1
11894048,29/9/2021,11:38:45 PM,4.6388059E+0,2.9049950E+0,3.8399519E+3,2.2215343E+1
11894049,29/9/2021,11:38:45 PM,9.5652285E+0,6.7086143E+0,3.8417375E+3,2.2215343E+1
11894050,29/9/2021,11:38:45 PM,1.2422956E+1,1.0572117E+1,3.8444158E+3,2.2215343E+1
11894051,29/9/2021,11:38:45 PM,1.5014909E+1,1.3523587E+1,3.8435229E+3,2.2215343E+1
11894052,29/9/2021,11:38:45 PM,1.3788666E+1,1.5709272E+1,3.8426304E+3,2.2215343E+1
11894053,29/9/2021,11:38:45 PM,1.3754457E+1,1.8557043E+1,3.8453086E+3,2.2215343E+1
11894054,29/9/2021,11:38:45 PM,1.2712413E+1,2.0431627E+1,3.8435229E+3,2.2215343E+1
11894055,29/9/2021,11:38:45 PM,9.9967823E+0,2.0859798E+1,3.8435229E+3,2.2215343E+1
11894056,29/9/2021,11:38:46 PM,7.1285300E+0,2.0671629E+1,3.8435229E+3,2.2215343E+1
11894057,29/9/2021,11:38:46 PM,3.0698214E+0,1.8370914E+1,3.8390591E+3,2.2215343E+1
11894058,29/9/2021,11:38:46 PM,-3.3806953E-1,1.6565464E+1,3.8399519E+3,2.2215343E+1
11894059,29/9/2021,11:38:46 PM,-1.5483637E+0,1.4520707E+1,3.8390591E+3,2.2237438E+1
11894060,29/9/2021,11:38:46 PM,-3.1173663E+0,1.2765778E+1,3.8417375E+3,2.2237438E+1
11894061,29/9/2021,11:38:46 PM,-4.5468855E+0,9.4127998E+0,3.8345952E+3,2.2237438E+1
11894062,29/9/2021,11:38:46 PM,-4.3749309E+0,5.5679107E+0,3.8381663E+3,2.2215343E+1
11894063,29/9/2021,11:38:46 PM,-3.7505069E+0,3.6544642E+0,3.8390591E+3,2.2215343E+1
11894064,29/9/2021,11:38:46 PM,-1.2311431E+0,3.6214399E-1,3.8381663E+3,2.2193249E+1
11894065,29/9/2021,11:38:46 PM,-3.1722060E-1,-2.9033935E+0,3.8390591E+3,2.2193249E+1
11894066,29/9/2021,11:38:47 PM,6.4737278E-1,-7.7163692E+0,3.8363806E+3,2.2193249E+1
11894067,29/9/2021,11:38:47 PM,-5.4946196E-1,-1.1859065E+1,3.8381663E+3,2.2171154E+1
11894068,29/9/2021,11:38:47 PM,-1.0110416E+0,-1.5855516E+1,3.8381663E+3,2.2171154E+1
11894069,29/9/2021,11:38:47 PM,-2.8907351E+0,-1.9500982E+1,3.8381663E+3,2.2149063E+1
11894070,29/9/2021,11:38:47 PM,-6.0864854E+0,-2.3655441E+1,3.8363806E+3,2.2149063E+1
11894071,29/9/2021,11:38:47 PM,-1.2646627E+1,-2.6934944E+1,3.8354880E+3,2.2126968E+1
11894072,29/9/2021,11:38:47 PM,-1.8946259E+1,-3.1262814E+1,3.8310237E+3,2.2104874E+1
11894073,29/9/2021,11:38:47 PM,-2.5857708E+1,-3.4622963E+1,3.8310237E+3,2.2082779E+1
11894074,29/9/2021,11:38:47 PM,-3.1976301E+1,-3.7660534E+1,3.8292380E+3,2.2038593E+1
11894075,29/9/2021,11:38:47 PM,-3.7323418E+1,-4.0913162E+1,3.8310237E+3,2.2038593E+1
11894076,29/9/2021,11:38:48 PM,-4.3681435E+1,-4.4810932E+1,3.8256670E+3,2.2016499E+1
11894077,29/9/2021,11:38:48 PM,-4.8044258E+1,-4.9461376E+1,3.8247742E+3,2.1994404E+1
11894078,29/9/2021,11:38:48 PM,-5.1130157E+1,-5.2606472E+1,3.8220957E+3,2.1994404E+1
11894079,29/9/2021,11:38:48 PM,-5.1422787E+1,-5.5697807E+1,3.8238813E+3,2.1972313E+1
11894080,29/9/2021,11:38:48 PM,-5.1422787E+1,-5.6907467E+1,3.8238813E+3,2.1972313E+1
11894081,29/9/2021,11:38:48 PM,-5.1316376E+1,-5.7713898E+1,3.8247742E+3,2.1972313E+1
11894082,29/9/2021,11:38:48 PM,-5.1050350E+1,-5.6988110E+1,3.8238813E+3,2.1972313E+1
11894083,29/9/2021,11:38:48 PM,-5.0465092E+1,-5.5160187E+1,3.8256670E+3,2.1972313E+1
11894084,29/9/2021,11:38:48 PM,-4.9161568E+1,-5.0886078E+1,3.8292380E+3,2.1994404E+1
11894085,29/9/2021,11:38:48 PM,-4.7459000E+1,-4.5698009E+1,3.8310237E+3,2.1994404E+1
11894086,29/9/2021,11:38:49 PM,-4.6581116E+1,-4.2579792E+1,3.8292380E+3,2.1994404E+1
11894087,29/9/2021,11:38:49 PM,-4.7645222E+1,-3.9139004E+1,3.8292380E+3,2.1994404E+1
11894088,29/9/2021,11:38:49 PM,-4.8416695E+1,-3.5456280E+1,3.8310237E+3,2.1994404E+1
11894089,29/9/2021,11:38:49 PM,-4.6820541E+1,-3.1827322E+1,3.8328096E+3,2.1972313E+1
11894090,29/9/2021,11:38:49 PM,-4.5038166E+1,-2.9461777E+1,3.8337024E+3,2.1972313E+1
11894091,29/9/2021,11:38:49 PM,-4.5942654E+1,-2.8440290E+1,3.8292380E+3,2.1994404E+1
11894092,29/9/2021,11:38:49 PM,-4.6900349E+1,-2.6854301E+1,3.8292380E+3,2.1994404E+1
11894093,29/9/2021,11:38:49 PM,-4.6288486E+1,-2.4139303E+1,3.8292380E+3,2.1994404E+1
11894094,29/9/2021,11:38:49 PM,-4.3734642E+1,-2.1988808E+1,3.8310237E+3,2.2016499E+1
11894095,29/9/2021,11:38:49 PM,-3.9850662E+1,-1.9788153E+1,3.8310237E+3,2.2016499E+1
11894096,29/9/2021,11:38:50 PM,-3.6658352E+1,-1.6778183E+1,3.8310237E+3,2.2016499E+1
11894097,29/9/2021,11:38:50 PM,-3.3386238E+1,-1.4167063E+1,3.8301309E+3,2.2016499E+1
11894098,29/9/2021,11:38:50 PM,-2.8198734E+1,-1.1566576E+1,3.8328096E+3,2.2016499E+1
11894099,29/9/2021,11:38:50 PM,-1.9867258E+1,-8.4715204E+0,3.8337024E+3,2.2038593E+1
11894100,29/9/2021,11:38:50 PM,-1.1649318E+1,-4.7850747E+0,3.8381663E+3,2.2038593E+1
11894101,29/9/2021,11:38:50 PM,-3.0420866E+0,-1.9785674E+0,3.8390591E+3,2.2016499E+1
11894102,29/9/2021,11:38:50 PM,3.5619118E+0,4.9334788E-1,3.8390591E+3,2.2016499E+1
11894103,29/9/2021,11:38:50 PM,9.9020519E+0,3.0827537E+0,3.8399519E+3,2.2016499E+1
11894104,29/9/2021,11:38:50 PM,1.6214838E+1,5.4190078E+0,3.8417375E+3,2.2016499E+1
11894105,29/9/2021,11:38:50 PM,2.1122448E+1,8.4422712E+0,3.8444158E+3,2.2016499E+1
11894106,29/9/2021,11:38:51 PM,2.4128540E+1,1.0245062E+1,3.8453086E+3,2.2060688E+1
11894107,29/9/2021,11:38:51 PM,2.5166042E+1,1.1377789E+1,3.8444158E+3,2.2104874E+1
11894108,29/9/2021,11:38:51 PM,2.3942322E+1,1.1896290E+1,3.8435229E+3,2.2104874E+1
11894109,29/9/2021,11:38:51 PM,2.3835911E+1,1.1462876E+1,3.8426304E+3,2.2126968E+1
11894110,29/9/2021,11:38:51 PM,2.2372768E+1,1.0455121E+1,3.8426304E+3,2.2149063E+1
11894111,29/9/2021,11:38:51 PM,2.0962833E+1,8.2853909E+0,3.8408447E+3,2.2193249E+1
11894112,29/9/2021,11:38:51 PM,1.9135721E+1,4.5969062E+0,3.8381663E+3,2.2193249E+1
11894113,29/9/2021,11:38:51 PM,1.6046429E+1,2.1411126E+0,3.8381663E+3,2.2193249E+1
11894114,29/9/2021,11:38:51 PM,1.4614933E+1,1.7387179E-1,3.8390591E+3,2.2193249E+1
11894115,29/9/2021,11:38:51 PM,1.3162387E+1,-1.8960937E+0,3.8363806E+3,2.2193249E+1
11894116,29/9/2021,11:38:52 PM,1.0838839E+1,-3.2124698E+0,3.8381663E+3,2.2193249E+1
11894117,29/9/2021,11:38:52 PM,9.3284006E+0,-4.9388118E+0,3.8345952E+3,2.2193249E+1
11894118,29/9/2021,11:38:52 PM,7.3311491E+0,-5.6476803E+0,3.8381663E+3,2.2193249E+1
11894119,29/9/2021,11:38:52 PM,6.6364536E+0,-6.1475692E+0,3.8390591E+3,2.2237438E+1
11894120,29/9/2021,11:38:52 PM,4.8749461E+0,-7.3733602E+0,3.8363806E+3,2.2237438E+1
11894121,29/9/2021,11:38:52 PM,3.2108715E+0,-8.7001934E+0,3.8399519E+3,2.2215343E+1
11894122,29/9/2021,11:38:52 PM,-4.6817747E-1,-9.8648272E+0,3.8363806E+3,2.2193249E+1
11894123,29/9/2021,11:38:52 PM,-4.1926756E+0,-1.1813862E+1,3.8381663E+3,2.2193249E+1
11894124,29/9/2021,11:38:52 PM,-8.6810703E+0,-1.2771096E+1,3.8363806E+3,2.2149063E+1
11894125,29/9/2021,11:38:52 PM,-1.3822875E+1,-1.4499434E+1,3.8363806E+3,2.2149063E+1
11894126,29/9/2021,11:38:53 PM,-1.9146246E+1,-1.6711710E+1,3.8354880E+3,2.2171154E+1
11894127,29/9/2021,11:38:53 PM,-2.5112837E+1,-1.9179245E+1,3.8328096E+3,2.2193249E+1
11894128,29/9/2021,11:38:53 PM,-3.1258032E+1,-2.1585590E+1,3.8328096E+3,2.2193249E+1
11894129,29/9/2021,11:38:53 PM,-3.7350021E+1,-2.3978014E+1,3.8310237E+3,2.2215343E+1
11894130,29/9/2021,11:38:53 PM,-4.1553226E+1,-2.7365044E+1,3.8292380E+3,2.2215343E+1
11894131,29/9/2021,11:38:53 PM,-4.4506115E+1,-2.9730587E+1,3.8292380E+3,2.2259533E+1
11894132,29/9/2021,11:38:53 PM,-4.7565411E+1,-3.2364944E+1,3.8274526E+3,2.2281624E+1
11894133,29/9/2021,11:38:53 PM,-4.9800026E+1,-3.3870289E+1,3.8274526E+3,2.2281624E+1
11894134,29/9/2021,11:38:53 PM,-5.2407082E+1,-3.4488556E+1,3.8274526E+3,2.2281624E+1
11894135,29/9/2021,11:38:53 PM,-5.2247463E+1,-3.4703606E+1,3.8274526E+3,2.2281624E+1
