TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-07 14:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
18463960,7/10/2021,2:08:36 PM,8.9018364E+1,5.7341511E+1,3.9211768E+3,2.2458363E+1
18463961,7/10/2021,2:08:36 PM,8.5134117E+1,6.3766556E+1,3.9211768E+3,2.2414177E+1
18463962,7/10/2021,2:08:36 PM,7.8828873E+1,6.9546410E+1,3.9202832E+3,2.2392082E+1
18463963,7/10/2021,2:08:36 PM,7.0794342E+1,7.3444450E+1,3.9220698E+3,2.2392082E+1
18463964,7/10/2021,2:08:36 PM,6.1376377E+1,7.3444450E+1,3.9158174E+3,2.2369987E+1
18463965,7/10/2021,2:08:36 PM,5.4618858E+1,7.3632629E+1,3.9167107E+3,2.2369987E+1
18463966,7/10/2021,2:08:37 PM,5.0335548E+1,7.4116524E+1,3.9202832E+3,2.2392082E+1
18463967,7/10/2021,2:08:37 PM,4.5972424E+1,7.3847694E+1,3.9184968E+3,2.2414177E+1
18463968,7/10/2021,2:08:37 PM,4.3578026E+1,6.9869003E+1,3.9184968E+3,2.2392082E+1
18463969,7/10/2021,2:08:37 PM,3.6980133E+1,6.3820324E+1,3.9140310E+3,2.2347893E+1
18463970,7/10/2021,2:08:37 PM,2.9344666E+1,5.9760986E+1,3.9113513E+3,2.2347893E+1
18463971,7/10/2021,2:08:37 PM,2.0197744E+1,5.7798523E+1,3.9131377E+3,2.2369987E+1
18463972,7/10/2021,2:08:37 PM,9.6882849E+0,5.6051125E+1,3.9176038E+3,2.2369987E+1
18463973,7/10/2021,2:08:37 PM,-1.4135228E+0,5.0647633E+1,3.9113513E+3,2.2347893E+1
18463974,7/10/2021,2:08:37 PM,-2.1097298E+1,4.3469868E+1,3.9059919E+3,2.2259518E+1
18463975,7/10/2021,2:08:37 PM,-4.1423069E+1,3.7905075E+1,3.9042056E+3,2.2259518E+1
18463976,7/10/2021,2:08:38 PM,-5.8556309E+1,3.1103670E+1,3.9015261E+3,2.2259518E+1
18463977,7/10/2021,2:08:38 PM,-7.3827240E+1,2.4409796E+1,3.9042056E+3,2.2259518E+1
18463978,7/10/2021,2:08:38 PM,-8.7581726E+1,1.7100809E+1,3.9042056E+3,2.2281612E+1
18463979,7/10/2021,2:08:38 PM,-1.0024542E+2,4.1435018E+0,3.8908074E+3,2.2347893E+1
18463980,7/10/2021,2:08:38 PM,-1.1288252E+2,-9.7471962E+0,3.8881279E+3,2.2347893E+1
18463981,7/10/2021,2:08:38 PM,-1.2288578E+2,-2.3495771E+1,3.8818755E+3,2.2414177E+1
18463982,7/10/2021,2:08:38 PM,-1.2525358E+2,-3.5485603E+1,3.8791960E+3,2.2480457E+1
18463983,7/10/2021,2:08:38 PM,-1.2437563E+2,-4.6776482E+1,3.8791960E+3,2.2480457E+1
18463984,7/10/2021,2:08:38 PM,-1.2336465E+2,-5.5701649E+1,3.8756230E+3,2.2568832E+1
18463985,7/10/2021,2:08:38 PM,-1.1982628E+2,-6.1535267E+1,3.8756230E+3,2.2613022E+1
18463986,7/10/2021,2:08:39 PM,-1.0942395E+2,-6.4976295E+1,3.8720503E+3,2.2723488E+1
18463987,7/10/2021,2:08:39 PM,-1.0128299E+2,-6.4814995E+1,3.8738367E+3,2.2789772E+1
18463988,7/10/2021,2:08:39 PM,-9.0508209E+1,-5.9760986E+1,3.8818755E+3,2.2789772E+1
18463989,7/10/2021,2:08:39 PM,-7.5157463E+1,-5.1050884E+1,3.8845549E+3,2.2878147E+1
18463990,7/10/2021,2:08:39 PM,-5.2756546E+1,-4.6023754E+1,3.8881279E+3,2.2900238E+1
18463991,7/10/2021,2:08:39 PM,-3.2936264E+1,-3.5351189E+1,3.8917007E+3,2.2922333E+1
18463992,7/10/2021,2:08:39 PM,-1.1217461E+1,-2.3334475E+1,3.8997397E+3,2.2944427E+1
18463993,7/10/2021,2:08:39 PM,1.1701743E+1,-1.5185946E+1,3.9024192E+3,2.2944427E+1
18463994,7/10/2021,2:08:39 PM,3.8097519E+1,-6.1142712E+0,3.8970601E+3,2.2988613E+1
18463995,7/10/2021,2:08:39 PM,6.1482460E+1,7.3908162E+0,3.9167454E+3,2.2988613E+1
18463996,7/10/2021,2:08:40 PM,8.4202507E+1,2.1506310E+1,3.9167454E+3,2.3054897E+1
18463997,7/10/2021,2:08:40 PM,1.0085677E+2,3.2044399E+1,3.9167454E+3,2.3099083E+1
18463998,7/10/2021,2:08:40 PM,1.1583497E+2,4.0646923E+1,3.9149590E+3,2.3076992E+1
18463999,7/10/2021,2:08:40 PM,1.2764727E+2,5.3685127E+1,3.9229978E+3,2.2966522E+1
18464000,7/10/2021,2:08:40 PM,1.3677252E+2,6.7341637E+1,3.9176384E+3,2.2944427E+1
18464001,7/10/2021,2:08:40 PM,1.4267868E+2,8.4358498E+1,3.9346096E+3,2.2944427E+1
18464002,7/10/2021,2:08:40 PM,1.4206679E+2,1.0005811E+2,3.9310366E+3,2.2922333E+1
18464003,7/10/2021,2:08:40 PM,1.3105261E+2,1.1489745E+2,3.9328232E+3,2.2900238E+1
18464004,7/10/2021,2:08:40 PM,1.1421212E+2,1.2981746E+2,3.9319302E+3,2.2833958E+1
18464005,7/10/2021,2:08:40 PM,1.0152189E+2,1.4118892E+2,3.9310366E+3,2.2811863E+1
18464006,7/10/2021,2:08:41 PM,9.0826965E+1,1.5258727E+2,3.9381826E+3,2.2679302E+1
18464007,7/10/2021,2:08:41 PM,7.8163338E+1,1.6148550E+2,3.9435420E+3,2.2502552E+1
18464008,7/10/2021,2:08:41 PM,6.4142883E+1,1.6522223E+2,3.9381826E+3,2.2502552E+1
18464009,7/10/2021,2:08:41 PM,5.2570030E+1,1.5928111E+2,3.9346096E+3,2.2392082E+1
18464010,7/10/2021,2:08:41 PM,4.3444767E+1,1.4839352E+2,3.9301436E+3,2.2347893E+1
18464011,7/10/2021,2:08:41 PM,3.6793697E+1,1.3414561E+2,3.9292502E+3,2.2237427E+1
18464012,7/10/2021,2:08:41 PM,3.0754532E+1,1.1556953E+2,3.9256777E+3,2.2038582E+1
18464013,7/10/2021,2:08:41 PM,2.3145712E+1,9.6966576E+1,3.9238909E+3,2.1994392E+1
18464014,7/10/2021,2:08:41 PM,1.4873204E+1,7.5245201E+1,3.9149590E+3,2.1861832E+1
18464015,7/10/2021,2:08:41 PM,3.1452155E+0,5.3550713E+1,3.9095996E+3,2.1817642E+1
18464016,7/10/2021,2:08:42 PM,-1.4673175E+1,3.2877769E+1,3.9042402E+3,2.1795547E+1
18464017,7/10/2021,2:08:42 PM,-3.5835945E+1,1.4645997E+1,3.8953081E+3,2.1729267E+1
18464018,7/10/2021,2:08:42 PM,-5.8130318E+1,-3.3780351E-1,3.8988811E+3,2.1773457E+1
18464019,7/10/2021,2:08:42 PM,-8.0637527E+1,-1.5380026E+1,3.8854829E+3,2.1994392E+1
18464020,7/10/2021,2:08:42 PM,-1.0258605E+2,-3.1103500E+1,3.8836965E+3,2.2060677E+1
18464021,7/10/2021,2:08:42 PM,-1.2708858E+2,-4.2474964E+1,3.8729778E+3,2.2149052E+1
18464022,7/10/2021,2:08:42 PM,-1.4528590E+2,-5.1292553E+1,3.8738711E+3,2.2237427E+1
18464023,7/10/2021,2:08:42 PM,-1.5688536E+2,-5.7825089E+1,3.8720847E+3,2.2259518E+1
18464024,7/10/2021,2:08:42 PM,-1.5866785E+2,-6.4626457E+1,3.8720847E+3,2.2369987E+1
18464025,7/10/2021,2:08:42 PM,-1.5326717E+2,-6.9250320E+1,3.8747642E+3,2.2392082E+1
18464026,7/10/2021,2:08:43 PM,-1.3929994E+2,-7.6347404E+1,3.8694048E+3,2.2392082E+1
18464027,7/10/2021,2:08:43 PM,-1.1860182E+2,-7.9922821E+1,3.8756575E+3,2.2414177E+1
18464028,7/10/2021,2:08:43 PM,-9.2822289E+1,-8.2557343E+1,3.8783372E+3,2.2436268E+1
18464029,7/10/2021,2:08:43 PM,-5.9460537E+1,-8.6482246E+1,3.8810166E+3,2.2502552E+1
18464030,7/10/2021,2:08:43 PM,-2.3464962E+1,-8.6616661E+1,3.8899490E+3,2.2546738E+1
18464031,7/10/2021,2:08:43 PM,8.6328278E+0,-8.5487579E+1,3.8899490E+3,2.2590927E+1
18464032,7/10/2021,2:08:43 PM,3.7990894E+1,-8.0756195E+1,3.8988811E+3,2.2657207E+1
