TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-07 16:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
18553960,7/10/2021,4:38:36 PM,-1.1918816E+2,-5.2825333E+1,3.8527268E+3,2.2590927E+1
18553961,7/10/2021,4:38:36 PM,-1.3919473E+2,-4.1668842E+1,3.8554060E+3,2.2723488E+1
18553962,7/10/2021,4:38:36 PM,-1.5632803E+2,-3.4813644E+1,3.8420098E+3,2.2723488E+1
18553963,7/10/2021,4:38:36 PM,-1.7088071E+2,-2.5673382E+1,3.8491545E+3,2.2856052E+1
18553964,7/10/2021,4:38:36 PM,-1.8293254E+2,-1.5770072E+1,3.8464753E+3,2.2922333E+1
18553965,7/10/2021,4:38:36 PM,-1.8910478E+2,-9.4939556E+0,3.8509407E+3,2.2988613E+1
18553966,7/10/2021,4:38:37 PM,-1.8365086E+2,-8.3876572E+0,3.8464753E+3,2.3032803E+1
18553967,7/10/2021,4:38:37 PM,-1.7665387E+2,-8.4568014E+0,3.8295066E+3,2.3054897E+1
18553968,7/10/2021,4:38:37 PM,-1.6718266E+2,-1.8976188E+0,3.8446892E+3,2.3099083E+1
18553969,7/10/2021,4:38:37 PM,-1.5121997E+2,7.7760019E+0,3.8500476E+3,2.3099083E+1
18553970,7/10/2021,4:38:37 PM,-1.2634476E+2,1.6602455E+1,3.8625505E+3,2.3076992E+1
18553971,7/10/2021,4:38:37 PM,-9.1200226E+1,1.6945515E+1,3.8482612E+3,2.3076992E+1
18553972,7/10/2021,4:38:37 PM,-5.9594078E+1,2.1049484E+1,3.8509407E+3,2.3054897E+1
18553973,7/10/2021,4:38:37 PM,-2.5939386E+1,3.6802994E+1,3.8714814E+3,2.3032803E+1
18553974,7/10/2021,4:38:37 PM,4.4336777E+0,5.2422089E+1,3.8759468E+3,2.3032803E+1
18553975,7/10/2021,4:38:37 PM,3.3574879E+1,6.4411964E+1,3.8768396E+3,2.3054897E+1
18553976,7/10/2021,4:38:38 PM,6.6484642E+1,7.5218979E+1,3.8786260E+3,2.3054897E+1
18553977,7/10/2021,4:38:38 PM,1.0415662E+2,8.5461449E+1,3.8929150E+3,2.3010708E+1
18553978,7/10/2021,4:38:38 PM,1.3818376E+2,9.8284691E+1,3.8947014E+3,2.2944427E+1
18553979,7/10/2021,4:38:38 PM,1.5999947E+2,1.1336613E+2,3.9018457E+3,2.2922333E+1
18553980,7/10/2021,4:38:38 PM,1.8064455E+2,1.3006055E+2,3.9170283E+3,2.2856052E+1
18553981,7/10/2021,4:38:38 PM,2.0538788E+2,1.3653937E+2,3.9125627E+3,2.2811863E+1
18553982,7/10/2021,4:38:38 PM,2.1918655E+2,1.3602859E+2,3.9054182E+3,2.2789772E+1
18553983,7/10/2021,4:38:38 PM,2.2927020E+2,1.3694263E+2,3.9054182E+3,2.2723488E+1
18553984,7/10/2021,4:38:38 PM,2.3165843E+2,1.4248056E+2,3.9161353E+3,2.2723488E+1
18553985,7/10/2021,4:38:38 PM,2.2051334E+2,1.4871744E+2,3.9036321E+3,2.2657207E+1
18553986,7/10/2021,4:38:39 PM,2.0299965E+2,1.5253485E+2,3.9152419E+3,2.2635113E+1
18553987,7/10/2021,4:38:39 PM,1.8966348E+2,1.5221223E+2,3.9072046E+3,2.2590927E+1
18553988,7/10/2021,4:38:39 PM,1.6396353E+2,1.4987341E+2,3.9018457E+3,2.2502552E+1
18553989,7/10/2021,4:38:39 PM,1.3552332E+2,1.4686250E+2,3.9072046E+3,2.2436268E+1
18553990,7/10/2021,4:38:39 PM,1.0801427E+2,1.3737276E+2,3.8857708E+3,2.2193237E+1
18553991,7/10/2021,4:38:39 PM,8.3511520E+1,1.2702276E+2,3.8947014E+3,2.2104862E+1
18553992,7/10/2021,4:38:39 PM,7.3774277E+1,1.1167249E+2,3.8991667E+3,2.2016487E+1
18553993,7/10/2021,4:38:39 PM,5.0575153E+1,8.7423912E+1,3.8795193E+3,2.1839737E+1
18553994,7/10/2021,4:38:39 PM,3.6235329E+1,5.8470791E+1,3.8732676E+3,2.1795547E+1
18553995,7/10/2021,4:38:39 PM,4.0305817E+1,2.3522734E+1,3.8696953E+3,2.1552517E+1
18553996,7/10/2021,4:38:40 PM,2.1895504E+1,-5.8374345E-1,3.8616575E+3,2.1375767E+1
18553997,7/10/2021,4:38:40 PM,1.9025258E+0,-1.8445400E+1,3.8875566E+3,2.1331577E+1
18553998,7/10/2021,4:38:40 PM,-1.1516796E+1,-5.3336113E+1,3.8509407E+3,2.1221111E+1
