TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-27 15:09:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
9859960,27/9/2021,3:08:36 PM,-3.0117247E+1,-2.4787024E+1,3.8353271E+3,2.2944427E+1
9859961,27/9/2021,3:08:36 PM,-3.7859402E+1,-2.4249344E+1,3.8344343E+3,2.2922333E+1
9859962,27/9/2021,3:08:36 PM,-4.4377708E+1,-2.2152393E+1,3.8371130E+3,2.2922333E+1
9859963,27/9/2021,3:08:36 PM,-4.9219879E+1,-2.0861963E+1,3.8353271E+3,2.2900238E+1
9859964,27/9/2021,3:08:36 PM,-5.1907021E+1,-2.1318991E+1,3.8344343E+3,2.2878147E+1
9859965,27/9/2021,3:08:36 PM,-5.3742790E+1,-2.1318991E+1,3.8335410E+3,2.2878147E+1
9859966,27/9/2021,3:08:37 PM,-5.4141872E+1,-2.0915731E+1,3.8353271E+3,2.2900238E+1
9859967,27/9/2021,3:08:37 PM,-5.5791401E+1,-1.9150553E+1,3.8353271E+3,2.2900238E+1
9859968,27/9/2021,3:08:37 PM,-5.6084061E+1,-1.7969767E+1,3.8371130E+3,2.2878147E+1
9859969,27/9/2021,3:08:37 PM,-5.4248287E+1,-1.7134706E+1,3.8353271E+3,2.2856052E+1
9859970,27/9/2021,3:08:37 PM,-5.1215279E+1,-1.7060242E+1,3.8371130E+3,2.2878147E+1
9859971,27/9/2021,3:08:37 PM,-4.8554749E+1,-1.6041679E+1,3.8362202E+3,2.2944427E+1
9859972,27/9/2021,3:08:37 PM,-4.4989632E+1,-1.5610851E+1,3.8371130E+3,2.2966522E+1
9859973,27/9/2021,3:08:37 PM,-4.1025436E+1,-1.4818342E+1,3.8388992E+3,2.2966522E+1
9859974,27/9/2021,3:08:37 PM,-3.5917213E+1,-1.4355601E+1,3.8388992E+3,2.2966522E+1
9859975,27/9/2021,3:08:37 PM,-3.0729168E+1,-1.5432671E+1,3.8388992E+3,2.2988613E+1
9859976,27/9/2021,3:08:38 PM,-2.6259470E+1,-1.6581543E+1,3.8353271E+3,2.3010708E+1
9859977,27/9/2021,3:08:38 PM,-2.1204456E+1,-1.6791639E+1,3.8397920E+3,2.3010708E+1
9859978,27/9/2021,3:08:38 PM,-1.5859629E+1,-1.6023064E+1,3.8397920E+3,2.3054897E+1
9859979,27/9/2021,3:08:38 PM,-1.1880246E+1,-1.5203959E+1,3.8424707E+3,2.3099083E+1
9859980,27/9/2021,3:08:38 PM,-7.7324243E+0,-1.5804990E+1,3.8406851E+3,2.3121178E+1
9859981,27/9/2021,3:08:38 PM,-5.3208938E+0,-1.6669306E+1,3.8388992E+3,2.3187458E+1
9859982,27/9/2021,3:08:38 PM,-3.7475324E+0,-1.5366185E+1,3.8406851E+3,2.3187458E+1
9859983,27/9/2021,3:08:38 PM,-1.3392074E+0,-1.4980568E+1,3.8406851E+3,2.3143272E+1
9859984,27/9/2021,3:08:38 PM,1.5839236E-2,-1.4206673E+1,3.8424707E+3,2.3143272E+1
9859985,27/9/2021,3:08:38 PM,2.0964940E+0,-1.4012534E+1,3.8424707E+3,2.3121178E+1
9859986,27/9/2021,3:08:39 PM,4.4482131E+0,-1.4821001E+1,3.8406851E+3,2.3076992E+1
9859987,27/9/2021,3:08:39 PM,7.8140121E+0,-1.6597500E+1,3.8397920E+3,2.3076992E+1
9859988,27/9/2021,3:08:39 PM,1.0337972E+1,-1.5924664E+1,3.8424707E+3,2.3032803E+1
9859989,27/9/2021,3:08:39 PM,1.3093537E+1,-1.5804990E+1,3.8424707E+3,2.3032803E+1
9859990,27/9/2021,3:08:39 PM,1.6430744E+1,-1.6225180E+1,3.8424707E+3,2.3032803E+1
9859991,27/9/2021,3:08:39 PM,1.8944178E+1,-1.8608028E+1,3.8415779E+3,2.3076992E+1
