TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-09 01:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
19723960,9/10/2021,1:08:36 AM,-1.2058184E+1,-3.5511639E+1,3.8340166E+3,2.1839748E+1
19723961,9/10/2021,1:08:36 AM,-1.4368766E+1,-5.7044437E+1,3.8206233E+3,2.1839748E+1
19723962,9/10/2021,1:08:36 AM,-1.2213450E+1,-7.3335167E+1,3.8277664E+3,2.1839748E+1
19723963,9/10/2021,1:08:36 AM,-1.4060863E+1,-8.8254898E+1,3.8188376E+3,2.1839748E+1
19723964,9/10/2021,1:08:36 AM,-1.3500322E+1,-1.0384669E+2,3.8188376E+3,2.1839748E+1
19723965,9/10/2021,1:08:36 AM,-1.3860858E+1,-1.1451900E+2,3.8197305E+3,2.1795563E+1
19723966,9/10/2021,1:08:37 AM,-1.5521425E+1,-1.2699242E+2,3.8143733E+3,2.1795563E+1
19723967,9/10/2021,1:08:37 AM,-1.7179359E+1,-1.3537973E+2,3.8099087E+3,2.1817654E+1
19723968,9/10/2021,1:08:37 AM,-1.7700424E+1,-1.3970779E+2,3.8161589E+3,2.1839748E+1
19723969,9/10/2021,1:08:37 AM,-1.7992537E+1,-1.4188527E+2,3.8099087E+3,2.1839748E+1
19723970,9/10/2021,1:08:37 AM,-1.8321491E+1,-1.3830991E+2,3.8179446E+3,2.1861843E+1
19723971,9/10/2021,1:08:37 AM,-1.8013590E+1,-1.3368614E+2,3.8152661E+3,2.1861843E+1
19723972,9/10/2021,1:08:37 AM,-1.7632002E+1,-1.2546013E+2,3.8197305E+3,2.1883938E+1
19723973,9/10/2021,1:08:37 AM,-1.7463577E+1,-1.1704594E+2,3.8179446E+3,2.1906029E+1
19723974,9/10/2021,1:08:37 AM,-1.3931912E+1,-1.0908875E+2,3.8224092E+3,2.1928123E+1
19723975,9/10/2021,1:08:37 AM,-8.7712631E+0,-1.0242191E+2,3.8224092E+3,2.1994404E+1
19723976,9/10/2021,1:08:38 AM,-8.2975664E+0,-9.3389435E+1,3.8215164E+3,2.2016499E+1
19723977,9/10/2021,1:08:38 AM,-9.2212734E+0,-8.1964417E+1,3.8313381E+3,2.2082779E+1
19723978,9/10/2021,1:08:38 AM,-1.3752962E+1,-7.0082397E+1,3.8259807E+3,2.2126968E+1
19723979,9/10/2021,1:08:38 AM,-1.8353071E+1,-5.9705791E+1,3.8277664E+3,2.2149063E+1
19723980,9/10/2021,1:08:38 AM,-1.9089931E+1,-4.7313011E+1,3.8313381E+3,2.2259533E+1
19723981,9/10/2021,1:08:38 AM,-2.2054531E+1,-3.2662106E+1,3.8331238E+3,2.2281624E+1
19723982,9/10/2021,1:08:38 AM,-2.9689816E+1,-1.6399302E+1,3.8340166E+3,2.2347908E+1
19723983,9/10/2021,1:08:38 AM,-3.8043400E+1,-2.7242115E+0,3.8331238E+3,2.2436283E+1
19723984,9/10/2021,1:08:38 AM,-4.2911892E+1,1.5136181E+1,3.8366951E+3,2.2458374E+1
19723985,9/10/2021,1:08:38 AM,-4.6769440E+1,3.1909399E+1,3.8429453E+3,2.2590939E+1
19723986,9/10/2021,1:08:39 AM,-4.9296799E+1,4.5108654E+1,3.8402668E+3,2.2613033E+1
19723987,9/10/2021,1:08:39 AM,-5.4511139E+1,5.9329445E+1,3.8438381E+3,2.2635124E+1
19723988,9/10/2021,1:08:39 AM,-5.6772457E+1,7.4141640E+1,3.8500884E+3,2.2657219E+1
19723989,9/10/2021,1:08:39 AM,-5.9964912E+1,8.3577362E+1,3.8474097E+3,2.2679314E+1
19723990,9/10/2021,1:08:39 AM,-5.8182461E+1,9.0271072E+1,3.8509812E+3,2.2723499E+1
19723991,9/10/2021,1:08:39 AM,-5.6213779E+1,9.5593788E+1,3.8527668E+3,2.2723499E+1
19723992,9/10/2021,1:08:39 AM,-5.3367176E+1,9.7663727E+1,3.8518740E+3,2.2723499E+1
19723993,9/10/2021,1:08:39 AM,-4.8099628E+1,9.8497086E+1,3.8509812E+3,2.2723499E+1
19723994,9/10/2021,1:08:39 AM,-4.4321892E+1,9.8604614E+1,3.8563384E+3,2.2701408E+1
19723995,9/10/2021,1:08:39 AM,-3.5409626E+1,9.1050667E+1,3.8509812E+3,2.2657219E+1
19723996,9/10/2021,1:08:40 AM,-2.5140568E+1,8.2636475E+1,3.8491956E+3,2.2657219E+1
19723997,9/10/2021,1:08:40 AM,-1.8947823E+1,7.3765282E+1,3.8509812E+3,2.2635124E+1
19723998,9/10/2021,1:08:40 AM,-1.1116055E+1,6.2555328E+1,3.8438381E+3,2.2613033E+1
19723999,9/10/2021,1:08:40 AM,-3.7491672E+0,5.2904549E+1,3.8474097E+3,2.2568844E+1
19724000,9/10/2021,1:08:40 AM,6.0422502E+0,4.2796768E+1,3.8465166E+3,2.2414188E+1
19724001,9/10/2021,1:08:40 AM,1.4450346E+1,3.1129810E+1,3.8438381E+3,2.2392094E+1
19724002,9/10/2021,1:08:40 AM,1.7381994E+1,2.1452148E+1,3.8358022E+3,2.2369999E+1
19724003,9/10/2021,1:08:40 AM,1.9455729E+1,1.5096292E+1,3.8420525E+3,2.2325813E+1
19724004,9/10/2021,1:08:40 AM,2.1948116E+1,1.0761793E+1,3.8438381E+3,2.2281624E+1
19724005,9/10/2021,1:08:40 AM,2.9024719E+1,9.8414338E-1,3.8456238E+3,2.2149063E+1
19724006,9/10/2021,1:08:41 AM,3.6154533E+1,-1.1615396E+1,3.8402668E+3,2.2126968E+1
