TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 13:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9806021,27/9/2021,1:38:42 PM,1.02E+01,-1.25E+01,3.91E+03,0.00E+00,
9806022,27/9/2021,1:38:42 PM,1.04E+01,-9.92E+00,3.91E+03,0.00E+00,
9806023,27/9/2021,1:38:42 PM,9.12E+00,-5.15E+00,3.91E+03,0.00E+00,
9806024,27/9/2021,1:38:42 PM,6.87E+00,-9.63E-01,3.91E+03,0.00E+00,
9806025,27/9/2021,1:38:42 PM,5.76E+00,1.71E+00,3.91E+03,0.00E+00,
9806026,27/9/2021,1:38:43 PM,4.44E+00,5.24E+00,3.91E+03,0.00E+00,
9806027,27/9/2021,1:38:43 PM,1.87E+00,1.02E+01,3.91E+03,0.00E+00,
9806028,27/9/2021,1:38:43 PM,-1.04E+00,1.59E+01,3.92E+03,0.00E+00,
9806029,27/9/2021,1:38:43 PM,-5.40E+00,2.20E+01,3.92E+03,0.00E+00,
9806030,27/9/2021,1:38:43 PM,-9.97E+00,2.73E+01,3.91E+03,0.00E+00,
9806031,27/9/2021,1:38:43 PM,-1.23E+01,3.30E+01,3.92E+03,0.00E+00,
9806032,27/9/2021,1:38:43 PM,-1.54E+01,3.86E+01,3.92E+03,0.00E+00,
9806033,27/9/2021,1:38:43 PM,-1.62E+01,4.17E+01,3.92E+03,0.00E+00,
9806034,27/9/2021,1:38:43 PM,-1.69E+01,4.48E+01,3.92E+03,0.00E+00,
9806035,27/9/2021,1:38:43 PM,-1.64E+01,4.55E+01,3.92E+03,0.00E+00,
9806036,27/9/2021,1:38:44 PM,-1.26E+01,4.49E+01,3.92E+03,0.00E+00,
9806037,27/9/2021,1:38:44 PM,-7.81E+00,4.44E+01,3.92E+03,0.00E+00,
9806038,27/9/2021,1:38:44 PM,-4.36E+00,4.43E+01,3.92E+03,0.00E+00,
9806039,27/9/2021,1:38:44 PM,2.01E-02,4.20E+01,3.92E+03,0.00E+00,
9806040,27/9/2021,1:38:44 PM,5.84E+00,3.80E+01,3.92E+03,0.00E+00,
9806041,27/9/2021,1:38:44 PM,1.11E+01,3.49E+01,3.92E+03,0.00E+00,
9806042,27/9/2021,1:38:44 PM,1.50E+01,3.26E+01,3.92E+03,0.00E+00,
9806043,27/9/2021,1:38:44 PM,1.84E+01,3.07E+01,3.92E+03,0.00E+00,
9806044,27/9/2021,1:38:44 PM,2.05E+01,2.88E+01,3.92E+03,0.00E+00,
9806045,27/9/2021,1:38:44 PM,2.19E+01,2.74E+01,3.92E+03,0.00E+00,
9806046,27/9/2021,1:38:45 PM,2.31E+01,2.51E+01,3.92E+03,0.00E+00,
9806047,27/9/2021,1:38:45 PM,2.42E+01,2.33E+01,3.92E+03,0.00E+00,
9806048,27/9/2021,1:38:45 PM,2.43E+01,2.15E+01,3.92E+03,0.00E+00,
9806049,27/9/2021,1:38:45 PM,2.46E+01,1.92E+01,3.92E+03,0.00E+00,
9806050,27/9/2021,1:38:45 PM,2.49E+01,1.74E+01,3.92E+03,0.00E+00,
9806051,27/9/2021,1:38:45 PM,2.46E+01,1.56E+01,3.92E+03,0.00E+00,
9806052,27/9/2021,1:38:45 PM,2.57E+01,1.38E+01,3.92E+03,0.00E+00,
9806053,27/9/2021,1:38:45 PM,2.50E+01,1.35E+01,3.92E+03,0.00E+00,
9806054,27/9/2021,1:38:45 PM,2.17E+01,1.33E+01,3.92E+03,0.00E+00,
9806055,27/9/2021,1:38:45 PM,1.87E+01,1.14E+01,3.91E+03,0.00E+00,
9806056,27/9/2021,1:38:46 PM,1.57E+01,1.09E+01,3.91E+03,0.00E+00,
9806057,27/9/2021,1:38:46 PM,1.23E+01,1.17E+01,3.91E+03,0.00E+00,
9806058,27/9/2021,1:38:46 PM,8.86E+00,1.32E+01,3.92E+03,0.00E+00,
9806059,27/9/2021,1:38:46 PM,4.98E+00,1.36E+01,3.92E+03,0.00E+00,
9806060,27/9/2021,1:38:46 PM,1.69E+00,1.19E+01,3.91E+03,0.00E+00,
9806061,27/9/2021,1:38:46 PM,-2.57E+00,1.06E+01,3.91E+03,0.00E+00,
9806062,27/9/2021,1:38:46 PM,-5.14E+00,9.60E+00,3.91E+03,0.00E+00,
9806063,27/9/2021,1:38:46 PM,-8.06E+00,9.48E+00,3.91E+03,0.00E+00,
9806064,27/9/2021,1:38:46 PM,-1.12E+01,9.47E+00,3.91E+03,0.00E+00,
9806065,27/9/2021,1:38:46 PM,-1.60E+01,8.60E+00,3.91E+03,0.00E+00,
9806066,27/9/2021,1:38:47 PM,-1.93E+01,7.39E+00,3.91E+03,0.00E+00,
9806067,27/9/2021,1:38:47 PM,-2.02E+01,6.37E+00,3.91E+03,0.00E+00,
9806068,27/9/2021,1:38:47 PM,-2.02E+01,5.98E+00,3.91E+03,0.00E+00,
9806069,27/9/2021,1:38:47 PM,-1.98E+01,6.22E+00,3.91E+03,0.00E+00,
9806070,27/9/2021,1:38:47 PM,-1.97E+01,7.15E+00,3.91E+03,0.00E+00,
9806071,27/9/2021,1:38:47 PM,-2.01E+01,8.95E+00,3.91E+03,0.00E+00,
9806072,27/9/2021,1:38:47 PM,-1.79E+01,9.94E+00,3.91E+03,0.00E+00,
9806073,27/9/2021,1:38:47 PM,-1.50E+01,1.10E+01,3.91E+03,0.00E+00,
9806074,27/9/2021,1:38:47 PM,-1.28E+01,1.19E+01,3.91E+03,0.00E+00,
9806075,27/9/2021,1:38:47 PM,-1.07E+01,1.30E+01,3.91E+03,0.00E+00,
9806076,27/9/2021,1:38:48 PM,-8.45E+00,1.41E+01,3.91E+03,0.00E+00,
9806077,27/9/2021,1:38:48 PM,-4.42E+00,1.42E+01,3.91E+03,0.00E+00,
9806078,27/9/2021,1:38:48 PM,-2.04E+00,1.46E+01,3.91E+03,0.00E+00,
9806079,27/9/2021,1:38:48 PM,2.85E-01,1.55E+01,3.91E+03,0.00E+00,
9806080,27/9/2021,1:38:48 PM,2.77E+00,1.66E+01,3.92E+03,0.00E+00,
9806081,27/9/2021,1:38:48 PM,4.08E+00,1.77E+01,3.91E+03,0.00E+00,
9806082,27/9/2021,1:38:48 PM,4.94E+00,1.88E+01,3.91E+03,0.00E+00,
9806083,27/9/2021,1:38:48 PM,7.45E+00,2.12E+01,3.92E+03,0.00E+00,
9806084,27/9/2021,1:38:48 PM,8.13E+00,2.39E+01,3.92E+03,0.00E+00,
9806085,27/9/2021,1:38:48 PM,8.31E+00,2.66E+01,3.92E+03,0.00E+00,
9806086,27/9/2021,1:38:49 PM,8.38E+00,3.00E+01,3.92E+03,0.00E+00,
9806087,27/9/2021,1:38:49 PM,6.88E+00,3.33E+01,3.92E+03,0.00E+00,
9806088,27/9/2021,1:38:49 PM,5.82E+00,3.41E+01,3.92E+03,0.00E+00,
9806089,27/9/2021,1:38:49 PM,8.62E+00,3.38E+01,3.92E+03,0.00E+00,
9806090,27/9/2021,1:38:49 PM,1.08E+01,3.43E+01,3.92E+03,0.00E+00,
9806091,27/9/2021,1:38:49 PM,1.35E+01,3.40E+01,3.92E+03,0.00E+00,
9806092,27/9/2021,1:38:49 PM,1.54E+01,3.16E+01,3.92E+03,0.00E+00,
9806093,27/9/2021,1:38:49 PM,1.91E+01,2.89E+01,3.92E+03,0.00E+00,
9806094,27/9/2021,1:38:49 PM,2.14E+01,2.76E+01,3.92E+03,0.00E+00,
9806095,27/9/2021,1:38:49 PM,2.25E+01,2.56E+01,3.92E+03,0.00E+00,
9806096,27/9/2021,1:38:50 PM,2.30E+01,2.37E+01,3.92E+03,0.00E+00,
9806097,27/9/2021,1:38:50 PM,2.24E+01,2.21E+01,3.91E+03,0.00E+00,
9806098,27/9/2021,1:38:50 PM,1.97E+01,2.16E+01,3.92E+03,0.00E+00,
9806099,27/9/2021,1:38:50 PM,1.74E+01,2.23E+01,3.91E+03,0.00E+00,
9806100,27/9/2021,1:38:50 PM,1.45E+01,2.26E+01,3.92E+03,0.00E+00,
9806101,27/9/2021,1:38:50 PM,1.42E+01,2.39E+01,3.92E+03,0.00E+00,
9806102,27/9/2021,1:38:50 PM,1.24E+01,2.46E+01,3.92E+03,0.00E+00,
