TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-29 17:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
11677960,29/9/2021,5:38:36 PM,-2.1576338E+1,8.1112003E+0,3.8584104E+3,2.3143284E+1
11677961,29/9/2021,5:38:36 PM,-2.0858013E+1,1.1270579E+1,3.8601963E+3,2.3143284E+1
11677962,29/9/2021,5:38:36 PM,-2.0007303E+1,1.4953863E+1,3.8610891E+3,2.3165379E+1
11677963,29/9/2021,5:38:36 PM,-1.8946669E+1,1.6400581E+1,3.8584104E+3,2.3165379E+1
11677964,29/9/2021,5:38:36 PM,-1.6733284E+1,1.9528048E+1,3.8637681E+3,2.3165379E+1
11677965,29/9/2021,5:38:36 PM,-1.4133019E+1,2.0834507E+1,3.8619819E+3,2.3143284E+1
11677966,29/9/2021,5:38:37 PM,-1.1427481E+1,2.1130222E+1,3.8646609E+3,2.3121189E+1
11677967,29/9/2021,5:38:37 PM,-1.0045761E+1,2.1318405E+1,3.8628752E+3,2.3143284E+1
11677968,29/9/2021,5:38:37 PM,-8.4087515E+0,1.9692930E+1,3.8619819E+3,2.3187469E+1
11677969,29/9/2021,5:38:37 PM,-6.0479846E+0,1.8097284E+1,3.8619819E+3,2.3209564E+1
11677970,29/9/2021,5:38:37 PM,-4.4897995E+0,1.6392603E+1,3.8610891E+3,2.3187469E+1
11677971,29/9/2021,5:38:37 PM,-1.4972209E+0,1.3892758E+1,3.8619819E+3,2.3209564E+1
11677972,29/9/2021,5:38:37 PM,-9.2140734E-1,1.1786505E+1,3.8601963E+3,2.3187469E+1
11677973,29/9/2021,5:38:37 PM,-7.1811688E-1,9.0499725E+0,3.8601963E+3,2.3143284E+1
11677974,29/9/2021,5:38:37 PM,1.1295841E+0,5.7975140E+0,3.8601963E+3,2.3143284E+1
11677975,29/9/2021,5:38:37 PM,1.4323918E+0,4.0458117E+0,3.8610891E+3,2.3121189E+1
11677976,29/9/2021,5:38:38 PM,3.0748467E+0,1.7149245E+0,3.8619819E+3,2.3077003E+1
11677977,29/9/2021,5:38:38 PM,2.3249614E+0,-2.0209033E+0,3.8584104E+3,2.3077003E+1
11677978,29/9/2021,5:38:38 PM,2.1949601E+0,-6.4331126E+0,3.8584104E+3,2.3032814E+1
11677979,29/9/2021,5:38:38 PM,2.9266136E+0,-8.9223204E+0,3.8601963E+3,2.3032814E+1
11677980,29/9/2021,5:38:38 PM,1.3499520E+0,-1.1249304E+1,3.8584104E+3,2.3032814E+1
11677981,29/9/2021,5:38:38 PM,6.3442463E-1,-1.3898077E+1,3.8584104E+3,2.3032814E+1
11677982,29/9/2021,5:38:38 PM,-1.5046133E+0,-1.7185108E+1,3.8557314E+3,2.3010719E+1
11677983,29/9/2021,5:38:38 PM,-4.2242479E+0,-1.9312635E+1,3.8566243E+3,2.2944439E+1
11677984,29/9/2021,5:38:38 PM,-6.3401203E+0,-2.1130222E+1,3.8539453E+3,2.2922344E+1
11677985,29/9/2021,5:38:38 PM,-9.9036407E+0,-2.2151785E+1,3.8557314E+3,2.2944439E+1
11677986,29/9/2021,5:38:39 PM,-1.4033009E+1,-2.1963602E+1,3.8539453E+3,2.2944439E+1
11677987,29/9/2021,5:38:39 PM,-1.8301865E+1,-2.2366852E+1,3.8539453E+3,2.2944439E+1
11677988,29/9/2021,5:38:39 PM,-2.2773546E+1,-2.2259317E+1,3.8521597E+3,2.2944439E+1
11677989,29/9/2021,5:38:39 PM,-2.5460611E+1,-2.1479704E+1,3.8539453E+3,2.2944439E+1
11677990,29/9/2021,5:38:39 PM,-2.8812792E+1,-1.9509432E+1,3.8539453E+3,2.2900253E+1
11677991,29/9/2021,5:38:39 PM,-3.1606277E+1,-1.7342012E+1,3.8530525E+3,2.2878159E+1
11677992,29/9/2021,5:38:39 PM,-3.3441994E+1,-1.4964499E+1,3.8548386E+3,2.2900253E+1
11677993,29/9/2021,5:38:39 PM,-3.5783199E+1,-1.2871544E+1,3.8530525E+3,2.2900253E+1
11677994,29/9/2021,5:38:39 PM,-3.7432686E+1,-1.0515307E+1,3.8548386E+3,2.2900253E+1
11677995,29/9/2021,5:38:39 PM,-3.8842731E+1,-7.9569545E+0,3.8548386E+3,2.2900253E+1
11677996,29/9/2021,5:38:40 PM,-4.0332588E+1,-3.9753246E+0,3.8566243E+3,2.2900253E+1
11677997,29/9/2021,5:38:40 PM,-4.2514168E+1,-8.5369125E-2,3.8566243E+3,2.2900253E+1
11677998,29/9/2021,5:38:40 PM,-4.3950817E+1,2.7089558E+0,3.8557314E+3,2.2922344E+1
