TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-07 16:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
18535960,7/10/2021,4:08:36 PM,4.4782219E+0,4.2017609E+1,3.8769358E+3,2.3187458E+1
18535961,7/10/2021,4:08:36 PM,1.8095919E+1,5.1991077E+1,3.8858667E+3,2.3231647E+1
18535962,7/10/2021,4:08:36 PM,2.7295753E+1,6.0647293E+1,3.8876531E+3,2.3209553E+1
18535963,7/10/2021,4:08:36 PM,3.9852863E+1,6.9760521E+1,3.9019426E+3,2.3253742E+1
18535964,7/10/2021,4:08:36 PM,5.0361462E+1,6.9868050E+1,3.8912256E+3,2.3320023E+1
18535965,7/10/2021,4:08:36 PM,5.7278519E+1,6.5996941E+1,3.8796152E+3,2.3408398E+1
18535966,7/10/2021,4:08:37 PM,5.7464741E+1,6.7609901E+1,3.8965842E+3,2.3408398E+1
18535967,7/10/2021,4:08:37 PM,5.6719830E+1,6.7878731E+1,3.8858667E+3,2.3297928E+1
18535968,7/10/2021,4:08:37 PM,4.7328602E+1,7.0567001E+1,3.8903323E+3,2.3231647E+1
18535969,7/10/2021,4:08:37 PM,4.1954582E+1,6.6669014E+1,3.8849736E+3,2.3165367E+1
18535970,7/10/2021,4:08:37 PM,3.5543007E+1,6.2287136E+1,3.8769358E+3,2.2944427E+1
18535971,7/10/2021,4:08:37 PM,2.5300449E+1,6.1749485E+1,3.8733635E+3,2.2878147E+1
18535972,7/10/2021,4:08:37 PM,1.1058617E+1,6.7287315E+1,3.8858667E+3,2.2767677E+1
18535973,7/10/2021,4:08:37 PM,1.2279634E+0,6.7314194E+1,3.8769358E+3,2.2568832E+1
18535974,7/10/2021,4:08:37 PM,-3.2566004E+0,6.0405350E+1,3.8706843E+3,2.2524647E+1
18535975,7/10/2021,4:08:37 PM,-3.4817400E+0,5.5405178E+1,3.8715774E+3,2.2369987E+1
18535976,7/10/2021,4:08:38 PM,2.5161755E+0,5.3872860E+1,3.8733635E+3,2.2325802E+1
18535977,7/10/2021,4:08:38 PM,1.0800705E+1,5.6964371E+1,3.8840808E+3,2.2193237E+1
18535978,7/10/2021,4:08:38 PM,1.1311264E+1,6.1857018E+1,3.8903323E+3,2.2082767E+1
