TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-08 16:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
19417960,8/10/2021,4:38:36 PM,5.0309406E+1,6.2987526E+1,3.8787671E+3,2.2657219E+1
19417961,8/10/2021,4:38:36 PM,5.3315731E+1,6.4869354E+1,3.8796602E+3,2.2657219E+1
19417962,8/10/2021,4:38:36 PM,5.7226616E+1,6.3283245E+1,3.8769807E+3,2.2657219E+1
19417963,8/10/2021,4:38:36 PM,6.5128204E+1,5.8336720E+1,3.8769807E+3,2.2635124E+1
19417964,8/10/2021,4:38:36 PM,7.3082993E+1,5.6159176E+1,3.8778740E+3,2.2635124E+1
19417965,8/10/2021,4:38:36 PM,7.9601135E+1,5.2234219E+1,3.8832327E+3,2.2657219E+1
19417966,8/10/2021,4:38:37 PM,8.7236671E+1,4.2851948E+1,3.8751948E+3,2.2679314E+1
19417967,8/10/2021,4:38:37 PM,8.7316483E+1,4.1319607E+1,3.8805532E+3,2.2635124E+1
19417968,8/10/2021,4:38:37 PM,8.2368019E+1,3.9249592E+1,3.8769807E+3,2.2568844E+1
19417969,8/10/2021,4:38:37 PM,7.6514992E+1,3.7340878E+1,3.8805532E+3,2.2546749E+1
19417970,8/10/2021,4:38:37 PM,6.8506989E+1,3.7179577E+1,3.8814463E+3,2.2480469E+1
19417971,8/10/2021,4:38:37 PM,5.7439457E+1,3.3684753E+1,3.8778740E+3,2.2436283E+1
19417972,8/10/2021,4:38:37 PM,4.1583076E+1,3.1587856E+1,3.8814463E+3,2.2325813E+1
19417973,8/10/2021,4:38:37 PM,2.4236843E+1,2.4490669E+1,3.8707290E+3,2.2193249E+1
19417974,8/10/2021,4:38:37 PM,7.0693183E+0,1.6475458E+1,3.8716221E+3,2.2193249E+1
19417975,8/10/2021,4:38:37 PM,-8.6168833E+0,7.1805868E+0,3.8707290E+3,2.2215343E+1
19417976,8/10/2021,4:38:38 PM,-2.0065704E+1,-7.9997058E+0,3.8662634E+3,2.2193249E+1
19417977,8/10/2021,4:38:38 PM,-3.1712749E+1,-2.5834833E+1,3.8591187E+3,2.2237438E+1
19417978,8/10/2021,4:38:38 PM,-4.4163731E+1,-4.5620930E+1,3.8501877E+3,2.2303719E+1
19417979,8/10/2021,4:38:38 PM,-5.3049683E+1,-6.6428589E+1,3.8457222E+3,2.2325813E+1
19417980,8/10/2021,4:38:38 PM,-5.9780666E+1,-8.3203758E+1,3.8430427E+3,2.2414188E+1
19417981,8/10/2021,4:38:38 PM,-6.6006157E+1,-9.9844513E+1,3.8367908E+3,2.2480469E+1
19417982,8/10/2021,4:38:38 PM,-7.2604111E+1,-1.1290979E+2,3.8332185E+3,2.2568844E+1
19417983,8/10/2021,4:38:38 PM,-7.7738808E+1,-1.2293725E+2,3.8287529E+3,2.2723499E+1
19417984,8/10/2021,4:38:38 PM,-8.1835922E+1,-1.2653961E+2,3.8305393E+3,2.2723499E+1
19417985,8/10/2021,4:38:38 PM,-8.3937691E+1,-1.2476530E+2,3.8323254E+3,2.2679314E+1
19417986,8/10/2021,4:38:39 PM,-8.7582535E+1,-1.1737241E+2,3.8376841E+3,2.2679314E+1
19417987,8/10/2021,4:38:39 PM,-8.9684296E+1,-1.0745248E+2,3.8403635E+3,2.2679314E+1
19417988,8/10/2021,4:38:39 PM,-9.0748482E+1,-9.6457214E+1,3.8403635E+3,2.2679314E+1
19417989,8/10/2021,4:38:39 PM,-9.1679642E+1,-8.6241570E+1,3.8412563E+3,2.2679314E+1
19417990,8/10/2021,4:38:39 PM,-9.1466812E+1,-7.6079689E+1,3.8466150E+3,2.2745594E+1
19417991,8/10/2021,4:38:39 PM,-8.5826622E+1,-6.7396393E+1,3.8510806E+3,2.2767689E+1
