TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-10-02 21:09:10,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
14395960,2/10/2021,9:08:36 PM,-5.5428505E+1,1.7137472E+1,3.8452546E+3,2.2723488E+1
14395961,2/10/2021,9:08:36 PM,-7.0668686E+1,2.4161272E+1,3.8291846E+3,2.2789772E+1
14395962,2/10/2021,9:08:36 PM,-8.6307823E+1,3.2815254E+1,3.8291846E+3,2.2811863E+1
14395963,2/10/2021,9:08:36 PM,-1.1037827E+2,5.4933971E+1,3.8398979E+3,2.2833958E+1
14395964,2/10/2021,9:08:36 PM,-1.3133684E+2,7.0844398E+1,3.8470403E+3,2.2900238E+1
14395965,2/10/2021,9:08:36 PM,-1.3359760E+2,7.5708900E+1,3.8398979E+3,2.2922333E+1
14395966,2/10/2021,9:08:37 PM,-1.3966176E+2,8.0815285E+1,3.8434690E+3,2.2988613E+1
14395967,2/10/2021,9:08:37 PM,-1.4056606E+2,7.9901512E+1,3.8398979E+3,2.3032803E+1
14395968,2/10/2021,9:08:37 PM,-1.3609773E+2,7.5950783E+1,3.8309702E+3,2.3054897E+1
14395969,2/10/2021,9:08:37 PM,-1.2351727E+2,7.6676430E+1,3.8523972E+3,2.3099083E+1
14395970,2/10/2021,9:08:37 PM,-1.0040433E+2,6.8559959E+1,3.8470403E+3,2.3099083E+1
14395971,2/10/2021,9:08:37 PM,-7.2397507E+1,4.7596897E+1,3.8345413E+3,2.3076992E+1
14395972,2/10/2021,9:08:37 PM,-5.1492126E+1,3.1363964E+1,3.8327556E+3,2.3076992E+1
14395973,2/10/2021,9:08:37 PM,-3.6890278E+1,2.7628241E+1,3.8416836E+3,2.3032803E+1
14395974,2/10/2021,9:08:37 PM,-2.2128847E+1,2.1419947E+1,3.8398979E+3,2.2944427E+1
14395975,2/10/2021,9:08:37 PM,-4.7151327E+0,1.3973713E+1,3.8452546E+3,2.2922333E+1
14395976,2/10/2021,9:08:38 PM,6.9986372E+0,1.0153275E+1,3.8461475E+3,2.2966522E+1
14395977,2/10/2021,9:08:38 PM,1.7522903E+1,3.0551813E+0,3.8381123E+3,2.2988613E+1
14395978,2/10/2021,9:08:38 PM,2.4974745E+1,-4.3561950E+0,3.8398979E+3,2.3010708E+1
14395979,2/10/2021,9:08:38 PM,3.1092094E+1,-6.9257083E+0,3.8488257E+3,2.3054897E+1
14395980,2/10/2021,9:08:38 PM,4.0268120E+1,-1.6129856E+1,3.8452546E+3,2.3076992E+1
14395981,2/10/2021,9:08:38 PM,5.1651711E+1,-2.9670794E+1,3.8398979E+3,2.3121178E+1
14395982,2/10/2021,9:08:38 PM,5.4816776E+1,-4.1388607E+1,3.8398979E+3,2.3165367E+1
14395983,2/10/2021,9:08:38 PM,5.6146629E+1,-5.1493874E+1,3.8345413E+3,2.3143272E+1
14395984,2/10/2021,9:08:38 PM,5.2316639E+1,-5.5552109E+1,3.8381123E+3,2.3143272E+1
14395985,2/10/2021,9:08:38 PM,5.3114552E+1,-6.6356148E+1,3.8327556E+3,2.3165367E+1
14395986,2/10/2021,9:08:39 PM,5.5242329E+1,-7.7858955E+1,3.8327556E+3,2.3165367E+1
14395987,2/10/2021,9:08:39 PM,5.8008430E+1,-8.8958633E+1,3.8238276E+3,2.3165367E+1
14395988,2/10/2021,9:08:39 PM,5.5534897E+1,-9.6080696E+1,3.8202566E+3,2.3187458E+1
14395989,2/10/2021,9:08:39 PM,4.9603725E+1,-9.5570053E+1,3.8273987E+3,2.3209553E+1
14395990,2/10/2021,9:08:39 PM,4.1970337E+1,-9.1511826E+1,3.8309702E+3,2.3209553E+1
14395991,2/10/2021,9:08:39 PM,3.7236038E+1,-9.1431198E+1,3.8211492E+3,2.3275833E+1
14395992,2/10/2021,9:08:39 PM,2.6464188E+1,-8.2696587E+1,3.8273987E+3,2.3320023E+1
14395993,2/10/2021,9:08:39 PM,1.3657867E+1,-7.0414383E+1,3.8265059E+3,2.3297928E+1
14395994,2/10/2021,9:08:39 PM,-2.8658435E+0,-5.4933971E+1,3.8291846E+3,2.3297928E+1
14395995,2/10/2021,9:08:39 PM,-1.7299263E+1,-4.0582336E+1,3.8327556E+3,2.3320023E+1
14395996,2/10/2021,9:08:40 PM,-3.0347374E+1,-2.7036974E+1,3.8363269E+3,2.3342117E+1
14395997,2/10/2021,9:08:40 PM,-3.4975281E+1,-1.9689749E+1,3.8381123E+3,2.3364208E+1
14395998,2/10/2021,9:08:40 PM,-4.2582073E+1,-1.3346279E+1,3.8327556E+3,2.3364208E+1
14395999,2/10/2021,9:08:40 PM,-5.1784695E+1,-6.1839533E+0,3.8381123E+3,2.3386303E+1
14396000,2/10/2021,9:08:40 PM,-5.9551071E+1,9.6099144E-1,3.8381123E+3,2.3386303E+1
14396001,2/10/2021,9:08:40 PM,-6.4045990E+1,4.4850955E+0,3.8381123E+3,2.3364208E+1
14396002,2/10/2021,9:08:40 PM,-6.4125786E+1,5.9207492E+0,3.8345413E+3,2.3342117E+1
14396003,2/10/2021,9:08:40 PM,-6.4338562E+1,6.3222013E+0,3.8345413E+3,2.3342117E+1
14396004,2/10/2021,9:08:40 PM,-6.7344040E+1,9.2998571E+0,3.8327556E+3,2.3342117E+1
14396005,2/10/2021,9:08:40 PM,-7.0269730E+1,1.4670273E+1,3.8354341E+3,2.3342117E+1
14396006,2/10/2021,9:08:41 PM,-7.1067642E+1,1.8687449E+1,3.8381123E+3,2.3297928E+1
14396007,2/10/2021,9:08:41 PM,-6.7104668E+1,1.9612648E+1,3.8363269E+3,2.3297928E+1
14396008,2/10/2021,9:08:41 PM,-6.3540646E+1,1.9681772E+1,3.8327556E+3,2.3297928E+1
14396009,2/10/2021,9:08:41 PM,-6.2875713E+1,2.3408752E+1,3.8381123E+3,2.3275833E+1
14396010,2/10/2021,9:08:41 PM,-6.0003220E+1,2.6150074E+1,3.8398979E+3,2.3253742E+1
14396011,2/10/2021,9:08:41 PM,-5.5401913E+1,2.5988819E+1,3.8390051E+3,2.3231647E+1
14396012,2/10/2021,9:08:41 PM,-4.7582340E+1,2.3301249E+1,3.8416836E+3,2.3209553E+1
14396013,2/10/2021,9:08:41 PM,-3.7342430E+1,1.7376749E+1,3.8363269E+3,2.3187458E+1
14396014,2/10/2021,9:08:41 PM,-2.9017515E+1,1.3080417E+1,3.8434690E+3,2.3099083E+1
14396015,2/10/2021,9:08:41 PM,-2.1623501E+1,9.2520018E+0,3.8416836E+3,2.3076992E+1
14396016,2/10/2021,9:08:42 PM,-1.6215263E+1,3.6076119E+0,3.8416836E+3,2.2988613E+1
14396017,2/10/2021,9:08:42 PM,-9.4192190E+0,-3.1512561E+0,3.8416836E+3,2.2900238E+1
14396018,2/10/2021,9:08:42 PM,-4.3657169E+0,-1.1804277E+1,3.8381123E+3,2.2900238E+1
14396019,2/10/2021,9:08:42 PM,-1.2154415E+0,-1.9474400E+1,3.8390051E+3,2.2856052E+1
14396020,2/10/2021,9:08:42 PM,-2.1662197E+0,-2.5773813E+1,3.8372195E+3,2.2811863E+1
14396021,2/10/2021,9:08:42 PM,-5.7041526E+0,-3.0342686E+1,3.8381123E+3,2.2833958E+1
14396022,2/10/2021,9:08:42 PM,-5.8725410E+0,-3.8029144E+1,3.8345413E+3,2.2833958E+1
14396023,2/10/2021,9:08:42 PM,-1.4365747E+0,-4.8725677E+1,3.8291846E+3,2.2833958E+1
14396024,2/10/2021,9:08:42 PM,3.6439080E+0,-5.7997803E+1,3.8273987E+3,2.2856052E+1
14396025,2/10/2021,9:08:42 PM,9.2455683E+0,-6.5119865E+1,3.8256133E+3,2.2856052E+1
14396026,2/10/2021,9:08:43 PM,1.5212827E+1,-7.0280006E+1,3.8282915E+3,2.2856052E+1
14396027,2/10/2021,9:08:43 PM,2.5799257E+1,-7.6004532E+1,3.8256133E+3,2.2878147E+1
14396028,2/10/2021,9:08:43 PM,3.6544514E+1,-8.2723465E+1,3.8256133E+3,2.2878147E+1
14396029,2/10/2021,9:08:43 PM,4.8991989E+1,-8.7023575E+1,3.8238276E+3,2.2900238E+1
14396030,2/10/2021,9:08:43 PM,5.8965935E+1,-8.4739143E+1,3.8291846E+3,2.2900238E+1
14396031,2/10/2021,9:08:43 PM,6.2716129E+1,-7.7133308E+1,3.8345413E+3,2.2856052E+1
14396032,2/10/2021,9:08:43 PM,6.3327866E+1,-7.0763763E+1,3.8354341E+3,2.2811863E+1
14396033,2/10/2021,9:08:43 PM,6.3540646E+1,-6.4851105E+1,3.8309702E+3,2.2856052E+1
14396034,2/10/2021,9:08:43 PM,6.0322388E+1,-5.5793995E+1,3.8363269E+3,2.2944427E+1
14396035,2/10/2021,9:08:43 PM,5.3274136E+1,-4.4049305E+1,3.8363269E+3,2.2944427E+1
14396036,2/10/2021,9:08:44 PM,4.0454300E+1,-2.8085125E+1,3.8443618E+3,2.2944427E+1
14396037,2/10/2021,9:08:44 PM,2.3485304E+1,-1.4675590E+1,3.8407908E+3,2.2944427E+1
14396038,2/10/2021,9:08:44 PM,5.1753082E+0,-3.0511780E+0,3.8381123E+3,2.2944427E+1
14396039,2/10/2021,9:08:44 PM,-6.5960841E+0,8.6139326E+0,3.8416836E+3,2.2922333E+1
14396040,2/10/2021,9:08:44 PM,-1.8556913E+1,2.1178066E+1,3.8443618E+3,2.2922333E+1
