TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-30 07:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
12181960,30/9/2021,7:38:36 AM,1.5824824E+1,-4.8191166E+0,3.8416836E+3,2.1906029E+1
12181961,30/9/2021,7:38:36 AM,1.4811931E+1,-2.6008821E+0,3.8425762E+3,2.1950218E+1
12181962,30/9/2021,7:38:36 AM,1.3859548E+1,9.4381571E-2,3.8452546E+3,2.1950218E+1
12181963,30/9/2021,7:38:36 AM,1.1076061E+1,1.8708099E+0,3.8434690E+3,2.1950218E+1
12181964,30/9/2021,7:38:36 AM,6.8824172E+0,2.9627161E+0,3.8425762E+3,2.1950218E+1
12181965,30/9/2021,7:38:36 AM,2.6840446E+0,2.8082161E+0,3.8416836E+3,2.1950218E+1
12181966,30/9/2021,7:38:37 AM,-1.4261166E+0,1.9020302E+0,3.8390051E+3,2.1906029E+1
12181967,30/9/2021,7:38:37 AM,-3.0167775E+0,1.8083696E+0,3.8425762E+3,2.1906029E+1
12181968,30/9/2021,7:38:37 AM,-6.3141441E+0,1.6610743E+0,3.8398979E+3,2.1883938E+1
12181969,30/9/2021,7:38:37 AM,-8.1952333E+0,-5.3589534E-2,3.8407908E+3,2.1861843E+1
12181970,30/9/2021,7:38:37 AM,-9.8947906E+0,-2.1581957E+0,3.8381123E+3,2.1861843E+1
12181971,30/9/2021,7:38:37 AM,-9.5817137E+0,-4.3187933E+0,3.8398979E+3,2.1883938E+1
12181972,30/9/2021,7:38:37 AM,-9.0397501E+0,-4.9848242E+0,3.8407908E+3,2.1883938E+1
12181973,30/9/2021,7:38:37 AM,-9.7869234E+0,-7.0129809E+0,3.8398979E+3,2.1839748E+1
12181974,30/9/2021,7:38:37 AM,-1.1717999E+1,-7.7865891E+0,3.8416836E+3,2.1773468E+1
12181975,30/9/2021,7:38:37 AM,-1.2683537E+1,-1.0235019E+1,3.8390051E+3,2.1795563E+1
12181976,30/9/2021,7:38:38 AM,-1.3357047E+1,-1.3366668E+1,3.8390051E+3,2.1795563E+1
12181977,30/9/2021,7:38:38 AM,-1.5640661E+1,-1.5280749E+1,3.8381123E+3,2.1795563E+1
12181978,30/9/2021,7:38:38 AM,-1.7892706E+1,-1.7851467E+1,3.8381123E+3,2.1861843E+1
12181979,30/9/2021,7:38:38 AM,-2.2632879E+1,-1.8864334E+1,3.8381123E+3,2.1906029E+1
12181980,30/9/2021,7:38:38 AM,-2.8324345E+1,-2.1203712E+1,3.8345413E+3,2.1883938E+1
12181981,30/9/2021,7:38:38 AM,-3.2047733E+1,-2.2843035E+1,3.8363269E+3,2.1861843E+1
12181982,30/9/2021,7:38:38 AM,-3.5797718E+1,-2.4455484E+1,3.8327556E+3,2.1861843E+1
12181983,30/9/2021,7:38:38 AM,-4.0691311E+1,-2.5181087E+1,3.8327556E+3,2.1883938E+1
12181984,30/9/2021,7:38:38 AM,-4.4228531E+1,-2.5611073E+1,3.8327556E+3,2.1906029E+1
12181985,30/9/2021,7:38:38 AM,-4.9095531E+1,-2.5342331E+1,3.8309702E+3,2.1883938E+1
12181986,30/9/2021,7:38:39 AM,-5.0638077E+1,-2.4751101E+1,3.8345413E+3,2.1861843E+1
12181987,30/9/2021,7:38:39 AM,-5.1781689E+1,-2.5207962E+1,3.8318628E+3,2.1861843E+1
12181988,30/9/2021,7:38:39 AM,-4.9787014E+1,-2.6524796E+1,3.8327556E+3,2.1839748E+1
12181989,30/9/2021,7:38:39 AM,-4.7473198E+1,-2.5960440E+1,3.8327556E+3,2.1817654E+1
