TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-30 03:09:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
12019960,30/9/2021,3:08:36 AM,2.5596367E-2,-2.4251273E+0,3.8354341E+3,2.1795563E+1
12019961,30/9/2021,3:08:36 AM,-4.3935156E+0,-6.7876534E+0,3.8363269E+3,2.1773468E+1
12019962,30/9/2021,3:08:36 AM,-9.3800201E+0,-1.1541404E+1,3.8327556E+3,2.1729279E+1
12019963,30/9/2021,3:08:36 AM,-1.3976624E+1,-1.5226358E+1,3.8345413E+3,2.1729279E+1
12019964,30/9/2021,3:08:36 AM,-1.7205036E+1,-1.8496555E+1,3.8354341E+3,2.1707188E+1
12019965,30/9/2021,3:08:36 AM,-2.2581064E+1,-2.2226282E+1,3.8336484E+3,2.1685093E+1
12019966,30/9/2021,3:08:37 AM,-2.7262180E+1,-2.6338280E+1,3.8327556E+3,2.1662998E+1
12019967,30/9/2021,3:08:37 AM,-3.3326351E+1,-3.0826536E+1,3.8291846E+3,2.1574623E+1
12019968,30/9/2021,3:08:37 AM,-3.8034065E+1,-3.3540993E+1,3.8309702E+3,2.1574623E+1
12019969,30/9/2021,3:08:37 AM,-4.1119347E+1,-3.5852310E+1,3.8291846E+3,2.1552528E+1
12019970,30/9/2021,3:08:37 AM,-4.5481297E+1,-3.8916149E+1,3.8291846E+3,2.1530434E+1
12019971,30/9/2021,3:08:37 AM,-4.9364491E+1,-4.1603733E+1,3.8273987E+3,2.1530434E+1
12019972,30/9/2021,3:08:37 AM,-5.2928524E+1,-4.3700043E+1,3.8256133E+3,2.1530434E+1
12019973,30/9/2021,3:08:37 AM,-5.6173389E+1,-4.5097584E+1,3.8256133E+3,2.1530434E+1
12019974,30/9/2021,3:08:37 AM,-5.7583042E+1,-4.6118866E+1,3.8256133E+3,2.1552528E+1
12019975,30/9/2021,3:08:37 AM,-5.7636234E+1,-4.6844509E+1,3.8256133E+3,2.1552528E+1
12019976,30/9/2021,3:08:38 AM,-5.8700130E+1,-4.6575752E+1,3.8256133E+3,2.1574623E+1
12019977,30/9/2021,3:08:38 AM,-5.9232071E+1,-4.6575752E+1,3.8256133E+3,2.1596718E+1
12019978,30/9/2021,3:08:38 AM,-5.9498043E+1,-4.5608223E+1,3.8256133E+3,2.1596718E+1
12019979,30/9/2021,3:08:38 AM,-5.8567139E+1,-4.3323784E+1,3.8273987E+3,2.1618809E+1
12019980,30/9/2021,3:08:38 AM,-5.6013805E+1,-3.9776176E+1,3.8291846E+3,2.1640903E+1
12019981,30/9/2021,3:08:38 AM,-5.4072208E+1,-3.7303604E+1,3.8300774E+3,2.1662998E+1
12019982,30/9/2021,3:08:38 AM,-5.2955120E+1,-3.5879185E+1,3.8282915E+3,2.1707188E+1
12019983,30/9/2021,3:08:38 AM,-5.0561367E+1,-3.4293514E+1,3.8309702E+3,2.1707188E+1
12019984,30/9/2021,3:08:38 AM,-4.7582478E+1,-3.1471556E+1,3.8318628E+3,2.1729279E+1
12019985,30/9/2021,3:08:38 AM,-4.5720669E+1,-2.9912760E+1,3.8327556E+3,2.1729279E+1
12019986,30/9/2021,3:08:39 AM,-4.4337612E+1,-2.9724630E+1,3.8291846E+3,2.1751373E+1
12019987,30/9/2021,3:08:39 AM,-4.1252331E+1,-2.9106487E+1,3.8300774E+3,2.1751373E+1
12019988,30/9/2021,3:08:39 AM,-3.7741493E+1,-2.7762697E+1,3.8309702E+3,2.1751373E+1
12019989,30/9/2021,3:08:39 AM,-3.3432739E+1,-2.6795168E+1,3.8309702E+3,2.1751373E+1
12019990,30/9/2021,3:08:39 AM,-2.9363361E+1,-2.5478252E+1,3.8318628E+3,2.1773468E+1
12019991,30/9/2021,3:08:39 AM,-2.5160997E+1,-2.4833235E+1,3.8318628E+3,2.1751373E+1
12019992,30/9/2021,3:08:39 AM,-1.9591480E+1,-2.4134464E+1,3.8309702E+3,2.1751373E+1
12019993,30/9/2021,3:08:39 AM,-1.3000471E+1,-2.2172531E+1,3.8327556E+3,2.1751373E+1
12019994,30/9/2021,3:08:39 AM,-5.1818919E+0,-2.0190145E+1,3.8345413E+3,2.1751373E+1
12019995,30/9/2021,3:08:39 AM,1.6757954E+0,-1.7507519E+1,3.8354341E+3,2.1751373E+1
12019996,30/9/2021,3:08:40 AM,8.0355062E+0,-1.5284849E+1,3.8381123E+3,2.1773468E+1
12019997,30/9/2021,3:08:40 AM,1.4252893E+1,-1.3274875E+1,3.8363269E+3,2.1795563E+1
12019998,30/9/2021,3:08:40 AM,2.0244003E+1,-1.0977760E+1,3.8381123E+3,2.1795563E+1
12019999,30/9/2021,3:08:40 AM,2.5134399E+1,-7.6756582E+0,3.8398979E+3,2.1817654E+1
12020000,30/9/2021,3:08:40 AM,2.9363361E+1,-4.4819617E+0,3.8407908E+3,2.1817654E+1
12020001,30/9/2021,3:08:40 AM,3.2980587E+1,-2.1192842E+0,3.8416836E+3,2.1817654E+1
12020002,30/9/2021,3:08:40 AM,3.4150867E+1,7.1647143E-1,3.8416836E+3,2.1817654E+1
12020003,30/9/2021,3:08:40 AM,3.4736008E+1,3.0904560E+0,3.8416836E+3,2.1817654E+1
12020004,30/9/2021,3:08:40 AM,3.4124268E+1,5.7348094E+0,3.8416836E+3,2.1839748E+1
12020005,30/9/2021,3:08:40 AM,3.2102879E+1,8.2605715E+0,3.8434690E+3,2.1839748E+1
12020006,30/9/2021,3:08:41 AM,3.0054890E+1,9.9355507E+0,3.8425762E+3,2.1839748E+1
12020007,30/9/2021,3:08:41 AM,2.5905720E+1,1.1299462E+1,3.8416836E+3,2.1839748E+1
12020008,30/9/2021,3:08:41 AM,2.1942730E+1,1.1754099E+1,3.8407908E+3,2.1839748E+1
12020009,30/9/2021,3:08:41 AM,1.7591812E+1,1.2057191E+1,3.8398979E+3,2.1861843E+1
12020010,30/9/2021,3:08:41 AM,1.4613360E+1,1.2309767E+1,3.8416836E+3,2.1861843E+1
12020011,30/9/2021,3:08:41 AM,1.1221819E+1,1.1815249E+1,3.8398979E+3,2.1861843E+1
12020012,30/9/2021,3:08:41 AM,8.1644325E+0,1.0225348E+1,3.8372195E+3,2.1883938E+1
12020013,30/9/2021,3:08:41 AM,7.6776714E+0,9.5048418E+0,3.8398979E+3,2.1883938E+1
12020014,30/9/2021,3:08:41 AM,7.1909103E+0,8.9092932E+0,3.8416836E+3,2.1861843E+1
12020015,30/9/2021,3:08:41 AM,4.3911386E+0,7.4922080E+0,3.8416836E+3,2.1839748E+1
12020016,30/9/2021,3:08:42 AM,-6.2011814E-1,4.7958112E+0,3.8390051E+3,2.1817654E+1
12020017,30/9/2021,3:08:42 AM,-5.6753726E+0,1.6300954E+0,3.8390051E+3,2.1751373E+1
12020018,30/9/2021,3:08:42 AM,-1.0340387E+1,-7.0153940E-1,3.8390051E+3,2.1751373E+1
12020019,30/9/2021,3:08:42 AM,-1.5392179E+1,-4.3594642E+0,3.8381123E+3,2.1729279E+1
12020020,30/9/2021,3:08:42 AM,-2.2049118E+1,-7.9415283E+0,3.8354341E+3,2.1729279E+1
12020021,30/9/2021,3:08:42 AM,-2.9735725E+1,-1.2463971E+1,3.8345413E+3,2.1729279E+1
12020022,30/9/2021,3:08:42 AM,-3.7821285E+1,-1.6861456E+1,3.8309702E+3,2.1729279E+1
12020023,30/9/2021,3:08:42 AM,-4.4204624E+1,-2.0828741E+1,3.8309702E+3,2.1729279E+1
12020024,30/9/2021,3:08:42 AM,-5.0189007E+1,-2.3865705E+1,3.8300774E+3,2.1751373E+1
12020025,30/9/2021,3:08:42 AM,-5.5987206E+1,-2.6660789E+1,3.8291846E+3,2.1751373E+1
12020026,30/9/2021,3:08:43 AM,-6.1466244E+1,-2.9644003E+1,3.8282915E+3,2.1729279E+1
12020027,30/9/2021,3:08:43 AM,-6.6333534E+1,-3.1767189E+1,3.8256133E+3,2.1685093E+1
12020028,30/9/2021,3:08:43 AM,-6.6892075E+1,-3.5691055E+1,3.8256133E+3,2.1685093E+1
12020029,30/9/2021,3:08:43 AM,-6.6147354E+1,-3.8647396E+1,3.8265059E+3,2.1685093E+1
12020030,30/9/2021,3:08:43 AM,-6.4312149E+1,-4.1603733E+1,3.8273987E+3,2.1685093E+1
12020031,30/9/2021,3:08:43 AM,-6.2796104E+1,-4.3780670E+1,3.8265059E+3,2.1707188E+1
12020032,30/9/2021,3:08:43 AM,-6.0216171E+1,-4.6710133E+1,3.8256133E+3,2.1729279E+1
12020033,30/9/2021,3:08:43 AM,-5.6120193E+1,-4.9397713E+1,3.8265059E+3,2.1729279E+1
12020034,30/9/2021,3:08:43 AM,-5.0853943E+1,-5.1924038E+1,3.8273987E+3,2.1751373E+1
12020035,30/9/2021,3:08:43 AM,-4.5055737E+1,-5.3294701E+1,3.8273987E+3,2.1773468E+1
12020036,30/9/2021,3:08:44 AM,-4.0746983E+1,-5.2999069E+1,3.8282915E+3,2.1817654E+1
12020037,30/9/2021,3:08:44 AM,-3.7156357E+1,-5.3187199E+1,3.8291846E+3,2.1861843E+1
12020038,30/9/2021,3:08:44 AM,-3.5321144E+1,-5.3402210E+1,3.8256133E+3,2.1861843E+1
12020039,30/9/2021,3:08:44 AM,-3.3166767E+1,-5.2246548E+1,3.8273987E+3,2.1839748E+1
12020040,30/9/2021,3:08:44 AM,-2.9682528E+1,-4.9263332E+1,3.8309702E+3,2.1839748E+1
12020041,30/9/2021,3:08:44 AM,-2.6703638E+1,-4.8215179E+1,3.8282915E+3,2.1839748E+1
12020042,30/9/2021,3:08:44 AM,-2.5506760E+1,-4.6978893E+1,3.8282915E+3,2.1817654E+1
12020043,30/9/2021,3:08:44 AM,-2.4043913E+1,-4.3995678E+1,3.8291846E+3,2.1795563E+1
12020044,30/9/2021,3:08:44 AM,-2.0932034E+1,-4.1066216E+1,3.8309702E+3,2.1751373E+1
12020045,30/9/2021,3:08:44 AM,-1.6705118E+1,-3.7626114E+1,3.8309702E+3,2.1729279E+1
12020046,30/9/2021,3:08:45 AM,-1.2187449E+1,-3.4266640E+1,3.8327556E+3,2.1707188E+1
12020047,30/9/2021,3:08:45 AM,-8.1907444E+0,-3.0423401E+1,3.8327556E+3,2.1685093E+1
12020048,30/9/2021,3:08:45 AM,-4.1534371E+0,-2.6795168E+1,3.8336484E+3,2.1685093E+1
