TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-30 01:39:08,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
11965960,30/9/2021,1:38:36 AM,-1.6350060E+1,-1.7622002E+1,3.8345413E+3,2.1795563E+1
11965961,30/9/2021,1:38:36 AM,-1.3321589E+1,-1.6034744E+1,3.8354341E+3,2.1817654E+1
11965962,30/9/2021,1:38:36 AM,-1.0656219E+1,-1.6071968E+1,3.8345413E+3,2.1795563E+1
11965963,30/9/2021,1:38:36 AM,-7.8829703E+0,-1.5109509E+1,3.8372195E+3,2.1795563E+1
11965964,30/9/2021,1:38:36 AM,-6.4963465E+0,-1.3843959E+1,3.8363269E+3,2.1795563E+1
11965965,30/9/2021,1:38:36 AM,-5.4506946E+0,-1.2440154E+1,3.8381123E+3,2.1795563E+1
11965966,30/9/2021,1:38:37 AM,-5.2058530E+0,-1.1905752E+1,3.8381123E+3,2.1773468E+1
11965967,30/9/2021,1:38:37 AM,-3.4048023E+0,-1.2248727E+1,3.8363269E+3,2.1795563E+1
11965968,30/9/2021,1:38:37 AM,-3.6607370E+0,-1.1900434E+1,3.8363269E+3,2.1795563E+1
11965969,30/9/2021,1:38:37 AM,-4.8199701E+0,-1.1639879E+1,3.8363269E+3,2.1795563E+1
11965970,30/9/2021,1:38:37 AM,-5.9806380E+0,-1.1706347E+1,3.8363269E+3,2.1773468E+1
11965971,30/9/2021,1:38:37 AM,-7.8014040E+0,-1.2028052E+1,3.8354341E+3,2.1773468E+1
11965972,30/9/2021,1:38:37 AM,-8.4460402E+0,-1.1884481E+1,3.8363269E+3,2.1795563E+1
11965973,30/9/2021,1:38:37 AM,-9.6879501E+0,-1.1344761E+1,3.8354341E+3,2.1795563E+1
11965974,30/9/2021,1:38:37 AM,-1.2032318E+1,-1.1618609E+1,3.8345413E+3,2.1795563E+1
11965975,30/9/2021,1:38:37 AM,-1.3058473E+1,-1.1839283E+1,3.8354341E+3,2.1817654E+1
11965976,30/9/2021,1:38:38 AM,-1.5200241E+1,-1.0587027E+1,3.8345413E+3,2.1817654E+1
11965977,30/9/2021,1:38:38 AM,-1.7123623E+1,-9.9914722E+0,3.8354341E+3,2.1817654E+1
11965978,30/9/2021,1:38:38 AM,-1.7307804E+1,-1.0956588E+1,3.8354341E+3,2.1817654E+1
