Event_No,Datetime,Y Frequency_observed,Y Frequency_trend,Y Frequency_seasonal,Y Frequency_resid
571,2021-09-28 00:08:00,0.213,0.20884433726715282,0.002676934199182616,0.0014787285336645695
572,2021-09-28 00:38:00,0.213,0.2086492408551043,0.0027261172273809683,0.001624641917514713
573,2021-09-28 01:08:00,0.213,0.2084549060395681,0.005300615794776879,-0.000755521834344991
574,2021-09-28 01:38:00,0.213,0.2082613530472435,-0.0006323062808124302,0.005370953233568926
575,2021-09-28 02:08:00,0.213,0.20806860121674578,0.0036823627901777,0.0012490359930765194
576,2021-09-28 02:38:00,0.2,0.20787666065354077,-0.010996042313514575,0.00311938165997383
577,2021-09-28 03:08:00,0.2,0.20768553547762686,-0.003109555765493505,-0.004575979712133332
578,2021-09-28 03:38:00,0.225,0.20749522552208488,-0.012205051384613282,0.029709825862528405
579,2021-09-28 04:08:00,0.2,0.20730573734508595,-0.00915256570529491,0.0018468283602089686
580,2021-09-28 04:38:00,0.2,0.20711707896566242,-0.004406018644591952,-0.002711060321070463
581,2021-09-28 05:08:00,0.225,0.20692925649527194,0.008932876257517746,0.00913786724721033
582,2021-09-28 05:38:00,0.225,0.20674227763373865,0.023074424610575836,-0.004816702244314464
583,2021-09-28 06:08:00,0.213,0.20655614295228786,0.0034931351749207117,0.002950721872791412
584,2021-09-28 06:38:00,0.2,0.20637085683667553,-0.006684271895626827,0.0003134150589512996
585,2021-09-28 07:08:00,0.2,0.20618642070572585,-0.006179773276787917,-6.6474289379114815e-06
586,2021-09-28 07:38:00,0.2,0.20600283426293733,-0.00734278978357475,0.0013399555206374258
587,2021-09-28 08:08:00,0.2,0.20582009655180475,-0.009419104507165411,0.003599007955360667
588,2021-09-28 08:38:00,0.188,0.20563820299292038,-0.013575166905471506,-0.004063036087448874
589,2021-09-28 09:08:00,0.2,0.20545714414546726,-0.004203963388508225,-0.0012531807569590159
590,2021-09-28 09:38:00,0.2,0.20527691543235124,-0.005119661025259513,-0.000157254407091717
591,2021-09-28 10:08:00,0.2,0.20509751591311226,-0.002826315532765044,-0.002271200380347199
592,2021-09-28 10:38:00,0.188,0.20491894654796014,-0.01675805858932163,-0.00016088795863850036
593,2021-09-28 11:08:00,0.188,0.20474121251136287,-0.01660690859461851,-0.00013430391674437714
594,2021-09-28 11:38:00,0.188,0.20456432104451713,-0.01550996387695311,-0.001054357167564024
595,2021-09-28 12:08:00,0.188,0.2043882811190676,-0.0158627029884449,-0.0005255781306227059
596,2021-09-28 12:38:00,0.188,0.20421310495264663,-0.012204724166688479,-0.0040083807859581655
597,2021-09-28 13:08:00,0.188,0.20403880925227208,-0.012061941362569153,-0.0039768678897029175
598,2021-09-28 13:38:00,0.188,0.2038654212675573,-0.015492034125875461,-0.00037338714168183573
599,2021-09-28 14:08:00,0.2,0.2036929803967814,-0.007781138654716768,0.004088158257935376
600,2021-09-28 14:38:00,0.213,0.20352153193641606,0.0068200584608732,0.002658409602710743
601,2021-09-28 15:08:00,0.2,0.2033511185637359,-0.0011490586758691503,-0.002202059887866731
602,2021-09-28 15:38:00,0.2,0.20318178186398128,-0.004451891777849236,0.0012701099138679728
603,2021-09-28 16:08:00,0.2,0.20301357045379084,-0.005017457817843217,0.0020038873640523813
604,2021-09-28 16:38:00,0.225,0.2028465356660815,0.024942790802626895,-0.0027893264687083863
605,2021-09-28 17:08:00,0.2,0.20268073057280875,-0.0008000567181516547,-0.0018806738546570945
606,2021-09-28 17:38:00,0.225,0.20251622073683806,0.028914705143154966,-0.006430925879993027
607,2021-09-28 18:08:00,0.213,0.20235309086789388,0.03832780097003966,-0.02768089183793354
608,2021-09-28 18:38:00,0.213,0.20219145630933147,0.00875403571579527,0.0020545079748732487
609,2021-09-28 19:08:00,0.2,0.202031458572779,0.03839506203198972,-0.0404265206047687
610,2021-09-28 19:38:00,0.2,0.20187326615587184,0.00011053425431436389,-0.0019838004101861983
611,2021-09-28 20:08:00,0.188,0.2017170941203826,0.03842818558586495,-0.05214527970624755
612,2021-09-28 20:38:00,0.2,0.20156323341694346,0.0004080945991354262,-0.0019713280160788826
613,2021-09-28 21:08:00,0.2,0.20141207929170196,0.000661404564290264,-0.0020734838559922086
614,2021-09-28 21:38:00,0.188,0.20126417320201975,-0.012419128873239026,-0.0008450443287807141
615,2021-09-28 22:08:00,0.2,0.20112022441433558,-0.004269830785501977,0.0031496063711664024
616,2021-09-28 22:38:00,0.2,0.20098104288756694,0.00028406297227080094,-0.0012651058598377174
617,2021-09-28 23:08:00,0.2,0.20084725527380787,0.0006752219642135366,-0.0015224772380214024
618,2021-09-28 23:38:00,0.2,0.20074198233738083,0.0004288176988565937,-0.0011708000362374016
619,2021-09-29 00:08:00,0.2,0.20063756831976406,-0.00034575378951638794,-0.0002918145302476527
620,2021-09-29 00:38:00,0.2,0.20053367653012175,-0.0011625152296244896,0.000628838699502754
621,2021-09-29 01:08:00,0.2,0.2004301917749051,0.00116237410650918,-0.0015925658814142651
622,2021-09-29 01:38:00,0.188,0.2003271372526624,-0.0032635687661628533,-0.009063568486499557
623,2021-09-29 02:08:00,0.188,0.2002244296508483,0.0014839220658260893,-0.013708351716674394
624,2021-09-29 02:38:00,0.188,0.20012204626794863,-0.008361781983642347,-0.003760264284306286
625,2021-09-29 03:08:00,0.2,0.20002016568603387,-0.002284299735625556,0.002264134049591693
626,2021-09-29 03:38:00,0.188,0.19991893503333677,-0.011568569017333727,-0.00035036601600305084
627,2021-09-29 04:08:00,0.188,0.19981859681795133,-0.008548742561218797,-0.0032698542567325406
628,2021-09-29 04:38:00,0.225,0.1997193255609639,-0.003171879172952527,0.028452553611988646
