Event_No,Datetime,X_Acc_Filtered_RMS_observed,X_Acc_Filtered_RMS_trend,X_Acc_Filtered_RMS_seasonal,X_Acc_Filtered_RMS_resid
571,2021-09-28 00:08:00,25.64330279,18.93786390382519,5.772182100562435,0.9332567856123752
572,2021-09-28 00:38:00,22.19789771,19.043010214148577,2.5465558899486402,0.6083316059027837
573,2021-09-28 01:08:00,22.97777344,19.148096959589008,3.458812003140417,0.37086447727057603
574,2021-09-28 01:38:00,21.17176575,19.253111325687932,1.6691814141343175,0.24947301017774848
575,2021-09-28 02:08:00,20.07774803,19.358038692412038,1.0646880919439916,-0.3449787543560312
576,2021-09-28 02:38:00,20.32221379,19.462863228707327,1.0825869577720035,-0.2232363964793329
577,2021-09-28 03:08:00,22.99014013,19.567568965359147,2.415088427004109,1.007482737636746
578,2021-09-28 03:38:00,20.73029413,19.67213932837431,0.8461268232986211,0.2120279783270682
579,2021-09-28 04:08:00,20.01646541,19.77655530863031,0.2715550646092409,-0.0316449632395539
580,2021-09-28 04:38:00,19.22715675,19.88079635164585,-1.119045889177942,0.4654062875320939
581,2021-09-28 05:08:00,17.08208363,19.984840899211573,-2.4427641997148988,-0.45999306949667584
582,2021-09-28 05:38:00,17.32376653,20.088666052376546,-2.3099390218681926,-0.4549605005083528
583,2021-09-28 06:08:00,16.85795687,20.192248864790272,-2.80026872101286,-0.5340232737774144
584,2021-09-28 06:38:00,16.52130226,20.29556677188873,-3.3510964770221405,-0.4231680348665918
585,2021-09-28 07:08:00,17.38628367,20.398597711678534,-2.8738466113609404,-0.13846743031759345
586,2021-09-28 07:38:00,16.13266608,20.501319928278836,-3.513329853687368,-0.855323994591469
587,2021-09-28 08:08:00,16.47611573,20.603711805713647,-3.714881551364779,-0.4127145243488677
588,2021-09-28 08:38:00,15.7946133,20.705752719084206,-4.789618042792735,-0.1215213762914722
589,2021-09-28 09:08:00,15.8218557,20.807422638458718,-4.3541005390874234,-0.6314663993712948
590,2021-09-28 09:38:00,14.889123,20.908701788855044,-5.158530458737781,-0.8610483301172636
591,2021-09-28 10:08:00,15.54661069,21.009571441096504,-4.524868158542724,-0.9380925925537795
592,2021-09-28 10:38:00,14.8954309,21.110014590725328,-4.731418729586626,-1.4831649611387014
593,2021-09-28 11:08:00,15.95513925,21.210016533982255,-3.5844790980543118,-1.6703981859279438
594,2021-09-28 11:38:00,17.32142343,21.30956598382243,-2.2810116402289755,-1.7071309135934563
595,2021-09-28 12:08:00,17.74171536,21.408655933339915,-1.7866908927713079,-1.8802496805686069
596,2021-09-28 12:38:00,20.23473847,21.507284395257557,-0.8016398789059841,-0.4709060463515726
597,2021-09-28 13:08:00,21.60466435,21.6054548834907,0.1944120737894047,-0.1952026072801054
598,2021-09-28 13:38:00,21.65931964,21.703175203618823,-0.14227034692695745,0.09841478330813302
599,2021-09-28 14:08:00,24.14679896,21.80045710507136,1.5658434004283066,0.7804984545003357
600,2021-09-28 14:38:00,22.18847345,21.897316119881314,0.7061448693062313,-0.41498753918754616
601,2021-09-28 15:08:00,23.00838193,21.99377149784925,0.6709639944874226,0.3436464376633275
602,2021-09-28 15:38:00,23.62649633,22.08984842303978,0.8358999848709575,0.7007479220892634
603,2021-09-28 16:08:00,24.13538077,22.185578231151858,0.6380393049957938,1.31176323385235
604,2021-09-28 16:38:00,24.09999781,22.280998361099268,1.2581483056439335,0.5608511432568015
605,2021-09-28 17:08:00,26.70977316,22.37615261153598,3.1570384120878794,1.176582136376144
606,2021-09-28 17:38:00,25.67909444,22.4710933052686,1.895134638252559,1.3128664964788435
607,2021-09-28 18:08:00,25.26050027,22.565882040040524,2.008491041906437,0.6861271880530389
608,2021-09-28 18:38:00,23.21860201,22.660591100764165,-0.33800360574818855,0.8960145149840244
609,2021-09-28 19:08:00,24.72407451,22.75530641717491,1.345282636266447,0.6234854565586438
610,2021-09-28 19:38:00,25.03492086,22.850129210312428,1.105916051015453,1.07887559867212
611,2021-09-28 20:08:00,25.17690007,22.945176489821463,1.1877541853451419,1.0439693948333932
612,2021-09-28 20:38:00,26.73093914,23.040576501707278,2.234409714247281,1.455952924045441
613,2021-09-28 21:08:00,28.31129244,23.13645635159247,3.5232459546901933,1.6515901337173347
614,2021-09-28 21:38:00,26.95695968,23.2329132432324,2.787364346107867,0.9366820906597333
615,2021-09-28 22:08:00,27.23582623,23.329961923488572,2.657658121127411,1.2482061853840172
616,2021-09-28 22:38:00,26.10538234,23.427457285391682,1.2517211084480457,1.4262039461602711
617,2021-09-28 23:08:00,26.17225315,23.525016110455613,2.1259254837418546,0.5213115558025301
618,2021-09-28 23:38:00,24.79490459,23.578475451132732,1.2081337886642942,0.00829535020297456
619,2021-09-29 00:08:00,26.6000971,23.625174092605224,3.210086137495215,-0.23516313010043888
620,2021-09-29 00:38:00,24.84902185,23.664932837720098,1.6908782789451018,-0.5067892666652014
621,2021-09-29 01:08:00,25.35612233,23.69765404000391,1.8694029848586189,-0.21093469486253014
622,2021-09-29 01:38:00,25.64470154,23.72332059985463,2.291463330411338,-0.3700823902659707
623,2021-09-29 02:08:00,26.23450903,23.741948192612764,1.522800063724408,0.9697607736628306
624,2021-09-29 02:38:00,24.80734401,23.753601009347662,0.8136624169947243,0.24008058365761542
625,2021-09-29 03:08:00,24.02965313,23.758407964155538,1.1363286256265996,-0.865083459782138
626,2021-09-29 03:38:00,25.0770047,23.756541514565697,0.925829423166586,0.3946337622677163
627,2021-09-29 04:08:00,25.44715442,23.748206598449023,0.7190663244685173,0.9798814970824594
628,2021-09-29 04:38:00,23.31781244,23.73366253789459,-0.705375618694239,0.2895255207996499
629,2021-09-29 05:08:00,22.95167979,23.71317813390806,-1.5515040979484198,0.7900057540403616
630,2021-09-29 05:38:00,23.03408859,23.687009349364953,-1.789789530583981,1.136868771219028
631,2021-09-29 06:08:00,24.17572661,23.655395365604882,-1.534222842673239,2.0545540870683574
632,2021-09-29 06:38:00,22.82076127,23.618572049660955,-2.7979245055623596,2.0001137259014037
633,2021-09-29 07:08:00,23.56888421,23.576810978969377,-1.9215521342975665,1.9136253653281905
634,2021-09-29 07:38:00,22.99194613,23.530405681872683,-3.293961271273311,2.755501719400627
635,2021-09-29 08:08:00,23.68445542,23.479648198388595,-2.6233403451112616,2.8281475667226665
636,2021-09-29 08:38:00,21.61607542,23.424837031785934,-3.980903493001796,2.1721418812158646
637,2021-09-29 09:08:00,24.21920938,23.366275959352865,-3.682681645195026,4.535615065842158
638,2021-09-29 09:38:00,23.66249144,23.30429863129891,-3.962938573769276,4.321131382470366
639,2021-09-29 10:08:00,24.05351381,23.239235086553364,-3.724400572803553,4.538679296250187
640,2021-09-29 10:38:00,25.49256763,23.171391014000978,-3.22199055798516,5.543167173984184
641,2021-09-29 11:08:00,24.62601965,23.10103135892192,-2.5650113890162833,4.089999680094365
642,2021-09-29 11:38:00,25.94938218,23.02836268356897,-1.827448725862835,4.748468222293862
643,2021-09-29 12:08:00,26.54867886,22.953515657282374,-0.5490120482846587,4.1441752510022845
644,2021-09-29 12:38:00,24.36522463,22.876548556862737,0.5351524678189044,0.9535236053183596
645,2021-09-29 13:08:00,24.33440293,22.797452343954347,0.7444816115012535,0.7924689745443985
646,2021-09-29 13:38:00,23.54169539,22.716168449171384,0.44649560347191125,0.3790313373567038
647,2021-09-29 14:08:00,23.46127486,22.63260579204282,1.7600305685449864,-0.9313615005878084
648,2021-09-29 14:38:00,23.94329575,22.5466245247289,0.6954861126191718,0.7011851126519275
649,2021-09-29 15:08:00,22.72198739,22.45805086748254,0.1537125816230179,0.11022394089443921
650,2021-09-29 15:38:00,22.33007454,22.36669022422152,0.8990807272684298,-0.9356964114899533
651,2021-09-29 16:08:00,21.06336372,22.27234884457859,0.08863644286621775,-1.297621567444807
652,2021-09-29 16:38:00,22.58520267,22.17483360152721,0.9771152139095183,-0.5667461454367277
653,2021-09-29 17:08:00,22.54185135,22.073971719253578,1.6414043760973271,-1.1735247453509032
654,2021-09-29 17:38:00,21.80364174,21.969620774901014,1.3458899129610962,-1.5118689478621086
655,2021-09-29 18:08:00,22.30623771,21.86166509947602,0.8818001319040673,-0.4372275213800876
656,2021-09-29 18:38:00,21.43160443,21.750024495230214,-0.7947122659091028,0.47629220067888767
657,2021-09-29 19:08:00,21.18845723,21.63465618473553,0.7938207704784629,-1.2400197252139904
658,2021-09-29 19:38:00,21.16230904,21.515573883680375,0.4778549398338333,-0.8311197835142075
659,2021-09-29 20:08:00,21.14813886,21.393010981308155,0.5289136232394787,-0.7737857445476344
660,2021-09-29 20:38:00,21.09882965,21.26790039283733,1.5676277527695293,-1.7366984956068592
661,2021-09-29 21:08:00,21.19629793,21.14165297468022,2.975499714143628,-2.9208547588238467
662,2021-09-29 21:38:00,22.0745545,21.01587557506528,2.7345744724939953,-1.675895547559275
663,2021-09-29 22:08:00,21.36792258,20.8923388344735,1.7082241920130432,-1.232640446486542
664,2021-09-29 22:38:00,19.95422821,20.77296798692325,0.7293629327938036,-1.5481027097170532
665,2021-09-29 23:08:00,21.89936442,20.65980042222476,1.5112958166933246,-0.27173181891808085
666,2021-09-29 23:38:00,21.39163811,20.55493594755287,0.4129811686214118,0.42372099382571804
667,2021-09-30 00:08:00,20.30581135,20.460475531698247,1.1103443881894417,-1.2650085698876907
668,2021-09-30 00:38:00,21.44207692,20.378461670618574,0.9544196754560921,0.10919557392533719
669,2021-09-30 01:08:00,20.8367676,20.31083023064361,0.3298481073902124,0.19608926196617915
670,2021-09-30 01:38:00,22.76481736,20.25934889666595,2.6145663058853095,-0.10909784255126098
671,2021-09-30 02:08:00,21.08253889,20.225548426408842,1.7085578619091843,-0.8515673983180285
672,2021-09-30 02:38:00,21.02275237,20.210671260592143,0.20315833813679682,0.608922771271061
673,2021-09-30 03:08:00,19.54283784,20.21611465966703,-0.06721115435046157,-0.6060656653165708
674,2021-09-30 03:38:00,19.65317991,20.245072293201794,0.8516638702998076,-1.4435562535016047
675,2021-09-30 04:08:00,19.66245541,20.30223133262613,1.0896786156463518,-1.7294545382724813
676,2021-09-30 04:38:00,18.02442373,20.392686760644864,-0.36947203718266936,-1.9987909934621975
677,2021-09-30 05:08:00,19.42053635,20.522148145115292,-0.9046204363902083,-0.19699135872508577
