Resample,Target,N_rows,Train_rows,Test_rows,Best_Model,Best_RMSE,Best_MAE,Best_MAPE_%,Best_R2,Best_Accuracy_%,Best_CV_R2_Mean,Best_CV_R2_Std,Elapsed_Sec
30MinuteV2_Chronological,X Frequency (Hz),528,422,106,Random Forest (Tuned),0.010101482471376067,0.006918137476475138,3.2450128948549213,0.3099304664093604,96.75498710514508,0.1837320905484222,0.42113842884447383,274.7
30MinuteV2_Chronological,Y Frequency (Hz),528,422,106,Random Forest (Tuned),0.012752057832396364,0.0095836038048322,4.722600321570164,0.3450155851946519,95.27739967842984,0.12239224005111049,0.4181580084090382,269.3
